Right Issues 1997,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed
,,Offered,(Rs.),by the Public
1) Samuel Sons & Co Ltd,1 for 2,2300850,41,"185 [2,300,665 by underwriters]"
2) Colombo Fort Land,1 for 1,18000000,7,18000000
3) James Finlay,1 for 2,5000000,50,5000000
4) Ceylon Theatres,1 for 1,1124634,67,1124634
5) Asiri Hospitals,1 for 4,2655932,30,"1,901,497 [754,435 by underwriters]"
6) Lankem Developments,1 for 1,600000,20,"250,562 [349,438 by underwriters]"
7) Korea Ceylon,1 for 2,6317285,10,"4,395,650 [1,921,635 by underwriters]"
8) Tokyo Cement,1 for 2,5000000,50,"3,750,000 [1,250,000 by underwriters]"
9) Heyleys Photoprint,1 for 2,1000000,10,1000000
10) Ceylon Cold Stores,1 for 7,1350000,80,1350000
11) Mahaweli Reach Hotels,13 for 18,7895017,10,7895017
12) Associated Hotels,1 for 4,1040760,15,1040760
Value (Rs),1061781683,,,
Issues (No.),12,,,
Right Issues 1997 by Sector,,,,
Sector,No of Issues,No of Shares,Value (Rs.),
"1) Banks, Finance & Insurance",1,1350000,108000000,
2) Diversified,2,19124634,201350478,
3)  Hotels & Travels,2,8935777,94561570,
4) Manufacturing,2,11317285,313172850,
5) Trading,1,5000000,250000000,
6) Construction & Engineering,2,250747,5018825,
7) Services,2,1000000,89677960,
Total,12,46978443,1061781683,
