SCRIP DIVIDEND PERIOD OF 01ST JANUARY TO 31ST DECEMBER 2010,,,,,,,
No. ,Date of Announcement ,Company Name ,Allotment Date,New Proportion,Old Proportion,No. of shares listed ,Date listed 
1,28-Jun-10 ,Sampath Bank PLC,21-Sep-10 ,1,120.7,627596,2010-10-05 00:00:00
2,2010-07-30 00:00:00,Mercantile Shipping Company PLC,14-Sep-10 ,14,100,352508,2010-09-27 00:00:00
