New Listings 2022 (January to December),,,,,,,,,,,
,,IPO - Equity ,,,,,,,,,
No.,Date of Announcement,Name ,No. of shares offered,No. of shares alloted,No. of Shares listed ,Consideration (Rs.),Amount raised (Rs.),Date listed ,,,
1,2020-01-24 00:00:00,Kapruka Holdings Limited,32826000,32826000,164130360,15.4,505520400,2022-01-07 00:00:00,,,
2,,Hela Apparel Holdings Limited,267108998,267108998,1303117944,15,4006634970,2022-02-07 00:00:00,,,
3,,Exterminators Limited ,10000000,10000000,50000000,6,60000000,2022-03-30 00:00:00,,,
4,,Luminex Limited ,31250000,31250000,271250000,8,250000000,2022-06-23 00:00:00,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
 ,,Introduction - Equity,,,,,,,,,
No.,Date of Announcement,Name ,Shares listed ,Reference Price,Date listed ,,,,,,
1,,Alpha Fire Services Limited ,2760000,11.7,2022-06-07 00:00:00,,,,,,
,,Introduction - Debenture,,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,,,
1,,,,,,,,,,,
,,IPO - Debenture ,,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Total amount raised (Rs.),Total amount raised (Rs.)
1,2020-01-24 00:00:00,Brown & Company PLC,20000000,A,673000,0.155,100,2022-04-26 00:00:00,2000000000,67300000,
,,,,B,19327000,0.1542,100,2022-04-26 00:00:00,,1932700000,
2,2020-01-17 00:00:00,Resus Energy PLC,6113500,A,2080600,0.1146,100,2022-04-25 00:00:00,611350000,208060000,
,,Resus Energy PLC,,B,4032900,0.1196,100,2022-04-25 00:00:00,,403290000,
3,2020-03-25 00:00:00,Merchant Bank of Sri Lanka PLC,10000000,A,239900,0.24,100,2022-11-29 00:00:00,1000000000,23990000,
,,,,B,328800,0.235,100,2022-11-29 00:00:00,,32880000,
,,,,C,108300,"T bill Rate +300 basis point (cap of 29.50%)
Weighted average T-bill Rate + 300
basis points subject to a cap of
29.50% p.a payable quarterly",100,2022-11-29 00:00:00,,10830000,
4,,Commercial Bank of Ceylon PLC (BASEL III),100000000,A,67246800,0.28,100,2022-12-16 00:00:00,10000000000,6724680000,
,2020-06-24 00:00:00,,,B,32638200,0.27,100,2022-12-16 00:00:00,,3263820000,
,2020-09-04 00:00:00,,,C,115000,0.22,100,2022-12-16 00:00:00,,11500000,
De-Listings 2022 (January to December),,,,,,,,,,,
No. ,Date De-listed ,Company Name ,Effective Date,,,,,,,,
1,2020-01-30 00:00:00,Adam Investements PLC,2022-03-23 00:00:00,,,,,,,,
2,2020-02-27 00:00:00,Ceylon and Foreign Trades PLC,2022-03-23 00:00:00,,,,,,,,
3,2020-07-22 00:00:00,Adam Capital PLC,2022-03-23 00:00:00,,,,,,,,
4,,Sinhaputhra Finance PLC,2022-04-26 00:00:00,,,,,,,,
5,,Commercial Leasing & Finance PLC,2022-04-28 00:00:00,,,,,,,,
6,,Prime Finance PLC,2022-06-09 00:00:00,,,,,,,,
7,Swarnamahal Financial Sevices PLC,Swarnamahal Financial Sevices PLC,2022-07-08 00:00:00,,,,,,,,
8,,Lucky Lanka Milk Processing Company PLC ,2022-10-13 00:00:00,,,,,,,,
9,,Property Development PLC ,2022-10-27 00:00:00,,,,,,,,
10,,MTD Walkers PLC,2022-12-01 00:00:00,,,,,,,,
11,,Lanka Cement PLC,2022-12-01 00:00:00,,,,,,,,
