Dividend Records - 2011,,,,,,,
Date of Announcement,Security,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price,
2011-08-11 00:00:00,SIGV-N-0000,FIRST AND FINAL DIVIDEND OF RS.1.00 PER SHARE,2011-09-19 00:00:00,2011-09-27 00:00:00,100.2,100,
2011-08-11 00:00:00,YORK-N-0000,FIRST & FINAL DIVIDEND OF RS.0.30 PER SHARE,2011-09-20 00:00:00,2011-09-28 00:00:00,30,29.2,
2011-08-15 00:00:00,GEST-N-0000,FIRST AND FINAL DIVIDEND OF RS.1.50 PER SHARE,2011-09-26 00:00:00,2011-09-30 00:00:00,427.4,378.8,
2011-08-16 00:00:00,APLA-N-0000,INTERIM DIVIDEND OF RS.5.25 PER SHARE,2011-08-25 00:00:00,2011-09-06 00:00:00,159.2,153.2,
2011-08-16 00:00:00,RWSL-N-0000,FINAL DIVIDEND OF RS.0.12 PER SHARE,2011-09-16 00:00:00,2011-09-23 00:00:00,4.9,4.9,
2011-08-16 00:00:00,SIRA-N-0000,FIRST & FINAL DIVIDEND OF RS.0.10 PER SHARE,2011-09-16 00:00:00,2011-09-26 00:00:00,4.9,4.8,
2011-08-17 00:00:00,CARG-N-0000,FINAL DIVIDEND OF RS.1.00 PER SHARE,2011-09-30 00:00:00,2011-10-10 00:00:00,204,201.9,
2011-08-19 00:00:00,CABO-N-0000,FIRST & FINAL DIVIDEND OF RS.4.00 PER SHARE,2011-09-26 00:00:00,2011-09-29 00:00:00,130,121.1,
2011-08-19 00:00:00,LALU-N-0000,FIRST AND FINAL DIVIDEND OF 0.50 PER SHARE,2011-09-27 00:00:00,2011-10-05 00:00:00,54,53.1,
2011-08-19 00:00:00,RENU-N-0000,FIRST & FINAL DIVIDEND OF RS.5.50 PER SHARE,2011-09-26 00:00:00,2011-09-29 00:00:00,343,343.3,
2011-08-22 00:00:00,EMER-N-0000,FINAL DIVIDEND FOR RS. 3.00 PER SHARE,2011-09-19 00:00:00,2011-09-27 00:00:00,2504.7,31.6,
2011-08-23 00:00:00,MPRH-N-0000,INTERIM DIVIDEND OF RS.1.25 PER SHARE,2011-09-02 00:00:00,2011-09-13 00:00:00,34.9,33.7,
2011-08-24 00:00:00,EBCR-N-0000,FINAL DIVIDEND OF RS.6.00 PER SHARE,2011-09-30 00:00:00,2011-10-10 00:00:00,2500,2500,
2011-08-24 00:00:00,JFIN-N-0000,FIRST INTERIM DIVIDEND OF RS. 1.00 PER SHARE,2011-09-05 00:00:00,2011-09-09 00:00:00,309,315,
2011-08-24 00:00:00,LCEY-N-0000,FINAL DIVIDEND OF RS.1.50 PER SHARE,2011-10-03 00:00:00,2011-10-12 00:00:00,325.1,340.1,
2011-08-25 00:00:00,AMSL-N-0000,INTERIM DIVIDEND OF RS.0.125 PER SHARE (TAX FREE),2011-09-06 00:00:00,2011-09-12 00:00:00,9.4,9.3,
2011-08-25 00:00:00,ASIR-N-0000,INTERIM DIVIDEND OF RS.0.125 PER SHARE (OF WHICH 0.068 IS TAX FREE),2011-09-06 00:00:00,2011-09-14 00:00:00,10.5,10.4,
2011-08-26 00:00:00,ASPH-N-0000,FINAL DIVIDEND OF RS.1.50 PER SHARE,2011-09-26 00:00:00,2011-10-04 00:00:00,515.1,540,
2011-08-29 00:00:00,BRWN-N-0000,INTERIM DIVIDEND OF RS.1.32 PER SHARE,2011-09-08 00:00:00,2011-09-19 00:00:00,275.1,274.1,
2011-08-29 00:00:00,CFLB-N-0000,FIRST & FINAL DIVIDEND OF RS.0.20 PER SHARE (DATES),2011-10-03 00:00:00,2011-10-12 00:00:00,56.9,57.6,
2011-08-29 00:00:00,COCO-N-0000,FINAL DIVIDEND OF RS.1.00 PER SHARE (VOTING & NON-VOTING),2011-09-19 00:00:00,2011-09-21 00:00:00,68.4,66,
2011-08-29 00:00:00,KZOO-N-0000,FINAL DIVIDEND OF RS.5.00 PER SHARE,2011-10-03 00:00:00,2011-10-07 00:00:00,3200,2000,
2011-08-30 00:00:00,CRL-N-0000,INTERIM DIVIDEND OF RS.1.50 PER SHARE,2011-09-09 00:00:00,2011-09-15 00:00:00,50.7,50.8,
2011-09-01 00:00:00,SMLL-N-0000,INTERIM DIVIDEND OF RS.1.25 PER SHARE,2011-09-12 00:00:00,2011-09-21 00:00:00,47.1,46.9,
2011-09-02 00:00:00,CERA-N-0000,FINAL DIVIDEND OF RS.1.50 PER SHARE,2011-09-30 00:00:00,2011-10-10 00:00:00,121.6,106.2,
2011-09-05 00:00:00,ASHO-N-0000,FIRST & FINAL DIVIDEND OF RS.30.00 PER SHARE (AMENDED),2011-09-21 00:00:00,2011-09-29 00:00:00,3620,3499,
2011-09-06 00:00:00,SFL-N-0000,FINAL DIVIDEND OF RS.0.75 PER SHARE (DATES),2011-09-30 00:00:00,2011-10-10 00:00:00,118.4,121.9,
2011-09-08 00:00:00,BIL-N-0000,INTERIM DIVIDEND OF RS.0.10 PER SHARE,2011-09-16 00:00:00,2011-09-27 00:00:00,5.2,5.1,
2011-09-08 00:00:00,MFL-N-0000,FIRST AND FINAL DIVIDEND OF RS. 0.10 PER SHARE,2011-10-03 00:00:00,2011-10-12 00:00:00,60.4,57.3,
2011-09-09 00:00:00,CTHR-N-0000,FINAL DIVIDEND OF RS.1.00 PER SHARE,2011-10-19 00:00:00,2011-10-28 00:00:00,189,180.5,
2011-09-12 00:00:00,AUTO-N-0000,INTERIM DIVIDEND OF RS. 4.00 PER SHARE,2011-09-21 00:00:00,2011-09-28 00:00:00,852.4,800,
2011-09-12 00:00:00,RAL-N-0000,FINAL DIVIDEND OF RS.0.10 PER SHARE,2011-09-21 00:00:00,2011-09-30 00:00:00,6.6,6.8,
2011-09-12 00:00:00,RHL-N-0000,VOTING & NON VOTING.FINAL DIVIDEND OF RS.0.70 PER SHARE (RS.1.00 BY WAY OF SCRIP) AMENDED.,2011-09-28 00:00:00,2011-09-30 00:00:00,63,62.5,
2011-09-15 00:00:00,ABAN-N-0000,FINAL DIVIDEND OF RS.2.00 PER SHARE,2011-10-03 00:00:00,2011-10-12 00:00:00,246,243,
2011-09-22 00:00:00,ACL-N-0000,INTERIM DIVIDEND OF RS.0.70 PER SHARE,2011-10-03 00:00:00,2011-10-13 00:00:00,77,75.8,
2011-09-22 00:00:00,TWOD-N-0000,FIRST & FINAL DIVIDEND OF RS.0.10 PER SHARE,2011-10-03 00:00:00,2011-10-12 00:00:00,23,23.5,
2011-09-28 00:00:00,EDEN-N-0000,INTERIM DIVIDEND OF RS.0.20 PER SHARE,2011-10-07 00:00:00,2011-10-14 00:00:00,41.9,43.8,
2011-10-19 00:00:00,SHL-N-0000,INTERIM DIVIDEND OF RS. 0.13 PER SHARE,2011-10-31 00:00:00,2011-11-09 00:00:00,19.1,19.1,
2011-10-20 00:00:00,ODEL-N-0000,INTERIM DIVIDEND OF RS.0.25 PER SHARE,2011-11-01 00:00:00,2011-11-11 00:00:00,31.6,31,
2011-10-21 00:00:00,LLUB-N-0000,SECOND INTERIM DIVIDEND OF RS.3.00 PER SHARE,2011-11-02 00:00:00,2011-11-14 00:00:00,166.1,166.5,
2011-10-27 00:00:00,CWM-N-0000,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-11-07 00:00:00,2011-11-17 00:00:00,91.5,91,
2011-10-28 00:00:00,COMB-N-0000,FIRST INTERIM DIVIDEND OF 1.50 PER SHARE ( VOTING & NON-VOTING),2011-11-08 00:00:00,2011-11-18 00:00:00,109,108,
2011-11-01 00:00:00,CIC-N-0000,INTERIM DIVIDEND OF RS.0.80 PER SHARE (VOTING & NON-VOTING),2011-11-11 00:00:00,2011-11-21 00:00:00,113,110.2,
2011-11-02 00:00:00,HHL-N-0000,INTERIM DIVIDEND OF RS.0.25 PER SHARE,2011-11-14 00:00:00,2011-11-22 00:00:00,35,34.3,
2011-11-03 00:00:00,JKH-N-0000,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-11-16 00:00:00,2011-11-24 00:00:00,181.2,177.7,
2011-11-03 00:00:00,VPEL-N-0000,INTERIM DIVIDEND OF RS.0.25 PER SHARE ( TAX FREE),2011-11-15 00:00:00,2011-11-24 00:00:00,8.6,8.2,
2011-11-09 00:00:00,CTC-N-0000,THIRD INTERIM DIVIDEND OF RS.10.50 PER SHARE (LESS WITHHOLDING TAX),2011-11-21 00:00:00,2011-11-29 00:00:00,430,420.1,
2011-11-15 00:00:00,COMD-N-0000,INTERIM DIVIDEND OF RS.2.00 PER SHARE,2011-11-24 00:00:00,2011-12-05 00:00:00,95.1,99.5,
2011-11-15 00:00:00,JFIN-N-0000,SECOND INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-11-24 00:00:00,2011-12-05 00:00:00,232.5,232.5,
2011-11-16 00:00:00,DIMO-N-0000,FIRST INTERIM DIVIDEND OF RS.5.00 PER SHARE,2011-11-25 00:00:00,2011-12-06 00:00:00,1237.1,1200,
2011-11-23 00:00:00,ACAP-N-0000,INTERIM DIVIDEND OF RS.6.95 PER SHARE,2011-12-02 00:00:00,2011-12-13 00:00:00,80.9,72.5,
2011-11-23 00:00:00,HNB-N-0000,INTERIM DIVIDEND OF RS.1.50 PER SHARE(VOTING & NON-VOTING),2011-12-02 00:00:00,2011-12-12 00:00:00,152.5,150,
2011-11-23 00:00:00,ONAL-N-0000,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-12-02 00:00:00,2011-12-13 00:00:00,81.3,74.2,
2011-11-24 00:00:00,CFIN-N-0000,FIRST INTERIM DIVIDEND OF RS.0.70 PER SHARE,2011-12-05 00:00:00,2011-12-14 00:00:00,218.2,212.3,
2011-11-25 00:00:00,COMB-N-0000,SECOND INTERIM DIVIDEND OF RS. 1.00 PER SHARE (VOTING AND NON VOTING),2011-12-06 00:00:00,2011-12-15 00:00:00,99.2,99.5,
2011-11-25 00:00:00,RICH-N-0000,INTERIM DIVIDEND OF CENTS 40 PER SHARE,2011-12-06 00:00:00,2011-12-15 00:00:00,9.4,9.1,
2011-11-30 00:00:00,CTEA-N-0000,INTERIM DIVIDEND OF RS.10.00 PER SHARE,2011-12-09 00:00:00,2011-12-20 00:00:00,640,680,
2011-12-07 00:00:00,UCAR-N-0000,FIRST INTERIM DIVIDEND OF RS.6.00 PER SHARE,2011-12-16 00:00:00,2011-12-19 00:00:00,798,710,
2011-12-09 00:00:00,VLL-N-0000,INTERIM DIVIDEND OF RS.0.075 PER SHARE,2011-12-20 00:00:00,2011-12-30 00:00:00,7.8,7.8,
