Dividend Records - 2011,,,,,,,
Date of Announcement,Security,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price,
2011-02-28 00:00:00,CRL-N-0000,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-03-10 00:00:00,2011-03-18 00:00:00,61,61.2,
2011-02-28 00:00:00,REG-N-0000,FINAL DIVIDEND OF RS.6.00 PER SHARE,2011-03-10 00:00:00,2011-03-21 00:00:00,199.5,196.5,
2011-02-28 00:00:00,SINI-N-0000,FINAL DIVIDEND OF RS.2.00 PER SHARE,2011-03-10 00:00:00,2011-03-21 00:00:00,177,177,
2011-02-28 00:00:00,SINS-N-0000,FINAL DIVIDEND OF RS.3.50 PER SHARE,2011-03-10 00:00:00,2011-03-21 00:00:00,214,215,
2011-03-04 00:00:00,AGAL-N-0000,FIRST & FINAL DIVIDEND OF RS.2.50 PER SHARE,2011-04-01 00:00:00,2011-04-11 00:00:00,93.3,89.9,
2011-03-10 00:00:00,DIST-N-0000,INTERIM DIVIDEND OF RS.0.50 PER SHARE,2011-03-21 00:00:00,2011-03-28 00:00:00,173.8,176.2,
2011-03-10 00:00:00,HAYC-N-0000,INTERIM DIVIDEND OF RS.3.00 PER SHARE,2011-03-21 00:00:00,2011-03-29 00:00:00,147.6,147.6,
2011-03-14 00:00:00,DIPD-N-0000,INTERIM DIVIDEND OF RS.1.50 PER SHARE,2011-03-23 00:00:00,2011-03-30 00:00:00,112,115,
2011-03-17 00:00:00,HSIG-N-0000,INTERIM DIVIDEND OF RS.1.50 PER SHARE,2011-03-28 00:00:00,2011-04-06 00:00:00,78.5,75.5,
2011-03-21 00:00:00,GRAN-N-0000,FIRST & FINAL DIVIDEND OF RS.100 PER SHARE,2011-04-25 00:00:00,2011-05-03 00:00:00,162.4,157.4,
2011-03-21 00:00:00,KGAL-N-0000,INTERIM DIVIDENG OF RS.2.50 PER SHARE,2011-03-30 00:00:00,2011-03-31 00:00:00,209.7,207.5,
2011-03-21 00:00:00,LGL-N-0000,INTERIM DIVIDEND OF RS.1.50 PER SHARE,2011-03-30 00:00:00,2011-04-07 00:00:00,45.8,44.9,
2011-03-21 00:00:00,NAMU-N-0000,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-03-30 00:00:00,2011-03-31 00:00:00,118.6,117.4,
2011-03-22 00:00:00,BALA-N-0000,FIRST AND FINAL DIVIDEND OF RS.2.00 PER SHARE,2011-06-23 00:00:00,2011-07-04 00:00:00,55.3,56.7,
2011-03-24 00:00:00,CLPL-N-0000,FIRST INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-04-04 00:00:00,2011-04-12 00:00:00,95.1,92.8,
2011-03-25 00:00:00,NDB-N-0000,FINAL DIVIDEND OF RS.4.50 PER SHARE,2011-03-31 00:00:00,2011-04-08 00:00:00,340.4,172.9,
2011-03-28 00:00:00,CINS-N-0000,FIRST & FINAL DIVIDEND OF RS.5.50 PER SHARE,2011-05-04 00:00:00,2011-05-05 00:00:00,650.3,676,
2011-03-29 00:00:00,JINS-N-0000,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-04-07 00:00:00,2011-04-20 00:00:00,16.9,15.9,
2011-03-31 00:00:00,OSEA-N-0000,INTERIM DIVIDEND OF RS.0.30 PER SHARE,2011-05-09 00:00:00,2011-05-19 00:00:00,15,14.7,
2011-04-01 00:00:00,DFCC-N-0000,INTERIM DIVIDEND OF RS.7.00 PER SHARE,2011-04-12 00:00:00,2011-04-27 00:00:00,184.3,180.9,
2011-04-01 00:00:00,TILE-N-0000,SECOND INTERIM DIVIDEND OF RS.2.50 PER SHARE,2011-04-12 00:00:00,2011-04-26 00:00:00,132,136,
2011-04-04 00:00:00,HDFC-N-0000,FINAL DIVIDEND OF RS.5.00 PER SAHRE,2011-05-09 00:00:00,2011-05-20 00:00:00,1670.3,1581.2,
2011-04-07 00:00:00,DIAL-N-0000,FIRST & FINAL DIVIDEND OF RS.0.20 PER SHARE,2011-05-11 00:00:00,2011-05-20 00:00:00,10.1,9.9,
