,,,,DIVIDEND ANNOUNCEMENTS 2018 ,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX PRICE
2017-12-18 00:00:00, RFL-N-0000, RAMBODA FALLS,0.5, Rs. 0.50 per share / Interim Dividend  Financial Year: - 2017/2018 , 28-DEC-17, 09-JAN-18,19.2,20.6
2017-12-19 00:00:00, SCAP-N-0000, SOFTLOGIC CAP,0.4, Rs. 0.40 per share / Interim Dividend  Financial Year: - 2017/2018 , 29-DEC-17, 10-JAN-18,4.8,4.5
2017-12-21 00:00:00, TFIL-N-0000, TRADE FINANCE,2,  Rs. 2.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 03-JAN-18, 12-JAN-18,44,44
2017-12-29 00:00:00, CTC-N-0000, CEYLON TOBACCO,17.5,  Rs. 17.50 per share / Fourth Interim Dividend (Less WHT)  FY: - 2017 , 10-JAN-18, 19-JAN-18,1065,1030
2018-01-08 00:00:00, RICH-N-0000, RICHARD PIERIS,0.6, Rs. 0.60 per share / Interim Dividend  Financial Year: - 2017/2018 , 18-JAN-18, 26-JAN-18,13.4,13
2018-01-19 00:00:00, SMOT-N-0000, SATHOSA MOTORS,30, Rs. 30.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 30-JAN-18, 12-FEB-18,428.5,428.5
2018-01-22 00:00:00, AMSL-N-0000, ASIRI SURG,0.85, Rs. 0.85 per share / Interim Dividend  Financial Year: - 2017/2018, 01-FEB-18, 14-FEB-18,11.2,10.4
2018-01-26 00:00:00, COMB-X-0000, COMMERCIAL BANK,3,Rs. 3.00 per share (Voting & Non-Voting) /2nd Interim Dividend  FY: - 2017 , 08-FEB-18, 20-FEB-18,108.6,106.1
2018-01-26 00:00:00, COMB-N-0000, COMMERCIAL BANK,3,Rs. 3.00 per share (Voting & Non-Voting) / 2nd Interim Dividend  FY: - 2017 , 08-FEB-18, 20-FEB-18,140.8,140
2018-01-26 00:00:00, TJL-N-0000, TEEJAY LANKA,0.7,Rs.0.70 per share / First Interim Dividend  Financial Year:-2017/2018 , 08-FEB-18, 20-FEB-18,35.7,35
2018-01-30 00:00:00, VPEL-N-0000, VALLIBEL,0.3, Rs. 0.30 per share / Interim Dividend  Financial Year: - 2017/2018 , 12-FEB-18, 22-FEB-18,7.8,7.5
2018-01-30 00:00:00, MERC-N-0000, MERCANTILE INV,8,Rs. 8.00 per share/ Second Interim Dividend  Financial Year:- 2017/2018 , 12-FEB-18, 19-FEB-18,2580.3,2580.3
2018-01-30 00:00:00, JKH-N-0000, JKH,2,Rs. 2.00 per share Second Interim Dividend  Financial Year: - 2017/2018 , 12-FEB-18, 22-FEB-18,158.5,155.3
2018-02-02 00:00:00, SFCL-N-0000, SENKADAGALA,0.95, Rs. 00.95 per share / Interim Dividend  Financial Year: - 2017/2018 , 15-FEB-18, 21-FEB-18,90,90
2018-02-06 00:00:00, BPPL-N-0000, BPPL HOLDINGS,0.24, Rs. 00.24 per share / Interim Dividend  Financial Year: - 2017/2018 , 16-FEB-18, 27-FEB-18,13.7,13.7
2018-02-07 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,2, Rs. 2.00 per share / First Interim Dividend  Financial Year:- 2017/2018 , 19-FEB-18, 27-FEB-18,74.4,72.5
2018-02-08 00:00:00, ASIY-N-0000, ASIA SIYAKA,0.15, Rs. 0.15 per share /Interim Dividend  Financial Year: - 2017/2018 , 20-FEB-18, 02-MAR-18,2.6,2.4
2018-02-08 00:00:00, LLUB-N-0000, CHEVRON,2.25, Rs. 2.25 per share / Fourth Interim Dividend  Financial Year: - 2017 , 20-FEB-18, 02-MAR-18,115.9,113.5
2018-02-09 00:00:00, HASU-N-0000, HNB ASSURANCE,6, Rs. 6.00 per share /Interim Dividend  Financial Year:- 2017 , 21-FEB-18, 05-MAR-18,86,77.8
2018-02-12 00:00:00, PINS-N-0000, PEOPLE'S INS,1, Rs. 1.00 per share /Second Interim Dividend  Financial Year:- 2017 , 22-FEB-18, 05-MAR-18,22,22
2018-02-14 00:00:00, HPFL-N-0000, LOTUS HYDRO,0.35, Rs. 0.35 per share / Interim Dividend  Financial Year:- 2017/2018 , 23-FEB-18, 07-MAR-18,5.7,5.5
2018-02-14 00:00:00, CTC-N-0000, CEYLON TOBACCO,11.8, Rs. 11.80 per share / Final Dividend (Less WHT)  Financial Year: - 2017 , 26-APR-18, 08-MAY-18,1020,1020
2018-02-15 00:00:00, CTCE-N-0000, A I A INSURANCE,91, Rs. 91.00 per share / First and Final Dividend  Financial Year:- 2017 , 26-FEB-18, 07-MAR-18,460,373.3
2018-02-16 00:00:00, LFIN-N-0000, LB FINANCE,7,  Rs. 7.00 per share /Interim Dividend  Financial Year: - 2017/2018 , 27-FEB-18, 09-MAR-18,128,121.5
2018-02-16 00:00:00, KFP-N-0000, KEELLS FOOD,3, Rs. 3.00 per share /Interim Dividend  Financial Year: - 2017/2018 , 27-FEB-18, 09-MAR-18,127,126.5
2018-02-16 00:00:00, PINS-N-0000, PEOPLE'S INS,0.25, Rs. 0.25 per share / Final Dividend  Financial Year:- 2017 , 02-APR-18, 10-APR-18,21.5,21.4
2018-02-19 00:00:00, CARG-N-0000, CARGILLS,4.1, Rs. 4.10 per share /Second Interim Dividend  Financial Year: - 2017/2018 , 28-FEB-18, 12-MAR-18,207,206.1
2018-02-19 00:00:00, NEH-N-0000, NUWARA ELIYA,30,Rs. 30.00 per share /Interim Dividend  Financial Year: - 2017/2018 , 28-FEB-18, 12-MAR-18,1080.6,1080.6
2018-02-19 00:00:00, CTLD-N-0000, C T LAND,2,Rs. 2.00 per share /Second Interim Dividend  Financial Year: - 2017/2018 , 28-FEB-18, 12-MAR-18,52,50
2018-02-19 00:00:00, DFCC-N-0000, DFCC BANK PLC,5, Rs. 5.00 per share /First & Final Dividend  Financial Year: - 2017 , 28-FEB-18, 12-MAR-18,122.5,119
2018-02-19 00:00:00, SEYB-N-0000, SEYLAN BANK,1,Rs. 1.00 per share (Voting & Non-Voting) /First & Final Dividend  FY: - 2017 , 02-APR-18, 10-APR-18,86.8,85.5
2018-02-19 00:00:00, SEYB-X-0000, SEYLAN BANK,1,Rs. 1.00 per share (Voting & Non-Voting) /First & Final Dividend  FY: - 2017 , 02-APR-18, 10-APR-18,55.1,54.4
2018-02-19 00:00:00, CSD-N-0000, SEYLAN DEVTS,0.9,Rs. 0.90 per share /First & Final Dividend  Financial Year: - 2017 , 02-APR-18, 10-APR-18,13.8,12.9
2018-02-20 00:00:00, HNB-X-0000, HNB,5,Rs. 5.00 per share (Voting & Non-Voting) /Second Interim Dividend  FY: - 2017, 02-MAR-18, 12-MAR-18,190,187.7
2018-02-20 00:00:00, HNB-N-0000, HNB,5,Rs. 5.00 per share (Voting & Non-Voting) /2nd Interim Dividend , 02-MAR-18, 12-MAR-18,241.6,242
2018-02-21 00:00:00, NDB-N-0000, NAT. DEV. BANK,2, Rs. 2.00 per share (Free of tax) /Final Dividend  FY: - 2017 , 05-MAR-18, 14-MAR-18,139.6,135
2018-02-21 00:00:00, COMD-N-0000, COMMERCIAL DEV.,3, Rate of Dividend:- Rs. 3.00 per share / Second Interim Dividend  FY:- 2017 , 05-MAR-18, 14-MAR-18,75,72.1
2018-02-21 00:00:00, CTHR-N-0000, C T HOLDINGS,3.7, Rs. 3.70 per share / Second Interim Dividend  Financial Year:- 2017/2018 , 05-MAR-18, 14-MAR-18,185.7,185
2018-02-22 00:00:00, NEST-N-0000, NESTLE,25, Rs. 25.00 per share / Interim Dividend  Financial Year:- 2017, 06-MAR-18, 15-MAR-18,1800,1800
2018-02-22 00:00:00, NEST-N-0000, NESTLE,25, Rs. 25.00 per share / Final Dividend  Financial Year: - 2017 , 07-MAY-18, 15-MAY-18,1750.3,1750.3
2018-02-23 00:00:00, CCS-N-0000, COLD STORES,7, Rs. 7.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 07-MAR-18, 16-MAR-18,949.6,949.6
2018-02-26 00:00:00, LHCL-N-0000, LANKA HOSPITALS,1, Rs. 1.00 per share / Interim Dividend  Financial Year:- 2017 , 08-MAR-18, 19-MAR-18,57,57
2018-02-27 00:00:00, DOCK-N-0000, DOCKYARD,1.5, Rs. 1.50 per share / First & Final Dividend  Financial Year: - 2017 , 09-MAR-18, 20-MAR-18,85,85.3
2018-02-27 00:00:00, UBC-N-0000, UNION BANK,0.1, Rs. 0.10 per share / Final Dividend  Financial Year: - 2017 , 09-MAR-18, 20-MAR-18,13.2,13.1
2018-02-27 00:00:00, UAL-N-0000, UNION ASSURANCE,18, Rs. 18.00 per share / First & Final Dividend  Financial Year: - 2017 , 09-MAR-18, 20-MAR-18,161.1,148
2018-02-28 00:00:00, REG-N-0000, REGNIS,10.5, Rs. 10.50 per share / Final Dividend (Rs. 3.80 - Subject to 10% Dividend Tax/ Rs. 6.70 - Not Liable to Tax) FY:- 2017, 12-MAR-18, 20-MAR-18,110.3,100
2018-02-28 00:00:00, OSEA-N-0000, OVERSEAS REALTY,1.25, Rs. 1.25 per share / First & Final Dividend  Financial Year: - 2017 , 02-APR-18, 10-APR-18,18.1,16.4
2018-03-02 00:00:00, CTEA-N-0000, DILMAH CEYLON,30, Rs. 30.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 13-MAR-18, 22-MAR-18,610.2,610.2
2018-03-02 00:00:00, STAF-N-0000, DOLPHIN HOTELS,1, Rs. 1.00 per share / Interim Dividend  Financial Year: - 2017/2018, 13-MAR-18, 22-MAR-18,27,26.8
2018-03-02 00:00:00, PARQ-N-0000, SWISSTEK,3.5, Rs. 3.50 per share / Interim Dividend  Financial Year: - 2017/2018 , 13-MAR-18, 22-MAR-18,63,62.7
2018-03-02 00:00:00, SINI-N-0000, SINGER IND.,13.3, Rs. 13.30 per share / Final Dividend (Liable to 10% dividend tax)  FY: - 2017 , 13-MAR-18, 21-MAR-18,160,161.2
2018-03-02 00:00:00, HSIG-N-0000, HOTEL SIGIRIYA,10, Rs. 10.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 13-MAR-18, 22-MAR-18,73.5,64.7
2018-03-05 00:00:00, RIL-N-0000, R I L PROPERTY ,0.1, Rs. 0.10 per share / Interim Dividend  Financial Year:- 2017/2018 , 14-MAR-18, 23-MAR-18,7.5,7.5
2018-03-05 00:00:00, CTBL-N-0000, CEYLON TEA BRKRS,0.33, Rs. 0.325 per share / Interim Dividend  Financial Year:- 2017/2018 , 14-MAR-18, 23-MAR-18,4.2,4
