Dividend Records - 2004,,,,,,
Security,Rate & Remarks,Date of Announcement,Date Of Ex,Date Of Payment,Cum Price,Ex Price
HSIG-N-0,15% INTERIM,2003-12-19 00:00:00,2003-12-29 00:00:00,2004-01-20 00:00:00,30,28
MPRH-N-0,4.5% INTERIM,2003-12-19 00:00:00,2003-12-31 00:00:00,2004-01-14 00:00:00,20,10
NEH-N-00,50% INTERIM ,2003-12-24 00:00:00,2004-01-02 00:00:00,2004-01-16 00:00:00,180,250
CTC-N-00,12% INTERIM,2003-12-31 00:00:00,2004-01-20 00:00:00,2004-01-30 00:00:00,38.25,38
UCAR-N-0,75% FIRST & FINAL,2004-01-26 00:00:00,2004-03-16 00:00:00,2004-03-26 00:00:00,97,90
MLL-N-00,"10% F & F DIV, PAYM DA",2004-01-28 00:00:00,2004-04-01 00:00:00,2004-04-19 00:00:00,27,27
LOLC-N-0,7.5% SECOND INTERIM,2004-01-30 00:00:00,2004-02-06 00:00:00,2004-02-19 00:00:00,51.75,52
LWL-N-00,12.5% INTERIM,2004-01-30 00:00:00,2004-02-24 00:00:00,2004-03-05 00:00:00,32.75,32.5
COMB-N-0,32% FINAL,2004-02-03 00:00:00,2004-03-16 00:00:00,2004-03-26 00:00:00,150.25,151
COMB-X-0,32% FINAL,2004-02-03 00:00:00,2004-03-16 00:00:00,2004-03-26 00:00:00,108,105.25
LVEN-N-0,12.5 % INTERIM,2004-02-03 00:00:00,2004-02-23 00:00:00,2004-03-04 00:00:00,12.5,11
PDL-N-00,15% - FIRST AND FINAL,2004-02-06 00:00:00,2004-03-01 00:00:00,2004-03-11 00:00:00,18.5,16.25
TILE-N-0,15% INTERIM,2004-02-10 00:00:00,2004-02-17 00:00:00,2004-03-01 00:00:00,40,40
CTEA-N-0,10% INTERIM ,2004-02-11 00:00:00,2004-02-16 00:00:00,2004-02-27 00:00:00,104,105
COLO-N-0,7% FIRST & FINAL ,2004-02-12 00:00:00,2004-03-16 00:00:00,2004-03-26 00:00:00,16.5,17.25
HEXP-N-0,20% INTERIM TAX FREE,2004-02-13 00:00:00,2004-03-02 00:00:00,2004-03-12 00:00:00,57,55
NTB-N-00,5% FIRST & FINAL ,2004-02-13 00:00:00,2004-03-23 00:00:00,2004-04-02 00:00:00,23,22.75
DPL-N-00,10% FINAL,2004-02-16 00:00:00,2004-04-16 00:00:00,2004-04-28 00:00:00,15.5,14.5
CTCE-N-0,55% FINAL (LE,2004-02-17 00:00:00,2004-03-18 00:00:00,2004-03-30 00:00:00,115.25,110
DIPD-N-0,20% INTERIM (TAX FREE),2004-02-17 00:00:00,2004-03-05 00:00:00,2004-03-17 00:00:00,88,87.25
CINS-N-0,20% FIRST & FINAL,2004-02-19 00:00:00,2004-03-11 00:00:00,2004-04-06 00:00:00,48,41
GLAS-N-0,19% INTERIM,2004-02-19 00:00:00,2004-03-08 00:00:00,2004-03-18 00:00:00,30.25,25.5
SEYB-N-0,15% FIRST & FINAL,2004-02-19 00:00:00,2004-03-19 00:00:00,2004-03-31 00:00:00,45,43.5
SEYB-X-0,15 % FIRST & FINAL,2004-02-19 00:00:00,2004-03-19 00:00:00,2004-03-31 00:00:00,22,20.5
UAL-N-00,20% FIRST & FINAL,2004-02-20 00:00:00,2004-03-19 00:00:00,2004-03-31 00:00:00,47,46.5
NDB-N-00,57.5 FINAL,2004-02-23 00:00:00,2004-04-02 00:00:00,2004-04-20 00:00:00,155.25,155.5
REG-N-00,15% FINAL,2004-02-23 00:00:00,2004-03-15 00:00:00,2004-03-25 00:00:00,112,114.75
SINI-N-0,15% FINAL,2004-02-23 00:00:00,2004-03-15 00:00:00,2004-03-25 00:00:00,67,60
SINS-N-0,15% FINAL,2004-02-23 00:00:00,2004-03-15 00:00:00,2004-03-25 00:00:00,99,101.5
COML-N-0,15% FINAL,2004-02-24 00:00:00,2004-03-19 00:00:00,2004-03-31 00:00:00,65,64.5
HNB-N-00,20% FINAL,2004-02-24 00:00:00,2004-03-26 00:00:00,2004-04-08 00:00:00,70.75,70.75
HNB-X-00,20% FINAL,2004-02-24 00:00:00,2004-03-26 00:00:00,2004-04-08 00:00:00,42,41.5
SHAL-N-0,930% INTERIM,2004-02-24 00:00:00,2004-02-26 00:00:00,2004-03-09 00:00:00,760,
DIMO-N-0,15% INTERIM,2004-02-25 00:00:00,2004-02-27 00:00:00,2004-03-10 00:00:00,50.25,55
MGT-N-00,50% TAX FREE INTERIM,2004-02-25 00:00:00,2004-03-03 00:00:00,2004-03-15 00:00:00,64,75
NEH-N-00,50% INTERIM (TAX FREE),2004-02-26 00:00:00,2004-03-08 00:00:00,2004-03-18 00:00:00,350,350
TYRE-N-0,5% FIRST & FINAL,2004-02-26 00:00:00,2004-03-11 00:00:00,2004-03-23 00:00:00,6.5,5.75
ASHA-N-0,7% INTERIM,2004-03-01 00:00:00,2004-03-09 00:00:00,2004-03-19 00:00:00,13.5,13.75
CIC-N-00,17.5 % INTERIM,2004-03-01 00:00:00,2004-03-15 00:00:00,2004-03-25 00:00:00,136,130
CIC-X-00,17.5 % INTERIM,2004-03-01 00:00:00,2004-03-15 00:00:00,2004-03-25 00:00:00,122.5,113
JKH-N-00,10% INTERIM,2004-03-01 00:00:00,2004-03-09 00:00:00,2004-03-24 00:00:00,107,110
LHL-N-00,10% INTERIM (TAX FREE),2004-03-01 00:00:00,2004-03-15 00:00:00,2004-03-25 00:00:00,31.25,29.75
SLTL-N-0,5% FIRST & FINAL,2004-03-01 00:00:00,2004-05-21 00:00:00,2004-06-03 00:00:00,16.25,16
CHMX-N-0,15% INTERIM  (,2004-03-02 00:00:00,2004-03-16 00:00:00,2004-03-26 00:00:00,110,110
DOCK-N-0,15% FIRST & FINAL,2004-03-03 00:00:00,2004-04-19 00:00:00,2004-04-29 00:00:00,23,22
SAMP-N-0,5% SECOND & FINAL,2004-03-03 00:00:00,2004-03-12 00:00:00,2004-03-31 00:00:00,82.75,81.5
BHR-N-00,25% INTERIM,2004-03-05 00:00:00,2004-03-16 00:00:00,2004-03-26 00:00:00,30.5,28.5
TPL-N-00,7.5 % FIRST & FINAL,2004-03-08 00:00:00,2004-04-14 00:00:00,2004-04-24 00:00:00,13.5,11
LLUB-N-0,30% FINAL,2004-03-09 00:00:00,2004-03-19 00:00:00,2004-03-31 00:00:00,79.25,75.25
NBL-N-00,5% FIRST & FINAL,2004-03-09 00:00:00,2004-04-15 00:00:00,2004-04-27 00:00:00,25,24.75
SPEN-N-0,25% INTERIM (38.9% TAX,2004-03-09 00:00:00,2004-03-16 00:00:00,2004-03-26 00:00:00,265,265
COMD-N-0,26% FINAL,2004-03-10 00:00:00,2004-04-16 00:00:00,2004-04-28 00:00:00,30,27
KVAL-N-0,15% FIRST & FINAL,2004-03-11 00:00:00,2004-04-08 00:00:00,2004-04-23 00:00:00,17.5,17
RICH-N-0,10% (TAX FREE) INTERI,2004-03-17 00:00:00,2004-03-19 00:00:00,2004-03-31 00:00:00,95,95
CFIN-N-0,12.5% 2ND INTERIM,2004-03-24 00:00:00,2004-04-02 00:00:00,2004-04-20 00:00:00,240,244.5
HAYL-N-0,17.5% INTERIM (TAX FRE,2004-03-24 00:00:00,2004-04-06 00:00:00,2004-04-21 00:00:00,118,102.25
NEST-N-0,19% FINAL,2004-03-30 00:00:00,2004-08-04 00:00:00,2004-08-16 00:00:00,87,84
NEST-N-0,70% INTERIM,2004-03-31 00:00:00,2004-04-22 00:00:00,2004-05-10 00:00:00,91.75,82.5
AGAL-N-0,7.5% FIRST & FINAL,2004-04-02 00:00:00,2004-04-28 00:00:00,2004-05-14 00:00:00,12.5,11.5
CTC-N-00,10% FIRST INTERIM,2004-04-02 00:00:00,2004-04-19 00:00:00,2004-04-29 00:00:00,39.5,39.25
UML-N-00,7.5% INTERIM,2004-04-02 00:00:00,2004-04-14 00:00:00,2004-04-28 00:00:00,27,27
CARG-N-0,15.22% INTERIM,2004-04-07 00:00:00,2004-04-22 00:00:00,2004-05-10 00:00:00,135,135
MILL-N-0,54.95% INTERIM,2004-04-07 00:00:00,2004-04-26 00:00:00,2004-05-12 00:00:00,205,206
TWOD-N-0,5% INTERIM,2004-04-07 00:00:00,2004-04-14 00:00:00,2004-04-26 00:00:00,10,10.25
CDIC-N-0,22.5% FINAL,2004-04-08 00:00:00,2004-05-24 00:00:00,2004-06-04 00:00:00,48,42.5
CTHR-N-0,45% INTERIM (TAX FREE),2004-04-08 00:00:00,2004-04-26 00:00:00,2004-05-12 00:00:00,400,741.5
CTLD-N-0,4% INTERIM,2004-04-08 00:00:00,2004-04-22 00:00:00,2004-05-10 00:00:00,7.25,7
