Sector Trading Statistics Monthly 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector ,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
Automobiles & Components,7800,14021944,1383208787,1,1,2346,2314422,196893171,1,1,1913,1516488,112937934,1,1,2148,2340174,199095586,1,1,934,771246,65141294,1,1,1241,659553,56476749,1,1,2614,2216658,201054233,1,1,3045,3601420,318998936,1,1,2145,2336233,199581695,1,1,1550,1226554,107779057,1,1,2725,3076257,255549319,1,1,5131,6396162,599464227,1,1
Banks,112070,422510755,23124156494,16,12,67518,128149698,11023556561,16,12,41476,85635988,6100123699,16,12,43903,153363113,8520051015,16,12,27828,110614813,5410559140,16,12,31867,84651287,5842286699,16,12,26702,64281069,4007939628,16,12,41278,115252533,6338298174,16,12,26654,131515681,8561311449,16,12,47100,250829081,6946824827,16,12,32454,112889981,3838151947,16,12,35029,192335062,6807315176,16,12
Capital Goods,195439,663655049,42715564724,30,28,140869,280542124,23469492942,30,28,64765,140478087,8904163650,30,28,98710,231066007,15096991543,30,27,78728,207476312,9447874146,30,27,91038,180727494,8355812057,30,27,67622,180172115,9678104048,30,27,150336,520151359,24753103559,30,27,142053,455974411,26230602075,30,27,117453,360822307,18450625839,30,27,155357,517672709,24465789862,30,27,168086,421395883,29549519413,30,27
Commercial & Professional Services,851,429794,31269217,5,5,572,97283,4278103,5,5,202,19258,730508,5,5,140,23549,979169,5,3,174,33118,1076422,5,3,479,136754,7256843,5,3,1210,5343580,181743067,5,3,4065,15896826,615378964,5,3,5875,7648448,139763703,6,4,7134,40485459,601631319,6,4,13655,51552181,1147635164,6,4,6289,11585544,337997888,6,4
Consumer Durables & Apparel,40875,211857281,4971311950,13,12,17415,67724441,1398846989,13,12,8443,40147613,414960195,13,12,12473,67112170,1104890796,13,12,11139,72641845,1492835401,13,12,16643,64027083,1295546131,13,12,25894,106667215,2669161519,13,12,72037,264011543,7275977782,13,12,28008,105044338,3060304585,13,12,25616,90042661,2819866561,13,12,30377,103173610,2941960445,13,12,28212,118222778,2673107408,13,12
Consumer Services,18746,90779395,935651391,37,36,9331,32980095,225494737,37,36,6477,20276203,143187541,37,36,5363,16950276,118497743,37,36,4698,11304126,73436557,37,36,6714,17704475,125728970,37,36,37564,177806527,1657366200,37,36,25497,88086799,1290098169,37,36,54329,348503443,3465379751,37,36,67100,407768703,3537306900,37,36,28502,120125046,1253977623,37,36,31644,130399209,1334875946,37,36
Diversified Financials,115195,856921560,22830998240,51,42,67532,279435169,11645216541,51,42,36029,92834604,3285657046,50,42,41026,124076345,3977152761,50,41,34377,387665817,2436282035,49,41,91702,355503692,9635947984,49,41,68198,1008122917,6220697177,49,41,160188,1471264725,19065197968,50,41,123065,1821811276,12160373971,50,41,89327,858856108,7792362173,50,41,299508,1910049234,44399745315,51,43,223147,5024508077,25664783699,54,46
Energy,7145,29227079,779301960,3,2,3025,4883459,108613790,3,2,1759,2079463,40930487,3,2,1811,3282208,62115971,3,2,1795,4046572,79839609,3,2,8528,15679460,327915721,3,2,2660,3261265,62319188,3,2,4738,9249156,165924825,3,2,3291,8944687,163750212,3,2,15934,42824436,1068903744,3,2,5300,14435716,381847511,3,2,43788,117387617,6525548903,3,2
Food & Staples Retailing,4091,102319696,1796826444,5,3,1702,16599006,224017360,5,3,744,6997807,88379183,5,3,252,618671,118436456,5,2,235,1110134,256331635,5,2,381,1375746,329069373,5,2,532,7054930,1602270881,5,2,326,2582985,611464651,5,2,3541,102486939,124506109,5,3,1587,19246317,200984888,5,3,1734,24208066,132361730,5,3,6077,214501688,293644918,5,3
"Food, Beverage & Tobacco",156687,4283065708,34161854229,50,45,81455,3682296374,27059211152,50,45,42620,554943223,4772206438,50,45,55016,1003260614,8381505344,50,45,50076,972565103,7690332908,50,45,59467,358335102,5198018173,50,45,51047,348183351,5303152641,50,45,120894,2440309558,23825649431,50,45,147388,2521523073,28439884959,50,45,85876,970721846,12445056450,50,45,198492,1963037909,31872831027,50,45,179352,1470327822,30366341825,50,45
