Sector Trading Statistics Monthly 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector ,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
Health Care Equipment & Services,9769,80068343,559685841,9,8,5422,37675856,260250854,9,8,2889,8288363,65477401,9,8,2841,13968535,45161505,9,8,3026,8882280,77712838,9,8,5298,36992801,166068993,9,8,4743,72134492,1397516438,9,8,12535,104129946,520251320,9,8,20914,162245419,1084939715,9,8,6252,27202111,275289039,9,8,9200,72898059,361911248,9,8,18712,90028317,857967153,9,8
Household & Personal Products,3159,92966066,1489760291,2,2,1175,2230424,32692320,2,2,479,1088696,14684759,2,2,833,3072116,46222123,2,2,362,1310532,19745464,2,2,2551,11785834,216747274,2,2,2021,4988924,97612613,2,2,3353,22389193,493745820,2,2,1221,3461386,82295769,2,2,833,11487619,280058702,2,2,981,1876654,44762719,2,2,2314,6084126,165105087,2,2
Insurance,16513,91262367,1155106180,11,10,7369,17118159,420954538,11,10,6343,12221355,342982236,11,10,4522,7668599,180389189,11,10,5717,8227523,190459520,11,10,10205,25566059,362027421,11,10,7854,16395749,374582141,11,10,8426,28645491,476242346,11,10,7638,39406895,379171394,11,10,4912,17309635,265813486,11,10,17405,175439974,1082627790,11,10,77949,575950497,7041138524,13,12
Materials,152769,2555131330,26571460892,23,18,104153,518484719,13193028013,23,18,74459,961208791,12255867963,23,18,83088,311348599,9603294596,23,18,63965,204230800,5372497178,23,18,72888,229429393,6030201136,23,18,71248,386683884,6323598796,23,18,145676,466847222,13596193329,24,19,82819,280609623,5973372435,24,19,90062,432008744,6897324343,24,19,143017,542779715,13288839599,25,20,111525,1112119441,9820928907,25,20
Real Estate,17614,56918361,1066091443,19,17,8076,15704551,312809402,19,17,4168,15645927,257986029,19,17,3571,6461893,113873406,19,16,3451,5147638,88608698,19,16,29674,91390151,1381176303,20,17,13893,26588446,494076837,20,17,22895,75032535,1229112783,20,17,12759,47023539,807046534,19,17,8063,25200756,401838304,19,17,22094,134326392,3095952648,19,17,31747,114907024,1908292585,20,18
Retailing,15692,45543038,986801626,13,13,7179,10496056,197538317,13,13,4969,8058919,176518981,13,13,5899,12888503,150537302,13,13,5144,14866099,158741826,13,13,16024,38194824,561617692,13,13,15184,72841769,783311116,13,13,15325,64994445,640168551,13,13,12477,65384655,620967666,13,13,14139,98376611,947646397,13,13,35056,302236683,4162815428,13,13,22315,92532062,1693954085,13,13
Software & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27725,66742812,1743511374,1,1
Telecommunication Services,3993,42987243,581047455,2,2,2784,32262743,410826015,2,2,2390,23706248,310867642,2,2,1807,6679469,92378058,2,2,1931,97655651,1248736403,2,2,2603,19346405,255593245,2,2,3796,20808234,251354190,2,2,5860,19936273,233043981,2,2,5812,19843847,273559055,2,2,2428,24162526,273362871,2,2,2816,21224909,243667053,2,2,2727,18506475,217571952,2,2
Transportation,69833,419673639,19649024386,2,2,37227,147225295,7145793953,2,2,25392,75990202,3456480822,2,2,24558,81249240,3958862949,2,2,27503,70238720,2300591809,3,3,23249,72052080,3484966334,3,3,40083,164203407,10026337433,3,3,141684,401923909,41346420205,3,3,115507,243471251,42443280870,3,3,53843,68740842,13997976201,3,3,67531,85583465,18854867083,3,3,67062,60445945,20057164502,3,3
Utilities,14716,157177051,980562876,8,7,9939,72746754,410220923,8,7,5936,34802056,200714419,8,7,8711,84543178,1225960123,9,8,11975,106448823,613002139,9,8,13847,208933684,2840171730,10,8,8284,482002065,2481122446,10,8,12917,77335494,714978226,10,8,8710,60964926,516733506,10,8,6806,47661624,366508061,10,8,25578,237304683,1565354311,10,8,14822,89724829,1433577317,10,8
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
