,Sub Division / Share Splits  2025 (January to December),,,,,
No.,Date of Announcement,COMPANY ID,COMPANY NAME,OLD PROPORTION,NEW PROPORTION,EFFECTIVE DATE
1,,SUN.N0000,Sunshine Holdings PLC,1,4,2025-02-18 00:00:00
2,,WATA.N0000,Watawala Plantations PLC,1,5,2025-02-28 00:00:00
3,,HHL.N0000,Hemas Holdings PLC,1,5,2025-05-06 00:00:00
4,,CIC.N0000,C I C Holdings PLC (N & X),1,5,2025-10-17 00:00:00
5,,COLO.N0000,C M Holdings PLC,1,10,2025-10-21 00:00:00
