Sector Trading Statistics Monthly 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Motors,674,220202,39235882,6,6,461,159847,36253540,6,6,417,3718356,511548494,6,6,594,242581,39067341,6,6,623,3548502,432249338,6,6,516,205059,40003910,6,6,2168,1432256,717951332,6,6,3435,2081221,420965144,6,6,2505,1482215,187862007,6,6,1755,1089617,129221098,6,6,1655,1271016,331463073,6,6,768,1697701,184776542,6,6
Oil Palms,242,28289,18492678,5,5,277,18923,10837271,5,5,454,138032,84783081,5,5,308,203160,185036825,5,5,383,205521,223167554,5,5,253,41703,28599680,5,5,446,899979,578550188,5,5,280,78415,55767876,5,5,351,206412,151829397,5,5,284,17717,14453463,5,5,252,37488,29383968,5,5,130,20335,31729159,5,5
Stores & Supplies,383,24721,7987435,4,4,199,19660,7341682,4,4,181,6472,2321318,4,4,119,12416,4825274,4,4,316,32594,11378590,4,4,329,20679,8789959,4,4,537,68073,23411056,4,4,703,80020,39345527,4,4,554,50574,24028306,4,4,390,31430,15410352,4,4,293,23873,10950025,4,4,132,58036,12433034,4,4
Services,719,1419989,8261022,8,8,477,1123723,5367076,8,8,420,1329777,5926618,8,8,513,3869424,14944676,8,8,492,1424306,8040944,8,8,1200,7044795,31314773,8,8,1277,4095582,47093490,8,8,1172,7648368,89264045,8,8,2081,13881580,75946828,8,8,993,4921245,26564399,8,8,1031,6131767,73234502,8,8,330,896680,7805083,8,8
Trading,3894,40143815,198262698,8,8,1196,11265930,65312749,8,7,1562,19474483,44016788,8,8,1493,6433092,49900045,8,7,1879,7900738,50184702,8,8,2923,23049746,131091330,8,8,6214,57401763,213813977,8,8,5822,80113318,295801703,8,8,3448,30794064,164642863,8,8,3087,10768392,171934209,8,8,3921,54927767,226680094,8,8,1040,5274456,41822582,8,8
Plantation,5654,9637193,177888783,19,18,2576,3610675,81576266,19,18,2683,2392733,58840331,19,18,4218,4772669,93018942,19,18,4801,12441126,179057093,19,18,4490,8312769,164263591,19,18,6751,14029745,216009286,19,18,9743,22626510,408290100,19,18,5524,13129919,205859369,19,18,9330,33378810,635228770,19,18,5205,8995144,186217558,19,18,2075,5621619,72955704,19,18
Diversified,21265,236880276,6574876945,18,18,17386,126779779,8211993974,18,18,11389,87201395,5366113919,18,18,15072,151491362,11271896405,18,18,15480,801593486,11225290974,18,18,20064,235193237,7836061283,19,19,34499,685085502,11561509813,19,19,31035,725938219,17113938411,19,19,32797,384416013,12773086346,19,19,20708,276297825,8661754120,19,19,24187,232867280,6051148210,19,19,9201,101924109,2994720356,19,19
Power & Energy,8537,88627001,838729562,8,8,3935,31838419,416936258,8,8,2897,13282178,125197241,8,8,5609,33086636,653447636,8,8,9325,49651687,885849787,8,8,6797,28009718,424594014,8,8,8023,42044072,539282447,8,8,8318,63796252,1473680461,8,8,14492,151462023,1897192936,8,8,12673,107224511,1650948744,8,8,18972,350533896,4275600892,8,8,7200,202573673,2550679746,8,8
Healthcare,2071,23500761,228378896,6,6,970,6013840,53262960,6,6,2801,11167329,149426036,6,6,1634,4780884,72034391,6,5,1615,7763027,84016639,6,5,1601,8588855,84226052,6,6,2393,15477639,333441351,6,6,2371,11774926,244629904,6,6,5616,49024029,1059279568,6,6,2785,22528321,498449731,5,6,2625,22202888,446133658,5,5,1331,4644713,88699362,5,5
Information Technology,2503,29642858,52363669,2,2,2199,51564301,47779244,2,2,1358,8796097,19967109,2,2,1580,36923699,18295464,2,2,838,5322563,21141368,2,2,2180,87383944,330406716,2,2,4565,80754082,118446372,2,2,1567,14389416,27703542,2,2,1776,37822360,40353020,2,2,1049,17604234,18410519,2,2,824,5267901,16329756,2,2,607,8275189,8687330,2,2
Telecommunication,1143,12704135,155721485,2,2,1591,134017099,1375061072,2,2,855,14228749,150150672,2,2,887,3189832,46430884,2,2,933,4336918,51813450,2,2,1232,12150042,134115677,2,2,2272,26443500,453873707,2,2,1221,12672336,176848233,2,2,1078,18367951,216849770,2,2,2201,226941242,2855649660,2,2,3124,150067898,1960270708,2,2,1227,29960709,417857868,2,2
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
