Sector Trading Statistics Monthly 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",73271,652353525,8402220086,61,57,30272,342713113,5206894394,61,57,24178,141572777,3992976851,61,57,31743,155616042,4878443719,61,57,33810,237979844,5585890283,61,57,34359,342905310,4539616698,61,57,62321,367055011,8602074369,61,56,78271,759782716,10942926941,61,57,85932,551547280,15038066259,61,56,73242,517330765,15761380799,61,56,68792,497880873,12811831524,61,56,35426,328528220,12351572511,61,56
"Beverage, Food & Tobacco",5645,13826001,874521691,20,20,3194,8032322,707710734,20,20,3653,6270102,582528645,20,20,3233,15184884,636637209,20,20,5829,31501676,1368749330,20,20,4496,14481285,819542594,20,20,11916,57404268,2725051181,21,21,14718,65888874,1682989708,21,21,11977,74512209,1581956498,21,21,6807,43352541,1193350743,21,21,10913,83282856,1364807714,21,21,4144,17442315,1428556617,21,21
Construction & Engineering,2783,17773945,444760488,4,4,1058,5915325,137505785,4,4,1094,3149878,93589214,4,4,1705,5996516,170879765,4,4,1727,6192603,190787898,4,4,2210,15238180,356508384,4,4,4764,67748554,1777581028,4,4,7819,52599547,1734121701,4,4,6947,71197402,2155595017,4,4,7217,39302330,1288819861,4,4,16662,131460309,5292257275,4,4,6503,41179791,1630680521,4,4
Chemicals & Pharmaceuticals,2463,17414718,97726332,10,10,1060,9729847,32018152,10,10,1080,3025959,70705604,10,10,1560,5766889,45497217,10,10,1832,9252495,79825504,10,10,5422,110658661,252144529,10,10,11256,183058683,1017500432,10,10,4496,54789362,319372114,10,10,6432,50857311,789575829,10,10,2061,12272099,168603595,10,10,3245,18489907,296124052,10,10,1055,8073992,97364306,10,10
Footwear & Textiles,1834,4636805,62576160,4,4,895,1471327,15945328,4,4,689,1814431,7743534,4,3,1088,4956189,35707897,4,3,1358,4712635,34191819,4,4,7518,64173470,526646139,4,4,6371,23464436,109377269,4,4,6819,32341883,346919024,4,4,9998,151500761,3231758635,3,4,4234,9208266,180449984,3,3,2352,5410439,95409890,3,3,1039,1943426,30076833,3,3
Hotels & Travels,8657,28632714,374787701,37,36,5436,21616594,226261324,37,36,6385,21200774,217317510,38,37,6280,47026906,679724371,38,36,8972,30251837,528085467,38,37,9870,42461511,532324941,38,37,14155,65871535,1226856010,38,37,17146,85976168,760335862,38,37,20857,73130805,983872770,37,37,9379,26951405,559667111,37,36,8928,35805329,442486825,37,36,4527,11985934,96211151,37,36
Investment Trusts,3260,16646694,140757930,9,9,1725,15031588,203531995,9,9,1697,4286385,59525684,9,9,1646,5921621,63760390,9,9,2963,7451513,135131592,9,9,2699,17398657,268850797,9,9,7645,28809602,651544059,9,9,20760,157786864,1275313887,9,9,12341,76461707,960133458,9,9,8578,174331529,604223388,9,9,8953,58977444,736980956,9,9,4670,11123410,278711964,9,9
Land & Property,10746,70764604,437394528,18,18,4643,22359812,162576184,19,19,4206,20622730,144004249,19,19,5987,17815161,363166402,19,18,5146,21069263,447824259,19,18,3846,6513749,144683435,19,18,8736,26067776,459714542,19,18,7815,28657779,497039073,19,18,9322,26383828,572651742,19,18,8916,130344509,1197309558,19,18,9485,39693515,676090136,19,18,2782,8472110,151342776,19,18
Manufacturing,21312,132753567,3128214197,36,34,11597,76195585,896468343,36,35,11013,59179461,789452032,37,35,17332,111563641,1684606102,37,36,18449,95876487,2023657613,37,36,15416,81963106,1873986854,37,35,27284,164588670,2943430683,37,36,32257,170027230,2629680074,37,36,30322,219762252,4038445388,37,36,31941,165711853,3413416377,37,36,42549,280807523,5484538055,37,35,19205,122118669,1845467210,37,35
