,,,,DIVIDEND ANNOUNCEMENTS 2016,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX_PRICE,,
2016-06-14 00:00:00, HPFL-N-0000, LOTUS HYDRO,0.3, Interim Dividend Of Rs.0.30 Per Share Fy 2016/2017, 23-JUN-16, 01-JUL-16,6.7,6.3,,
2016-06-14 00:00:00, CTLD-N-0000, C T LAND,1.65, Final Dividend Of Rs.1.65 Per Share Fy 2015/2016, 07-JUL-16, 15-JUL-16,51.8,51.8,,
2016-06-15 00:00:00, SIGV-N-0000, SIGIRIYA VILLAGE,4, First & Final Dividend Of Rs.4.00 Per Share Fy 2015/2016, 29-AUG-16, 06-SEP-16,68.1,64.6,,
2016-06-15 00:00:00, SMOT-N-0000, SATHOSA MOTORS,15, Final Dividend Of Rs.15.00 Per Share Fy 2015/2016, 24-JUN-16, 05-JUL-16,320,320,,
2016-06-15 00:00:00, ODEL-N-0000, ODEL PLC,0.11, Interim Dividend Of Rs.0.11 Per Share Fy 2015/2016, 24-JUN-16, 05-JUL-16,20.8,20.9,,
2016-06-16 00:00:00, CTHR-N-0000, C T HOLDINGS,2.8, Final Dividend Of Rs.2.80 Per Share (Out Of Dividend Income, 05-JUL-16, 14-JUL-16,118.2,118.2,,
2016-06-22 00:00:00, SERV-N-0000, KINGSBURY,0.5, Rs.0.50 Per Share Liable To 10% Dividend Tax - Second Interim Dividend Fy 2015/2016, 01-JUL-16, 13-JUL-16,16,15.9,,
2016-06-23 00:00:00, YORK-N-0000, YORK ARCADE,0.3, Rs.0.30 Per Share First & Final - Fy 2015-2016, 01-AUG-16, 09-AUG-16,14,14,,
2016-06-24 00:00:00, CARS-N-0000, CARSONS,1.5, First & Final Rs.1.50 Per Share (Would Not Be Subject a WHT Of 10%) FY 2015/2016, 01-AUG-16, 09-AUG-16,230,230,,
2016-06-27 00:00:00, SIL-N-0000, SAMSON INTERNAT.,2, First & Final Rs.2.00 Per Share - Fy 2015/2016, 07-JUL-16, 18-JUL-16,90,90.5,,
2016-06-27 00:00:00, KCAB-N-0000, KELANI CABLES,4.5, Interim Dividend Of Rs.4.50  - Fy 2015/2016 , 07-JUL-16, 18-JUL-16,124.4,122,,
2016-06-28 00:00:00, TKYO-N-0000, TOKYO CEMENT,1.35, First & Final Dividend Of Rs.1.35 Per Share Voting And Non-Voting - Fy 2015/2016, 05-AUG-16, 15-AUG-16,46.1,46.1,,
2016-06-29 00:00:00, BRR-N-0000, BANSEI RESORTS,0.1, Rs.0.10 Per Share First And Final - FY2015/2016, 18-AUG-16, 26-AUG-16,10.3,10.4,,
2016-06-30 00:00:00, NHL-N-0000, NAWALOKA,0.08, Rs.0.08 Per Share - Interim. Fy 2016/2017, 12-JUL-16, 22-JUL-16,4.4,4.3,,
2016-07-01 00:00:00, LMF-N-0000, LANKA MILK FOODS,1.25, Rs. 1.25 Per Share / First And Final Dividend Financial Year: - 2015/2016 , 23-AUG-16, 29-AUG-16,123.9,123,,
2016-07-01 00:00:00, CIND-N-0000, CENTRAL INDUSTRIES,5.5, Rs. 5.50 Per Share / Final Dividend  (Dates) - Financial Year: - 2015/2016 , 29-JUL-16, 08-AUG-16,116.1,56,,
2016-07-05 00:00:00, ARPI-N-0000, ARPICO FINANCE,4.5, Rs. 4.50 Per Share / First & Final Dividend - FYear: - 2015/2016 , 11-AUG-16, 22-AUG-16,213.1,201.3,,
2016-07-05 00:00:00, APLA-N-0000, ACL PLASTICS,6, Rs. 6.00 Per Share / Interim Dividend  - Financial Year: - 2015/2016 , 15-JUL-16, 27-JUL-16,191.2,192.2,,
2016-07-08 00:00:00, VONE-N-0000, VALLIBEL ONE,0.5, Rs. 0.50 Per Share / Interim Dividend - Fy 2016/2017, 20-JUL-16, 29-JUL-16,21.4,21,,
2016-07-11 00:00:00, EXPO-N-0000, EXPOLANKA,0.15, Rs. 0.15 Per Share / Interim Dividend  - Fy 2016/2017, 21-JUL-16, 01-AUG-16,6.8,6.6,,
2016-07-12 00:00:00, CRL-N-0000, SOFTLOGIC FINANCE,1.25, Rs. 1.25 Per Share / Interim Dividend . Fy 2015/2016, 22-JUL-16, 02-AUG-16,41.8,42.8,,
2016-07-13 00:00:00, COCR-N-0000, COMMERCIAL CREDIT,1, Rs. 1.00 Per Share / First & Final Dividend . Fy 2015/2016, 09-AUG-16, 16-AUG-16,45,46.2,,
2016-07-15 00:00:00, KHL-N-0000, KEELLS HOTELS,0.3, Rs. 0.30 Per Share / Interim Dividend - Financial Year: - 2016/2017 , 27-JUL-16, 05-AUG-16,12.5,12,,
2016-07-18 00:00:00, LIOC-N-0000, LANKA IOC,1.25, Rs. 1.25 Per Share / First & Final Dividend - Fy 2015/2016, 26-SEP-16, 04-OCT-16,37.9,36.5,,
2016-07-26 00:00:00, LLUB-N-0000, CHEVRON,3, Rs. 3.00 Per Share / Third Interim Dividend. Financial Year: - 2016., 04-AUG-16, 15-AUG-16,164.9,163,,
2016-07-26 00:00:00, ACL-N-0000, ACL CABLES,1.5, Rs. 1.50 Per Share / Interim Dividend - FY 2016/2017 , 04-AUG-16, 15-AUG-16,59.8,59.4,,
2016-07-26 00:00:00, LVEN-N-0000, LANKA VENTURES,2, Rs.2.00 Per Share - Final Dividend - Fy 2015/2016, 23-SEP-16, 03-OCT-16,49,45,,
2016-07-26 00:00:00, PHAR-N-0000, COLOMBO CITY,10, Rs. 10.00 Per Share / First & Final Dividend . Fy 2015/2016 - Amended Dates, 07-SEP-16, 19-SEP-16,850.4,831.1,,
2016-07-27 00:00:00, SWAD-N-0000, SWADESHI,1, Rs.1.00 Per Share - First And Final - Fy 2015/2016, 03-OCT-16, 12-OCT-16,13500,13500,,
2016-07-28 00:00:00, SOY-N-0000, CONVENIENCE FOOD,4, Rs. 4.00 Per Share / First & Final Dividend Financial Year:- 2015/2016 (Dates), 25-AUG-16, 02-SEP-16,430,430,,
2016-07-29 00:00:00, TYRE-N-0000, KELANI TYRES,2.5, Rs.2.50 Per Share Interim Dividend Fy 2016/2017, 09-AUG-16, 19-AUG-16,69,67,,
2016-08-01 00:00:00, DIST-N-0000, DISTILLERIES,3.35, Final Dividend Of Rs.3.30 Per Share FY 2015/2016, 07-SEP-16, 19-SEP-16,266.9,260.2,,
2016-08-02 00:00:00, EBCR-N-0000, E B CREASY,30, First & Final Dividend Of Rs.30.00 Per Share Fy 2015/2016, 01-SEP-16, 09-SEP-16,1250.1,1250.1,,
2016-08-04 00:00:00, VLL-N-0000, VIDULLANKA,0.1, S. 0.10 (Ten Cents) Per Share / Interim Dividend - Financial Year: - 2016/2017 , 15-AUG-16, 24-AUG-16,5.8,5.8,,
2016-08-04 00:00:00, KHC-N-0000, KANDY HOTELS,0.25, Rs.0.25 Per Share Final Dividend Fy 2015/2016, 19-SEP-16, 27-SEP-16,7.9,7.6,,
2016-08-04 00:00:00, PHAR-N-0000, COLOMBO CITY,10, Amended Dates - Rs. 10.00 Per Share / First And Final Dividend - FY:- 2015/2016  , 05-SEP-16, 14-SEP-16,892.5,850.2,,
2016-08-05 00:00:00, DPL-N-0000, DANKOTUWA PORCEL,0.25, Rs. 0.25 Per Share / First & Final Dividend - Fy 2015/2016, 05-SEP-16, 14-SEP-16,8,7.9,,
2016-08-09 00:00:00, ASIY-N-0000, ASIA SIYAKA,0.1,  Rs. 0.10 (Ten Cents) Per Share / Interim Dividend  Fy 2016/2017, 19-AUG-16, 30-AUG-16,2.6,2.6,,
2016-08-09 00:00:00, ALLI-N-0000, ALLIANCE,24, Rs. 24.00 Per Share / Final Dividend - Fy 2015/2016, 30-SEP-16, 10-OCT-16,1044.6,1042.9,,
2016-08-10 00:00:00, CTC-N-0000, CEYLON TOBACCO,16.7, Rs. 16.70 (Less Wht) Per Share / Second Interim Dividend - Financial Year: - 2016 , 22-AUG-16, 30-AUG-16,930,911.8,,
2016-08-11 00:00:00, COCO-X-0000, RENUKA FOODS,0.35, Rs. 0.35 (Voting & Non-Voting) / Final Dividend - Financial Year: - 2015/2016 , 19-SEP-16, 27-SEP-16,19.1,19.1,,
2016-08-11 00:00:00, COCO-N-0000, RENUKA FOODS,0.35, Rs. 0.35 Per Share (Voting & Non-Voting) / Final Dividend - FY2015/2016 , 19-SEP-16, 27-SEP-16,22.1,21,,
2016-08-11 00:00:00, RHL-X-0000, RENUKA HOLDINGS,0.35, Rs. 0.35 Per Share (Voting & Non-Voting) / Final Dividend  - Financial Year: - 2015/2016 , 19-SEP-16, 27-SEP-16,19.4,19.5,,
2016-08-11 00:00:00, RHL-N-0000, RENUKA HOLDINGS,0.35, Rs. 0.35 Per Share (Voting & Non-Voting) / Final Dividend. Financial Year: - 2015/2016  , 19-SEP-16, 27-SEP-16,25,25,,
2016-08-11 00:00:00, RAL-N-0000, RENUKA AGRI,0.12, Rs. 0.12 Per Share / Final Dividend . Financial Year: - 2015/2016 , 19-SEP-16, 27-SEP-16,3.2,3.1,,
2016-08-15 00:00:00, HARI-N-0000, HARISCHANDRA,45, Rs. 45.00 / Final Dividend  FY2015/2016 , 26-SEP-16, 04-OCT-16,2700.7,2700.7,,
2016-08-15 00:00:00, LALU-N-0000, LANKA ALUMINIUM,2, Rs. 2.00 Per Share / First & Final Dividend  Financial Year: - 2015/2016 , 23-SEP-16, 03-OCT-16,90.3,90.3,,
2016-08-15 00:00:00, SFCL-N-0000, SENKADAGALA,0.75, Rs. 0.75 Per Share / Final Dividend  Financial Year: - 2015/2016 , 25-AUG-16, 05-SEP-16,60,90,,
2016-08-16 00:00:00, RWSL-N-0000, RAIGAM SALTERNS,0.1, Rs. 0.10 Per Share / Final Dividend  Financial Year:- 2015/2016, 30-SEP-16, 07-OCT-16,2.1,2.1,,
2016-08-16 00:00:00, RPBH-N-0000, ROYAL PALMS,0.8, Rs. 0.80 Per Share / First & Final Dividend  Financial Year:- 2015/2016, 26-AUG-16, 06-SEP-16,31.5,32.2,,
2016-08-16 00:00:00, GEST-N-0000, GESTETNER,1, Rs. 1.00 Per Share / First & Final Dividend  Financial Year:- 2015/2016, 29-SEP-16, 07-OCT-16,117.9,117.9,,
2016-08-18 00:00:00, AUTO-N-0000, AUTODROME,0.6, Rs. 0.60 Per Share / First & Final Dividend  Financial Year:- 2015/2016 , 26-SEP-16, 04-OCT-16,80.5,80.5,,
2016-08-18 00:00:00, TANG-N-0000, TANGERINE,0.5,  Rs. 0.50 Per Share / First & Final Dividend  Financial Year:- 2015/2016, 29-AUG-16, 07-SEP-16,65,65,,
2016-08-19 00:00:00, COLO-N-0000, C M HOLDINGS,6, Rs. 6.00 Per Share / First & Final Dividend  Financial Year: - 2015/2016 , 30-SEP-16, 10-OCT-16,98,93.1,,
2016-08-22 00:00:00, CABO-N-0000, CARGO BOAT,1, Rs. 1.00 Per Share / First & Final Dividend  FY: - 2015/2016 , 23-SEP-16, 29-SEP-16,102.6,102.6,,
2016-08-22 00:00:00, HUNT-N-0000, HUNTERS,5, Rs. 5.00 Per Share / First & Final Dividend  Financial Year: - 2015/2016 , 26-SEP-16, 30-SEP-16,410,414.9,,
2016-08-22 00:00:00, RENU-N-0000, RENUKA CITY HOT.,6, Rs. 6.00 Per Share / First & Final Dividend  Financial Year: - 2015/2016 , 23-SEP-16, 29-SEP-16,319,319,,
2016-08-24 00:00:00, CFLB-N-0000, FORT LAND,0.3, Rs. 0.30 Per Share / First & Final Dividend  Financial Year: - 2015/2016, 30-SEP-16, 10-OCT-16,22,22,,
2016-08-26 00:00:00, CTEA-N-0000, DILMAH CEYLON,12.5, Rs. 12.50 Per Share / Final Dividend  Financial Year:- 2015/2016 , 29-SEP-16, 07-OCT-16,730,715,,
2016-08-26 00:00:00, ONAL-N-0000, ON'ALLY,2, Rs. 2.00 Per Share - Final Dividend - Fy 2015/2016, 06-SEP-16, 19-SEP-16,59.9,58.5,,
2016-08-26 00:00:00, ELPL-N-0000, ELPITIYA PLANTATIONS,0.5, Rs. 0.50 Per Share / First & Final Dividend  Financial Year:- 2015/2016, 23-SEP-16, 03-OCT-16,20.5,19.8,,
2016-08-29 00:00:00, SHAW-N-0000, LEE HEDGES,1.2, Rs. 1.20 (Would be Subject to Dividend Tax of 10%) First & Final Dividend  FY2015/2016, 28-SEP-16, 06-OCT-16,380.3,380.3,,
2016-08-29 00:00:00, SLND-N-0000, SERENDIB LAND,25,  Rs.25.00 Per Share / First & Final Dividend  Financial Year: - 2015/2016 , 30-SEP-16, 10-OCT-16,1661.2,1661.2,,
2016-08-29 00:00:00, BUKI-N-0000, BUKIT DARAH,1,  Rs. 1.00 Per Share (Would Not Be Subject To A Withholding Tax Of 10%) / First Interim , 07-SEP-16, 19-SEP-16,289.9,275,,
2016-08-30 00:00:00, BRWN-N-0000, BROWNS,0.5, Rs. 0.50 Per Share / Interim Dividend  Financial Year: - 2016/2017, 08-SEP-16, 21-SEP-16,94.1,93,,
2016-08-30 00:00:00, MHDL-N-0000, MILLENNIUM HOUSE,0.28, Rs. 0.275 Per Share / First & Final Dividend  Financial Year: - 2015/2016 , 03-OCT-16, 11-OCT-16,7.8,7.2,,
2016-08-31 00:00:00, LPRT-N-0000, LAKE HOUSE PRIN.,1, Rs. 1.00 Per Share / First & Final Dividend  Financial Year: - 2015/2016 , 28-SEP-16, 10-OCT-16,120,120,,
2016-09-01 00:00:00, VPEL-N-0000, VALLIBEL,0.5, Rs. 0.50 Per Share / Interim Dividend  Financial Year: - 2016/2017, 13-SEP-16, 23-SEP-16,9.4,8.8,,
2016-09-06 00:00:00, PAP-N-0000, PANASIAN POWER,0.15, Rs. 0.15 Per Share / Interim Dividend  Financial Year: - 2016/2017 , 19-SEP-16, 28-SEP-16,3.3,3.2,,
2016-09-07 00:00:00, AAIC-N-0000,SOFTLOGIC LIFE,0.53, Rs. 0.5333 Per Share / Interim Dividend  Financial Year: - 2016 , 20-SEP-16, 29-SEP-16,22.4,22,,
2016-09-08 00:00:00, FLCH-N-0000, BROWNS CAPITAL,0.05,  Rs. 0.05 Per Share / Interim Dividend  Financial Year: - 2016/2017 , 21-SEP-16, 29-SEP-16,1.3,1.3,,
2016-09-08 00:00:00, ABAN-N-0000, ABANS ELECTRICALS,3, Rs. 3.00 Per Share / Final Dividend  Financial Year: - 2015/2016, 27-SEP-16, 05-OCT-16,125.2,122,,
2016-09-14 00:00:00, PINS-N-0000, PEOPLE'S INSURANCE,0.75, Rs. 0.75 Per Share / Interim Dividend  Financial Year: - 2016 , 26-SEP-16, 05-OCT-16, , ,,
2016-09-20 00:00:00, AMCL-N-0000, CAPITAL LEASING,0.76, Rs. 0.76 Per Share / Final Dividend  Financial Year: - 2015 , 29-SEP-16, 30-SEP-16, , ,,
2016-09-23 00:00:00, NAMU-N-0000, NAMUNUKULA,0.5, Rs. 0.50 Per Share / Interim Dividend  Financial Year: - 2016/2017 , 04-OCT-16, 12-OCT-16,74.9,74.9,,
2016-09-26 00:00:00, AINV-N-0000, ADAM INVESTMENTS,0.1,Rs. 0.10 Per Share / First & Final Dividend  FY:- 2015/2016 , 24-OCT-16, 01-NOV-16,2.3,2.1,,
2016-09-26 00:00:00, CITH-N-0000, CITRUS HIKKADUWA,0.1, Rs. 0.10 Per Share / First & Final Dividend  Financial Year: - 2015/2016 , 05-OCT-16, 14-OCT-16,16.1,16,,
2016-09-27 00:00:00, AMF-N-0000, AMF CO LTD,15, Rs. 15.00 Per Share (Subject To 10% Dividend Tax) / Final Dividend  FY: - 2015/2016, 06-OCT-16, 14-OCT-16,451,452.7,,
2016-10-04 00:00:00, JKH-N-0000, JOHN KEELLS HOLDINGS,2, Rs. 2.00 Per Share / Interim Dividend  Financial Year: - 2016/2017 , 13-OCT-16, 24-OCT-16,154.8,152.7,,
2016-10-05 00:00:00, UCAR-N-0000, UNION CHEMICALS,8, Rs. 8.00 Per Share / First Interim Dividend  Financial Year: - 2016 , 14-OCT-16, 25-OCT-16,515,521.2,,
2016-10-11 00:00:00, OFEQ-N-0000, OFFICE EQUIPMENT,1.25,  Rs. 1.25 Per Share / Final Dividend  Financial Year: - 2015/2016 , 01-NOV-16, 09-NOV-16,82.3,82.3,,
2016-10-12 00:00:00, TILE-N-0000, LANKA TILES,2.5, Rs. 2.50 Per Share / Interim Dividend  Financial Year: - 2016/2017 , 21-OCT-16, 01-NOV-16,109,105.1,,
2016-10-13 00:00:00, LLUB-N-0000, CHEVRON,3.5, Rs. 3.50 Per Share / Fourth Interim Dividend  Financial Year:- 2016 , 24-OCT-16, 02-NOV-16,170,167,,
2016-10-19 00:00:00, HPFL-N-0000, LOTUS HYDRO,0.5, Rate Of Dividend:- Rs. 0.50 Per Share / Second Interim Dividend  Financial Year:- 2016/2017 , 28-OCT-16, 08-NOV-16,7.5,7,,
2016-10-20 00:00:00, CARE-N-0000, PRINTCARE PLC,0.6,Rs. 0.60 Per Share / Interim Dividend  Financial Year: - 2016/2017, 31-OCT-16, 08-NOV-16,37,37.1,,
2016-10-24 00:00:00, LWL-N-0000, LANKA WALLTILE,2, Rate Of Dividend: - Rs. 2.00 Per Share / Interim Dividend  Financial Year: - 2016/2017 , 02-NOV-16, 11-NOV-16,105,104.1,,
2016-10-25 00:00:00, WATA-N-0000, WATAWALA PLANTATIONS,0.65, Rate Of Dividend: - Rs. 0.65 Per Share / Interim Dividend  Financial Year: - 2016/2017 , 03-NOV-16, 11-NOV-16,20,19.5,,
2016-10-26 00:00:00, BFL-N-0000, BAIRAHA FARMS,3.5, Rate Of Dividend: - Rs. 3.50 Per Share / Interim Dividend  Financial Year: - 2016/2017 , 04-NOV-16, 16-NOV-16,190,187.8,,
2016-10-28 00:00:00, COMB-N-0000, COMMERCIAL BANK,1.5, Rs.1.50 Per Share - First Interim, 08-NOV-16, 18-NOV-16,150.3,149,,
2016-10-28 00:00:00, COMB-X-0000, COMMERCIAL BANK,1.5, Rs.1.50 Per Share - First Interim, 08-NOV-16, 18-NOV-16,116.5,116.5,,
2016-10-31 00:00:00, LHCL-N-0000, LANKA HOSPITALS,1, Rs.1.00 Per Share - Interim, 09-NOV-16, 21-NOV-16,69.6,69,,
2016-11-02 00:00:00, AEL-N-0000, ACCESS ENG SL,0.5, Rate Of Dividend: - Rs. 0.50 Per Share / Interim Dividend  Financial Year: - 2016/2017 , 11-NOV-16, 23-NOV-16,26.4,25.9,,
2016-11-03 00:00:00, HHL-N-0000, HEMAS HOLDINGS,0.4, Rate Of Dividend: - Rs. 0.40 Per Share / Interim Dividend  Financial Year:- 2016/2017 , 15-NOV-16, 24-NOV-16,98.2,102.6,,
2016-11-03 00:00:00, SFCL-N-0000, SENKADAGALA,0.6, Rate Of Dividend:- Rs. 0.60 Per Share / Interim Dividend  Financial Year:- 2016/2017 , 15-NOV-16, 24-NOV-16,60,90,,
2016-11-04 00:00:00, KFP-N-0000, KEELLS FOOD,5.75,Rs. 5.75 Per Share / Interim Dividend  FY: - 2016/2017 , 16-NOV-16, 25-NOV-16,165,165,,
2016-11-07 00:00:00, CCS-N-0000, COLD STORES,8, Rate Of Dividend: - Rs. 8. 00 Per Share / Interim Dividend  Financial Year: - 2016/2017 , 17-NOV-16, 28-NOV-16,695.2,710,,
2016-11-11 00:00:00, CTC-N-0000, CEYLON TOBACCO,16, Third Interim/Less Withholding Tax. Rs.16.00, 23-NOV-16, 30-NOV-16,879.9,869,,
2016-11-21 00:00:00, COMD-N-0000, COMMERCIAL DEVELOPMENTS,2, Interim/Rs.2.00, 30-NOV-16, 09-DEC-16,77.9,75,,
2016-11-25 00:00:00, HNB-X-0000, HNB BANK,1.5, Rate Of Dividend:- Rs. 1.50 Per Share / Interim Dividend  Financial Year:- 2016 , 06-DEC-16, 16-DEC-16,190.1,190,,
2016-11-25 00:00:00, HNB-N-0000, HNB BANK,1.5, Rate Of Dividend:- Rs. 1.50 Per Share / Interim Dividend  Financial Year:- 2016 , 06-DEC-16, 16-DEC-16,223,220,,
2016-11-30 00:00:00, UML-N-0000, UNITED MOTORS,2.5, Rs. 2.50 Per Share / Interim Dividend  Financial Year:- 2016/2017, 09-DEC-16, 21-DEC-16,90.2,89.9,,
2016-11-30 00:00:00, GEST-N-0000, GESTETNER,5, Rs.5.00 Per Share/First Interim, 09-DEC-16, 21-DEC-16,124.5,120,,
2016-12-01 00:00:00, CIC-N-0000, CIC,1, Rs. 1.00 Per Share (Voting And Non-Voting) / Interim Dividend  Financial Year:- 2016/2017, 14-DEC-16, 23-DEC-16,90.1,89,,
2016-12-01 00:00:00, CIC-X-0000, CIC,1, Rs. 1.00 Per Share (Voting And Non-Voting) / Interim Dividend  Financial Year:- 2016/2017, 14-DEC-16, 23-DEC-16,71,71,,
2016-12-06 00:00:00, CFIN-N-0000, CENTRAL FINANCE,1.5, Rate Of Dividend: - Rs. 1.50 Per Share / Interim Dividend  Financial Year: - 2016/2017 , 19-DEC-16, 22-DEC-16,100,99.6,,
2016-12-08 00:00:00, INDO-N-0000, INDO MALAY,29.3, Rs. 29.30 (Would be Subject to a WHT Of 10%) First Interim Dividend  FY 2016/2017, 21-DEC-16, 30-DEC-16,1429.6,1429.6,,
2016-12-08 00:00:00, SHAL-N-0000, SHALIMAR,34.04, Rs. 34.04 (Would Be Subject To A Wht Of 10%) / First Interim Dividend  FY2016/2017, 21-DEC-16, 30-DEC-16,2298.2,2298.2,,
