,,,,DIVIDEND ANNOUNCEMENTS 2016,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX_PRICE,,
2016-02-23 00:00:00, TILE-N-0000, LANKA TILES,3, Interim Dividend Of Rs. 3.00 Per Share/Financial Year 2015/2016/Share Transfer Book Open, 03-MAR-16, 15-MAR-16,104.1,102.5,,
2016-02-24 00:00:00, DFCC-N-0000, DFCC BANK PLC,2.5, First & Final Dividend Of Rs. 2.50 Per Share/Financial Year 2015, 04-MAR-16, 16-MAR-16,141,139.6,,
2016-02-24 00:00:00, NEST-N-0000, NESTLE,30, Final Dividend Of Rs. 30.00 Per Share/ Financial Year 2015, 06-MAY-16, 16-MAY-16,2110,2110,,
2016-02-24 00:00:00, REXP-N-0000, RICH PIERIS EXPORT,12.5, Interim Dividend Of Rs. 12.50 Per Share/Financial Year 2015/2016, 04-MAR-16, 14-MAR-16,234.9,219.2, , 
2016-02-24 00:00:00, UBC-N-0000, UNION BANK,0.04, Final Dividend Of Rs. 0.04 Per Share/Financial Year 2015/Share Transfer Book Open, 04-MAR-16, 16-MAR-16,15.8,15.9,,
2016-02-24 00:00:00, UAL-N-0000, UNION ASSURANCE,8.5, First & Final Dividend Of Rs. 8.50 Per Share/Financial Year 2015/Share Transfer Book Open, 04-MAR-16, 16-MAR-16,165.8,165.3,,
2016-02-25 00:00:00, ASPM-N-0000, SPENCEPLANTATION,2,Rs. 2.00 Per Share/Financial Year 2015/2016, 08-MAR-16, 14-MAR-16, , ,,
2016-02-25 00:00:00, COMB-N-0000, COMMERCIAL BANK,3, Final Dividend Of Rs. 3.00 (Voting & Non Voting)/FY2015, 01-APR-16, 11-APR-16,125.5,123.6,,
2016-02-25 00:00:00, OSEA-N-0000, OVERSEAS REALTY,1.5, First & Final Dividend Of Rs. 1.50 Per Share/Financial Year 2015/Share Transfer Book Open, 26-APR-16, 04-MAY-16,26,24.5,,
2016-02-25 00:00:00, SFCL-N-0000, SENKADAGALA,0.65, Second Interim Dividend Of Rs. 0.65 Per Share/FY2015/2016, 08-MAR-16, 16-MAR-16,60,90,,
2016-02-25 00:00:00, NEH-N-0000, NUWARA ELIYA,30, Interim Dividend Of Rs. 30.00 Per Share/Financial Year 2015/2016/, 08-MAR-16, 17-MAR-16,1374.9,1374.9,,
2016-02-25 00:00:00, UML-N-0000, UNITED MOTORS,4, Second Interim Dividend Of Rs. 4.00 Per Share/FY2015/2016, 08-MAR-16, 16-MAR-16,87.7,80.4,,
2016-02-26 00:00:00, NTB-N-0000, NATIONS TRUST,2.1, First & Final Dividend Of Rs. 2.10 Per Share/Financial Year 2015/Share Transfer Book Open, 01-APR-16, 11-APR-16,74.2,73.9,,
2016-02-26 00:00:00, SINS-N-0000, SINGER SRI LANKA,4.2, Final Dividend Of Rs. 4.20 Per Share/Financial Year 2015/Share Transfer Book Open, 01-APR-16, 11-APR-16,117.7,115.5,,
2016-02-26 00:00:00, SEYB-N-0000, SEYLAN BANK,2.75, First & Final Dividend Of Rs. 2.75 Per Share(Voting & Non Voting)/FY2015, 01-APR-16, 11-APR-16,86,83.5,,
2016-02-29 00:00:00, REG-N-0000, REGNIS,9, Final Dividend Of Rs. 9.00 Per Share/Financial Year 2015/Share Transfer Book Open, 01-APR-16, 11-APR-16,146.2,139.5,,
2016-03-02 00:00:00, JINS-N-0000, JANASHAKTHI INSURANCE,0.75, Final Dividend Of Rs. 0.75 Per Share(Subject To Tax)/Financial Year 2015, 01-APR-16, 11-APR-16,16,15.6,,
2016-03-02 00:00:00, VLL-N-0000, VIDULLANKA,0.1, Interim Dividend Of Rs. 0.10 Per Share/Financial Year 2015/2016/Share Transfer Book Open, 14-MAR-16, 23-MAR-16,6,6,,
2016-03-03 00:00:00, RCL-N-0000, ROYAL CERAMIC,2, Second Interim Dividend Of Rs. 2.00 /FY 2015/2016, 15-MAR-16, 28-MAR-16,103.2,97.1,,
2016-03-04 00:00:00, LWL-N-0000, LANKA WALLTILE,5, Interim Dividend Of Rs. 5.00 Per Share/Financial Year 2015/2016/, 16-MAR-16, 29-MAR-16,99.9,95.9,,
2016-03-08 00:00:00, INDO-N-0000, INDO MALAY,5.03, First Interim Dividend Of Rs. 5.03(Rs. 4.96 Subject to Dividend Tax Of 10%)/FY 2015/2016, 17-MAR-16, 29-MAR-16,1659,1659,,
2016-03-08 00:00:00, GOOD-N-0000, GOOD HOPE,8.21, First Interim Dividend of Rs. 8.21(Rs. 8.11 Subject to Dividend Tax of 10%)/FY 2015/2016, 17-MAR-16, 29-MAR-16,1217.1,1217.1,,
2016-03-08 00:00:00, KHL-N-0000, KEELLS HOTELS,0.1, Interim Dividend Of Rs. 0.10 Per Share/Financial Year 2015/2016, 17-MAR-16, 30-MAR-16,11.7,12.2,,
2016-03-08 00:00:00, SELI-N-0000, SELINSING,8.72, First Interim Dividend Of Rs. 8.72(Rs. 8.38 Subject To Dividend Tax Of 10%)/FY2015/2016, 17-MAR-16, 29-MAR-16,1349.8,1349.8,,
2016-03-08 00:00:00, SHAL-N-0000, SHALIMAR,7.25, First Interim Dividend Of Rs. 7.25 (Subject To Dividend Tax Of 10%)/FY2015/2016, 17-MAR-16, 29-MAR-16,2275,2275,,
2016-03-09 00:00:00, AHPL-N-0000, AHOT PROPERTIES,2.5, Interim Dividend Of Rs. 2.50 Per Share/FY 2015/2016, 18-MAR-16, 31-MAR-16,50.6,50.2,,
2016-03-16 00:00:00, CIC-N-0000, CIC,1, Second Interim Dividend Of Rs. 1.00 Per Share(Voting & Non Voting)/FY2015/2016, 29-MAR-16, 07-APR-16,93,93,,
2016-03-18 00:00:00, WAPO-N-0000, GUARDIAN CAPITAL,0.25, First Interim /Rs. 0.25 (Would Not Be Subject To The Dividend Tax Of 10%)/FY2015/2016, 31-MAR-16, 08-APR-16,28.9,28.1,,
2016-03-18 00:00:00, CINV-N-0000, CEYLON INVESTMENTS,1.5, First Interim Dividend Of Rs. 1.50 (Would Not Be Subject To A 10% Wht)/FY2015/2016, 31-MAR-16, 08-APR-16,53.3,52.7,,
2016-03-30 00:00:00, SLTL-N-0000, SRI LLANKA TELECOM,0.89, First & Final Dividend Of Rs. 0.89 Per Share/Financial Year 2015/Share Transfer Book Open, 13-MAY-16, 24-MAY-16,41.3,41.3,,
2016-03-30 00:00:00, CERA-N-0000, LANKA CERAMIC,5, Second Interim Dividend Of Rs. 5.00 Per Share/Financial Year 2015/2016, 08-APR-16, 22-APR-16,130.1,130.1,,
2016-03-30 00:00:00, CFIN-N-0000, CENTRAL FINANCE,1, Second Interim Dividend Of Rs. 1.00 Per Share/Financial Year 2015/2016, 08-APR-16, 12-APR-16,223.9,225,,
2016-03-31 00:00:00, HAYC-N-0000, HAYCARB,2, Interim Dividend Of Rs.2.00 (Not Liable to 10% Dividend Tax) -FY 2015/2016, 11-APR-16, 25-APR-16,162,165.1,,
2016-03-31 00:00:00, RICH-N-0000, RICHARD PIERIS,0.5, Interim Dividend Rs.0.50 Per Share F/Y 2015/2016 Share Transfer Book Open, 11-APR-16, 22-APR-16,7.9,7.4,,
2016-04-01 00:00:00, LLUB-N-0000, CHEVRON,6, Interim Dividend Of Rs.6.00 Per Share FY2016 , 12-APR-16, 26-APR-16,316.9,313,,
2016-04-01 00:00:00, CINS-N-0000, CEYLINCO INS.,22.5, First & Final Dividend Of Rs.22.50/Both Voting & Non Voting-FY2015 , 09-MAY-16, 17-MAY-16,1489.9,1489.9,,
2016-04-01 00:00:00, CTEA-N-0000, DILMAH CEYLON,7.5, Second Interim Dividend of Rs.7.50 - FY2015/2016 , 12-APR-16, 26-APR-16,730,718,,
2016-04-07 00:00:00, PDL-N-0000, PROPERTY DEV.L,3, Rs.3.00 Per Share First & Final FY-2015, 31-MAY-16, 08-JUN-16,108.2,101,,
2016-04-07 00:00:00, SEMB-N-0000, S M B LEASING,0.02, Rs.0.02 Per Share Both Voting & Non-Voting- Interim Dividend Fy 2015, 20-APR-16, 03-MAY-16,0.8,0.8,,
2016-04-08 00:00:00, TAFL-N-0000, THREE ACRE FARMS,2.1, Rs.2.10 Per Share First And Final  Fy 2015, 20-MAY-16, 30-MAY-16,128.2,125,,
2016-04-08 00:00:00, GRAN-N-0000, GRAIN ELEVATORS,1.1, Rs.1.10 Per Share First And Final  Fy 2015, 20-MAY-16, 30-MAY-16,78,77.3,,
2016-04-18 00:00:00, GLAS-N-0000, PIRAMAL GLASS,0.35, Rs.0.35 Per Share  First And Final Dividend. Fy 2015/2016, 01-JUL-16, 12-JUL-16,5.7,5.3,,
2016-04-26 00:00:00, HDFC-N-0000, HDFC,0.75, Rs.0.75 Per Share - Fy 2015 - Final Dividend, 01-JUL-16, 12-JUL-16,51.2,51,,
2016-04-27 00:00:00, HARI-N-0000, HARISCHANDRA,40, Rs.40.00 Per Share - Interim Dividend FY 2015/2016, 09-MAY-16, 16-MAY-16,2700.7,2700.7,,
2016-04-27 00:00:00, BLI-N-0000, BIMPUTH FINANCE,1.5, Rs.1.50 Per Share (Subject To Dividend Tax Of 10% ) - Interim Fy-2015/2016, 09-MAY-16, 16-MAY-16,64,64,,
2016-04-27 00:00:00, UCAR-N-0000, UNION CHEMICALS,9, Rs.9.00 Per Share Fy- 2015 Final Dividend, 31-MAY-16, 08-JUN-16,590,544.6,,
2016-04-29 00:00:00, KFP-N-0000, KEELLS FOOD,8, Rs.8.00 Per Share Final - FY 2015/2016, 11-MAY-16, 20-MAY-16,190,187.1,,
2016-04-29 00:00:00, CCS-N-0000, COLD STORES,10, Rs.10.00 Per Share Final - Fy 2015/2016, 11-MAY-16, 20-MAY-16,471.7,475,,
2016-05-03 00:00:00, LHL-N-0000, LIGHTHOUSE HOTEL,2.5, Rs.2.50 Per Share Final Dividend Fy 2015/2016, 01-JUL-16, 12-JUL-16,55.7,51.9,,
2016-05-04 00:00:00, ASHO-N-0000, LANKA ASHOK,25, Rs.25.00 Per Share Fy 2015/2016 First And Final Dividend, 09-AUG-16, 15-AUG-16,1350,1350,,
2016-05-05 00:00:00, AMSL-N-0000, ASIRI SURGICAL,0.4,Rs.0.40 Per Share Interim Dividend FY 2015/2016, 16-MAY-16, 24-MAY-16,15,14.8,,
2016-05-05 00:00:00, ASIR-N-0000, ASIRI HOSPITAL ,0.45, Rs.0.45 Per Share - Interim Dividend. FY 2015/2016, 16-MAY-16, 26-MAY-16,29.1,29,,
2016-05-05 00:00:00, PHAR-N-0000, COLOMBO CITY,10, Rs.10.00 Per Share Fy 2015/2016 First And Final Dividend, 29-JUL-16, 08-AUG-16,789.9,744.4,,
2016-05-10 00:00:00, CTC-N-0000, CEYLON TOBACCO,15.6, First Interim Dividend Of Rs.15.60 Per Share (Less Wht) FY 2016 , 19-MAY-16, 30-MAY-16,1120,1120,,
2016-05-11 00:00:00, CHL-N-0000, DURDANS,3.6, Interim Dividend-Voting & Non Voting, 20-MAY-16, 01-JUN-16,110,110,,
2016-05-12 00:00:00, ETWO-N-0000, EQUITY TWO PLC,0.2, First & Final.Rs.0.2 Per Share, 20-JUN-16, 28-JUN-16,60.2,60,,
