New Listings 2021 (January to December),,,,,,,,,,,
,,IPO - Equity ,,,,,,,,,
No.,Date of Announcement,Name ,No. of shares offered,No. of shares alloted,No. of Shares listed ,Consideration (Rs.),Amount raised (Rs.),Date listed ,,,
1,2020-01-24 00:00:00,Windforce Limited,202615341,202615341,1350768942,16,3241845456,2021-04-22 00:00:00,Offer for subscription,,
2,,Chrissworld Limited ,7500000,7500000,30000000,7.5,56250000,2021-05-18 00:00:00,Offer for subscription,,
3,,Prime Lands Residencies Limited,187500000,187500000,937500000,10.4,1950000000,2021-06-08 00:00:00,Offer for subscription,,
4,,JAT Holdings Limited,82904846,82904846,510407773,27,2238430842,2021-08-12 00:00:00,Combination of an Offer for subscription and offer for sale**,,
5,,Ex-Pack Corrugated Cartons Limited,83333333,83333333,333333333,8.4,699999997.2,2021-11-10 00:00:00,Offer for subscription,,
6,,Lanka Credit & Business Finance Limited,125000000,125000000,790168780,4,500000000,2021-11-16 00:00:00,Offer for subscription,,
7,,Sarvodaya Development Finance Limited,45454546,45454546,149596052,22,1000000012,2021-12-14 00:00:00,Offer for subscription,,
8,,Capital Alliance Limited ,41177236,41177236,329417884,10,411772360,2021-12-15 00:00:00,Offer for subscription,,
9,,hSenid Business Solutions Limited ,55339076,55339076,276695376,12.5,691738450,2021-12-21 00:00:00,Offer for subscription,,
10,,First Capital Treasuries PLC ,7695000,7695000,153900000,39,300105000,2021-12-23 00:00:00,Offer for Sale ,,
11,,Myland Developments Limited,6250000,6250000,36250000,12,75000000,2021-12-28 00:00:00,Offer for subscription,,
12,,Co-operative Insurance Company Limited,166750000,166750000,1652177600,3.6,600300000,2021-12-30 00:00:00,Offer for subscription,,
13,,LOLC General Insurance Ltd,120000000,120000000,1200000000,7.9,948000000,2021-12-31 00:00:00,Offer for Sale ,,
,,*Amount raised via Offer for Subscription + Offer for Sale ,,,,,,,,,
,,"** JAT - Value of offer for sale Rs.731,433,942/-",,,,,,,,,
 ,,Introduction - Equity,,,,,,,,,
No.,Date of Announcement,Name ,Shares listed ,Reference Price,Date listed ,,,,,,
1,,EML Consultants Limited,90900000,2,44466,,,,,,
,,Introduction - Debenture,,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,,,
1,,Sanasa Life Insurance Company Limited,2000000,A,1500000,0.0905,100,2021-08-11 00:00:00,,,
,,,,B,500000,0.0928,100,2021-08-11 00:00:00,,,
,,IPO - Debenture ,,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Total amount raised (Rs.),Total amount raised (Rs.)
1,2020-01-24 00:00:00,First Capital Holdings PLC,20000000,A,13247500,0.1,100,2021-02-15 00:00:00,2000000000,1324750000,
,,,,B,6752500,AWPLR +2.00%,100,2021-02-15 00:00:00,,675250000,
2,2020-01-17 00:00:00,Commercial Credit & Finance PLC ,20000000,,12875900,0.09,100,2021-03-15 00:00:00,2000000000,1287590000,
3,,LOLC Holdings PLC ,100000000,A,29317500,0.1025,100,2021-03-08 00:00:00,10000000000,2931750000,
,2020-03-25 00:00:00,,,B,7521400,0.0985,100,2021-03-08 00:00:00,,752140000,
,,,,C,63161000,0.12,100,2021-03-08 00:00:00,,6316100000,
4,,Sampath Bank PLC,60000000,,60000000,0.09,100,2021-04-22 00:00:00,6000000000,6000000000,
5,,Seylan Bank PLC,60000000,A,53520200,0.0975,100,2021-04-21 00:00:00,6000000000,5352020000,
,2020-06-24 00:00:00,,,B,6479800,0.0925,100,2021-04-21 00:00:00,,647980000,
6,2020-09-04 00:00:00,Ceylon Electracity Board ,200000000,,200000000,0.0935,100,2021-05-05 00:00:00,20000000000,20000000000,
7,,Singer Finance Lanka PLC ,20000000,A,5832200,0.0925,100,2021-07-07 00:00:00,2000000000,583220000,
,2020-09-24 00:00:00,,,B,14167800,1 Year T-bill Rate + 3.75% p.a.,100,2021-07-07 00:00:00,,1416780000,
8,,People's Leasing & Finance PLC,,A,29429400,0.08,100,2021-08-18 00:00:00,10000000000,2942940000,
,,,"A maximum of 153,869,827*",B,30485375,0,79.38,2021-08-18 00:00:00,,2419929067.5,
,,,,C,42723600,0.09,100,2021-08-18 00:00:00,,4272360000,
,,,,D,5612652,0,64.99,2021-08-18 00:00:00,,364766253.48,
9,,Hatton National Bank PLC,70000000,A,70000000,0.095,100,2021-08-04 00:00:00,7000000000,7000000000,
10,,Asia Asset Finance PLC,10000000,A,1005100,0.0876,100,2021-08-31 00:00:00,1000000000,100510000,
,,,,B,3342400,0.086,100,2021-08-31 00:00:00,,334240000,
,,,,C,15500,0.0926,100,2021-08-31 00:00:00,,1550000,
,,,,D,5637000,0.0943,100,2021-08-31 00:00:00,,563700000,
11,,Siyapatha Finance PLC,15000000,A,15000000,0.0946,100,2021-09-09 00:00:00,1500000000,1500000000,
12,,Commercial Bank of Ceylon PLC,100000000,A,42374700,0.09,100,2021-09-28 00:00:00,10000000000,4237470000,
,,,,B,43580000,0.095,100,2021-09-28 00:00:00,,4358000000,
13,,LOLC Ceylon Holdings Limited,10000000,,10000000,0.095,100,2021-10-15 00:00:00,1000000000,1000000000,
14,,National Development Bank PLC,80000000,A,78840000,0.119,100,2021-11-30 00:00:00,8000000000,7884000000,
,,,,B,1160000,0.12,100,2021-11-30 00:00:00,,116000000,
,,,,,,,,,,,0
No.,Date of Announcement,Name ,Debentures offered,Types,Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),
De-Listings 2021(January to December),,,,,,,,,,,
No. ,Date De-listed ,Company Name ,Effective Date,,,,,,,,
1,2020-01-30 00:00:00,Trade Finance & Investments PLC ,2021-03-18 00:00:00,,,,,,,,
2,2020-02-27 00:00:00,Arpico Finance Company PLC ,2021-05-11 00:00:00,,,,,,,,
3,2020-07-22 00:00:00,Huejay International Investments PLC ,2021-09-06 00:00:00,,,,,,,,
