Capitalisation of Reserves 2023 (January to December),,,,,,
No. ,Company,Allotment Date,Old Proportion,New Proportion,No. of shares listed ,Date listed 
1,Tokyo Cement Company (Lanka) PLC - Voting,2023-09-05 00:00:00,10,1,26730000,2023-09-18 00:00:00
2,Tokyo Cement Company (Lanka) PLC - Non Voting,2023-09-05 00:00:00,10,1,13365000,2023-09-18 00:00:00
