Sector Domestic & Foreign Analysis 2003,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",148992,5869,547029835,70044765,22599968561,4319459006
"BEVERAGE, FOOD & TOBACCO",37289,2442,170455209,25733048,4058690007,771465659
CONSTRUCTION & ENGINEERING,3501,255,19575794,1992477,514902325,50554356
CHEMICALS & PHARMACEUTICALS,4062,180,6666100,1234348,344137624,106605360
FOOTWEAR & TEXTILES,4693,34,16712576,1805450,130044156,8350725
HOTELS & TRAVELS,77442,2120,369605633,90130634,7953231597,2487374336
INVESTMENT TRUSTS,3489,57,4710531,102292,159473260,2829064
LAND & PROPERTY,17684,276,118099272,2887952,688442741,22447389
MANUFACTURING,53909,2438,171271124,15508636,4630500146,630863576
MOTORS,3153,67,10980177,374410,476164438,22314372
OIL PALMS,179,3,64021,3234,11021431,273732
STORES & SUPPLIES,2992,560,9649339,3176774,74839333,34098016
SERVICES,521,7,408970,21800,45480154,2851525
TRADING,6225,301,11353211,2389012,263367276,38972425
PLANTATIONS,17296,539,84124003,4739146,1056200012,64088456
DIVERSIFIED HOLDINGS,36570,3845,115031626,38754241,11588028739,4104856721
POWER & ENERGY,1,0,100,0,10000,0
HEALTH CARE,10007,1266,38287737,25150119,622604076,422662582
INFORMATION TECHNOLOGY,180,1,329519,5000,4200776,74750
TELECOMMUNICATION,32731,1778,240803710,38994483,4776036600,748112695
