Sector Trading Statistics - 2023 (January to December) ,,,,,
SECTOR,TRADES(No),SHARES(No),TURNOVER(Rs),LISTED,TRADED
Automobiles & Components,7008,4137790,266270764,1,1
Banks,380545,1775356161,67200044517,16,12
Capital Goods,480643,1206061880,81876763449,31,28
Commercial & Professional Services,28518,70310458,656654913,7,6
Consumer Durables & Apparel,144141,850663026,13458701286,14,13
Consumer Services,210019,915243089,11490274812,37,35
Diversified Financials,640274,3834247418,56059881823,49,42
Energy,105931,135263107,18105804614,3,2
Food & Staples Retailing,12346,136147475,3512310731,4,3
"Food, Beverage & Tobacco",517306,2847057841,56429079516,49,46
Health Care Equipment & Services,47151,82776155,1559805987,9,8
Household & Personal Products,2151,10374152,213679468,2,2
Insurance,282834,1822236434,29084672726,13,12
Materials,334698,1683437258,32267589700,23,20
Real Estate Management & Development,84566,237360923,2435422206,19,18
Retailing,71133,302288785,2898721833,14,14
Software & Services,13900,41431395,556724422,1,1
Telecommunication Services,83588,455156129,9770252852,2,2
Transportation,126147,123329434,18265540558,3,3
Utilities,46061,455948480,4521151899,10,8
