Dividend Records - 2001,,,,,,,
Company ID,Type of Shares,Company Name,XD From,Date of Payment,Rate & Description,Cum Price,Ex Price
HAYL,Nt0000,HAYLEYS,2001-04-18 00:00:00,2001-04-30 00:00:00,15.00BOOKS KEPT OPEN,78.75,78.5
SEYB,Nt0000,SEYLAN BANK,2001-04-18 00:00:00,2001-04-30 00:00:00,12.00FIRST & FINAL,18.5,17.5
CTLD,Nt0000,C T LAND,2001-04-23 00:00:00,2001-05-04 00:00:00,5.00BOOKS KEPT OPEN,6.5,6.25
CARG,Nt0000,CARGILLS,2001-04-23 00:00:00,2001-05-04 00:00:00,20.00BOOKS KEPT OPEN,37,36.5
CTHR,Nt0000,CEY THEATRES 8/-,2001-04-23 00:00:00,2001-05-04 00:00:00,75.00BOOKS KEPT OPEN,190,190
DOCK,Nt0000,DOCKYARD,2001-04-23 00:00:00,2001-07-04 00:00:00,15.00FIRST & FINAL,10,9.25
JFIN,Nt0000,JAMES FINLAY,2001-04-23 00:00:00,2001-05-04 00:00:00,7.50FINAL,26,25.5
MILL,Nt0000,MILLERS 8/-,2001-04-23 00:00:00,2001-05-04 00:00:00,50.00BOOKS KEPT OPEN,100,110
KVAL,Nt0000,KELANI VALLEY,2001-04-24 00:00:00,2001-05-05 00:00:00,10.00FIRST & FINAL,10.5,9
UAL,Nt0000,UNION ASSURANCE,2001-04-24 00:00:00,2001-05-04 00:00:00,30.00FIRST & FINAL (5.5% TAX FREE),31,29
CHOU,Nt0000,CEYLINCO HOUSING,2001-04-26 00:00:00,2001-05-11 00:00:00,7.00INTERIM (TAX FREE),14.5,14.5
AGAL,Nt0000,AGALAWATTE,2001-04-27 00:00:00,2001-05-14 00:00:00,7.50BOOKS KEPT OPEN,6.25,5.75
NEST,Nt0000,NESTLE,2001-05-18 00:00:00,2001-05-30 00:00:00,85.00BOOKS KEPT OPEN,66.25,57
REG,Nt0000,REGNIS,2001-05-21 00:00:00,2001-05-31 00:00:00,20.00BOOKS KEPT OPEN,27.5,25.25
SINI,Nt0000,SINGER IND.,2001-05-21 00:00:00,2001-05-31 00:00:00,20.00BOOKS KEPT OPEN,23,25
SINS,Nt0000,SINGER SRI LANKA,2001-05-21 00:00:00,2001-05-31 00:00:00,12.50FINAL DIVIDEND,27.5,26
WATA,Nt0000,WATAWALA,2001-05-24 00:00:00,2001-06-06 00:00:00,10.00FIRST & FINAL,11.25,10.5
HARI,Nt0000,HARISCHANDRA,2001-05-29 00:00:00,2001-06-11 00:00:00,25.00INTERIM (TAX FREE),115,126
