Sector Trading Statistics - 2019 (January to December) ,,,,,
SECTOR,TRADES(No),SHARES(No),TURNOVER(Rs),LISTED,TRADED
BANK FINANCE INSURANCE,322705,3944143892,54990956842,67,57
BEV FOOD TOBACCO,54360,202553577,8628270923,23,21
CONSTRUCTION ENG,86981,369968622,6108857750,4,4
CHEMICALS & PHARMACEUTICALS,12277,36963310,678267837,12,8
DIVERSIFIED,121234,1639421675,53194599286,18,17
FOOTWEAR TEXTILE,36496,187822015,3939771177,3,3
HOTELS TRAVELS,85006,332661748,3719337608,38,36
HEALTH CARE,9400,79112776,1856343543,7,6
INVESTMENT TRUST,30618,119307664,1081668194,11,10
INFORMATION TECHNOLOGY,3080,6490000,32207710,1,1
LAND PROPERTY,63805,463181199,6699761660,18,17
MANUFACTURING,206426,768091988,15137400617,38,34
MOTORS,9546,3468989,309285811,6,6
OIL PALMS,1017,256245,55281328,5,5
POWER & ENERGY,58377,536735902,3366137739,12,10
PLANTATIONS,42362,211081162,2037255590,21,20
STORES SUPPLIES,1286,642592,732418097,4,4
SERVICES,11612,85086793,229121941,7,7
TELECOM,23621,720201228,7947552510,2,2
TRADING,16996,147824626,663461832,9,7
