Bonus Issues 1999,,,
Company,Ratio,Par Value (Rs.),No. of Shares
,,,Offered
1) Aitken Spence Hotel Holdings,1 for 6,10,3431531
2)  Hayleys,1 for 14,10,2200000
3) Dipped Products,1 for 8,10,2052864
4)  Hayleys Exports,1 for 8,10,500000
5) Hatton National Bank,2 for 3,10,20000000
6) Chemical Industries,1 for 6,10,"900,000 (Ordinary Shares) "
,,,"270,000 (Non Voting Shares) "
7)  John Keells Holdings,1 for 5,10,8094558
8) Lanka Tiles,1 for 5,8,2537229
9) Reckitt & Colman of Ceylon,1 for 1,10,13122000
10) Union Assurance,1 for 2,100,6666667
11) Korea Ceylon Footwear,19 for 20,10,18004262
12) The Ceylon Guardian Inv. Trust,1 for 4,10,426108
13) The Ceylon Investment,1 for 4,10,397371
14) The Ceylon Guardian Inv. Trust,1 for 4,10,532635
15) The Ceylon Investment,1 for 4,10,496714
16) Lanka Orix Leasing,1 for 10,10,1080000
17) Ceylon & Foreign Trades,1 for 1,10,700980
18) Sathosa Motors,1 for 1,10,3016811
19) Associated Motorways,1 for 5,10,1373728
Value (Rs.),858034580,,
Issues (No.),19,,
Bonus Issues - by Sector 1999,,,
Sector,No of Issues,No of Shares,
"Banks, Finance & Insurance",3,27746667,
Chemical & Pharmaceuticals,2,14292000,
Diversified,2,10294588,
Footwear & Textiles,1,18004262,
Hotels & Travels,1,3431531,
Investment Trust,4,1852828,
Manufacturing,2,4590093,
Motors,2,4390539,
Trading,2,1200980,
Total,19,85803488,
