Rights Issues 01st January to 31 st December 2018,,,,,,,,,,
No.,Date of Initial Announcement,Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,2017-03-17 00:00:00,Lankem Development PLC,2017-12-08 00:00:00,60000000,2.5,60000000,150000000,150000000,1:1,2018-01-17 00:00:00
2,2017-05-04 00:00:00,Lankem Ceylon PLC,2017-12-12 00:00:00,12000000,40,9853200,480000000,394128000,1:2,2018-01-25 00:00:00
3,2017-08-18 00:00:00,Ceylon Tea Brokers  PLC,2018-01-12 00:00:00,68400000,3,68400000,205200000,205200000,3:5,2018-02-22 00:00:00
4,2017-11-01 00:00:00,Nations Trust Bank PLC - Non-voting,2018-01-12 00:00:00,40105614,80,40105614,3208449120,3208449120,4:3,2018-02-19 00:00:00
5,2018-02-02 00:00:00,LOLC Finance PLC ,2018-02-26 00:00:00,1400000000,4.2,1400000000,5880000000,5880000000,1:2,2018-03-27 00:00:00
6,2017-12-19 00:00:00,Sampath Bank PLC,2018-03-07 00:00:00,50128208,250,50128208,12532052000,12532052000,3:13,2018-04-23 00:00:00
7,2018-01-24 00:00:00,Softlogic Holdings PLC,2018-03-26 00:00:00,230814814,17,230814814,3923851838,3923851838,24:100,2018-05-10 00:00:00
8,2018-02-12 00:00:00,R I L Property PLC,2018-03-28 00:00:00,200000000,8,200000000,1600000000,1600000000,1:3,2018-04-27 00:00:00
9,2018-02-26 00:00:00,Vallibel Finance PLC ,2018-05-08 00:00:00,17312750,60,17312750,1038765000,1038765000,5:12,2018-06-20 00:00:00
10,2018-02-07 00:00:00,Tess Agro PLC - Voting ,2018-05-10 00:00:00,70000000,0.8,59797287,56000000,47837829.6,1:4,2018-06-22 00:00:00
,,Tess Agro PLC - Non- Voting ,,10000000,0.3,10000000,3000000,3000000,,
11,2018-03-06 00:00:00,Dialog Finance PLC,2018-05-25 00:00:00,25714573,23.3,25714573,599149550.9,599149550.9,309:559,2018-07-09 00:00:00
12,2018-04-05 00:00:00,Prime Finance PLC,2018-06-18 00:00:00,43200000,20,43200000,864000000,864000000,6:5,2018-07-26 00:00:00
13,2018-05-22 00:00:00,Brown & Company PLC,2018-07-17 00:00:00,141750000,50,141750000,7087500000,7087500000,2:1,2018-08-20 00:00:00
14,2018-03-20 00:00:00,Nation Lanka Finance PLC,2018-08-16 00:00:00,697675725,1,600302823,697675725,600302823,25:27,2018-09-27 00:00:00
15,2018-06-19 00:00:00,National Development Bank PLC ,2018-09-11 00:00:00,59154354,105,32854055,6211207170,3449675775,1:3,2018-10-25 00:00:00
16,2018-06-29 00:00:00,Lanka Reality Investments PLC (former ASCOT),2018-09-12 00:00:00,31643888,20,31643888,632877760,632877760,5:2,2018-10-16 00:00:00
,,,,,,,,42216789696.5,,
,Rights Issues by Sector,,,,,,,,,
,No of Issues,Sector,No of Shares,Amount Raised (Rs.),,,,,,
