Sector Domestic & Foreign Analysis - 2024 (January to December) ,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
Automobiles & Components,7740,56,8041276,99688,609698070,7603144
Banks,441831,12403,1870938746,90173417,136012988365,7027127472
Capital Goods,523313,14716,2238445237,290781947,98066046212,24769095086
Commercial & Professional Services,20798,166,31832055,823296,324804181,35153059
Consumer Durables & Apparel,120588,2459,1152760067,179037602,17433542703,2386456792
Consumer Services,281910,4303,2373925456,74407200,17840693983,1453982141
Diversified Financials,548785,7978,4799060787,458494931,58963783228,3502321911
Energy,43173,1178,76904252,2465852,8691845824,224357808
Food & Staples Retailing,9295,251,93315113,18029901,545582140,101487579
"Food, Beverage & Tobacco",570370,13707,3772585154,142547802,63498130620,4133074644
Health Care Equipment & Services,32150,323,155021954,1199942,1198966070,16830944
Household & Personal Products,2679,33,16509554,1001353,598633783,16381382
Insurance,156150,2858,772030247,21052680,12489486209,946176454
Materials,329956,7133,1791362854,129142773,38166592363,1934582865
Real Estate,70532,1115,341152964,197906629,4336083028,3350577612
Retailing,91069,795,479184052,8680918,6931033138,272865246
Software &  Services,15890,564,45726102,3070001,537123943,34690906
Telecommunication Services,62679,4445,442208129,198606297,5547456100,2084357871
Transportation,30465,1257,63159286,11351630,4520599326,795949889
Utilities,86102,2852,849977129,46679806,7524217655,704991249
