New Listings 2020 (January to December),,,,,,,,,,,
,,IPO - Equity ,,,,,,,,,
No.,Date of Announcement,Name ,No. of shares offered,No. of shares alloted,No. of Shares listed ,Consideration (Rs.),Amount raised (Rs.),Date listed ,,,
1,2020-01-24 00:00:00,HNB Finance Ltd ,10000000,10000000,1421380624,5.7,NA (Offer for Sale),2020-05-20 00:00:00,,,
 ,,Introduction - Equity,,,,,,,,,
No.,Date of Announcement,Name ,Shares listed ,Reference Price,Date listed ,,,,,,
1,2020-02-17 00:00:00,HNB Finance Ltd ,298200000,,2020-05-20 00:00:00,,,,,,
,,IPO - Debenture ,,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),Total amount raised (Rs.)
1,2020-01-24 00:00:00,HNB Finance Ltd,20000000,A,10970800,0.132,100,2020-01-08 00:00:00,2000000000,1097080000,1097080000
,,,,B,617400,0.1279,100,,,61740000,61740000
2,2020-01-17 00:00:00,First Capital Treasuries PLC ,7500000,A,7500000,0.1275,100,2020-02-05 00:00:00,750000000,750000000,750000000
,,,,B,0,AWPLR + 2.00%,100,NA ,,0,0
3,2020-03-25 00:00:00,Singer Finance (Lanka) PLC*,15000000,A,7530000,0.13,100,2020-06-01 00:00:00,1500000000,753000000,753000000
,,,,B,2500000,6  months T- Bill + 3.75%,100,,,250000000,250000000
,,,,C,50000,0.1325,100,,,5000000,5000000
,,,,D,,6  months T- Bill + 4.00%,100,NA ,,-,-
4,2020-06-24 00:00:00,Siyapatha Finance PLC ,20000000,A,20000000,0.1125,100,2020-07-14 00:00:00,2000000000,-,2000000000
5,2020-09-04 00:00:00,Commercial Leasing  & Finance  PLC,50000000,A,33712500,0.105,100,2020-09-30 00:00:00,5000000000,3371250000,3371250000
,,,,B,16287500,6 month T-Bill + 4.25%,100,,,1628750000,1628750000
6,2020-09-24 00:00:00,National Development Bank PLC*,65000000,A,65000000,0.095,100,2020-09-30 00:00:00,6500000000,-,6500000000
7,,Asia asset Finance PLC,10000000,B,5387000,1 Year treasury bill rate + 3.75%,100,2020-10-09 00:00:00,1000000000,,538700000
,,,,A,4613000,0.1028,100,,,,461300000
8,,DFCC Bank PLC,70000000,B,2050000,0.0925,100,2020-10-29 00:00:00,7000000000,,205000000
,,,,A,43180000,0.09,100,,,,4318000000
,,Note*: Please refer CSE's circular No.11-05-2020,,,,,,,,,
,,,,,,,,,,,21939820000
No.,Date of Announcement,Name ,Debentures offered,Types,Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),
De-Listings 2020 (January to Decemeber),,,,,,,,,,,
No. ,Date De-listed ,Company Name ,Effective Date,,,,,,,,
1,2020-01-30 00:00:00,Pradeshiya Sanwardena Bank (Debt only),2020-01-30 00:00:00,,,,,,,,
2,2020-02-27 00:00:00,Dunamis Capital PLC,2020-02-27 00:00:00,,,,,,,,
3,2020-07-22 00:00:00,Entrust Securites PLC ,2020-07-22 00:00:00,,,,,,,,
4,2020-07-29 00:00:00,PC Pharma PLC,2020-07-29 00:00:00,,,,,,,,
5,2020-08-25 00:00:00,Hotel Developers (Lanka) PLC ,2020-08-25 00:00:00,,,,,,,,
6,2020-09-29 00:00:00,Morison PLC ,2020-09-29 00:00:00,,,,,,,,
7,,The Finance company PLC,2020-12-28 00:00:00,,,,,,,,
