Sector Ratios - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR ,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
"BANKS, FINANCE & INSURANCE",3.4,5,0.8,3.6,4.6,0.7,5.1,4.4,0.6,4.7,4.7,0.7,3.8,6.2,0.9,4.2,7.1,0.9,3.97,7.57,0.99,3.75,7.98,1.03,3.2,9.3,1.2,3.08,9.96,1.26,3.22,9.54,1.21,2.94,10.45,1.33
"BEVERAGE, FOOD & TOBACCO",5.8,7.3,1.9,5.9,7.2,1.9,6,7,1.8,5.3,8,2.1,5.1,8.8,2.3,5,9.6,2.5,4.89,9.75,2.54,4.31,11.13,2.91,4.5,13.5,2.6,4.37,13.92,2.71,4.52,13.48,2.62,4.1,14.97,2.91
CHEMICALS & PHARMACEUTICALS,7,3.7,0.6,7.3,3.5,0.5,7.5,3.4,0.5,6.5,4.1,0.6,5.4,4.9,0.7,5.3,6.3,0.8,5.41,6.08,0.78,5.24,6.28,0.8,4.1,7.9,1,3.97,8.18,1.05,4.08,8.78,1.02,3.49,10.25,1.19
CONSTRUCTION & ENGINEERING,4.6,4.2,1.4,4.5,4.3,1.4,5,3.9,1.3,10.1,3.5,1.1,7.3,4.8,1.5,6.6,5.2,1.6,6.05,5.63,1.77,5.18,6.57,2.07,4.4,7.6,2.4,3.94,8.31,2.67,3.7,8.91,2.86,2.86,11.45,3.67
DIVERSIFIED HOLDINGS,4.8,6.5,0.8,5.3,5.9,0.7,5.3,5.7,0.7,4.7,6.4,0.8,3.3,9.1,1.2,1.8,12.7,1.3,1.79,12.82,1.35,1.77,13.01,1.36,1.5,17.8,1.7,1.51,17.99,1.67,1.51,17.86,1.66,1.2,22.39,2.08
FOOTWEAR & TEXTILES,9.4,4.5,0.7,9.8,4.3,0.6,10,4.1,0.6,8.7,4.7,0.7,7.6,5.3,0.8,8.4,6.4,0.7,8.72,6.21,0.65,8.78,6.45,0.67,10.6,9.8,0.6,11.45,9.23,0.59,12.88,8.67,0.55,11.78,9.23,0.59
HEALTH CARE,2,53.5,1.6,2,52.9,1.6,2,53.1,1.6,1.7,60.5,1.8,1.5,67.2,2,1.5,68.3,2,1.56,71.7,2.14,2.19,54.5,1.85,1.9,52.8,1.9,1.61,59.51,2.11,1.52,61.04,2.16,1.51,62.36,2.21
HOTELS & TRAVELS,2.7,21.3,0.9,2.9,19.4,0.8,3,18.7,0.8,2.7,21.3,0.9,2.2,27.2,1.1,2.5,44.6,1.4,2.43,47.64,1.48,2.14,54.52,1.66,1.9,66.8,1.8,2.16,64.74,1.67,2.17,62.04,1.6,1.8,72.81,1.88
