New Listings 2024 (January to December),,,,,,,,,,
,,IPO - Equity ,,,,,,,,
No.,Date of Announcement,Name ,No. of shares offered,No. of shares alloted,No. of Shares listed ,Consideration (Rs.),Amount raised (Rs.),Date listed ,,
1,,Cargills Bank Limited,62500000,62500000,945642858,8,500000000,2024-01-09 00:00:00,,
2,,Maharaja Foods Limited,25000000,25000000,125000000,5,125000000,2024-07-26 00:00:00,,
3,,Cable Solutions Limited,14666600,14666600,470666600,7.5,109999500,2024-08-14 00:00:00,,
,,,66120000,66120000,,,495900000,,,
4,,Digital Mobility Solutions Lanka Limited (PickMe),43474179,43474179,333323673,36,1565070444,45568,,
,,,,,,,2795969944,,,
 ,,Introduction - Closed-End-Funds,,,,,,,,
No.,Date of Announcement,Name ,Shares listed ,Reference Price,Date listed ,,,,,
1,,CAL Five Year Optimum Fund ,193904428,10,2024-02-01 00:00:00,,,,,
**CAL Closed end fund has been recognized under new listings,,,,,,,,,,
,,Introduction - Debenture,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,,
1,,,,,,,,,,
,,IPO - Debenture ,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Total amount raised (Rs.)
1,,Bank of Ceylon (BASEL III ),100000000,A,100000000,0.15,100,2024-01-11 00:00:00,10000000000,10000000000
2,,DFCC Bank PLC (BASEL III),80000000,A,79452300,0.1525,100,2024-01-26 00:00:00,8000000000,8000000000
,,,,B,547700,0.1475,100,2024-01-26 00:00:00,,
,,,,B,547700,0.1475,100,2024-01-26 00:00:00,,
3,,Siyapatha Finance PLC ,40000000,A,40000000,0.132,100,2024-06-18 00:00:00,4000000000,4000000000
4,,Commercial Bank of Ceylon PLC,200000000,A,14272500,0.126,100,2024-07-19 00:00:00,20000000000,20000000000
,,,,B,124551600,0.13,100,2024-07-19 00:00:00,,
,,,,C,1396700,0.1285,100,2024-07-19 00:00:00,,
,,,,D,3688900,0.1325,100,2024-07-19 00:00:00,,
,2020-09-24 00:00:00,,,E,730400,0.13,100,2024-07-19 00:00:00,,
,,,,F,55359900,0.135,100,2024-07-19 00:00:00,,
5,,Seylan Bank PLC,100000000,A,76666500,0.1325,100,2024-07-25 00:00:00,10000000000,10000000000
,,,,B,12638000,0.126,100,2024-07-25 00:00:00,,
,,,,C,1335500,0.135,100,2024-07-25 00:00:00,,
,,,,D,9360000,0.1305,100,2024-07-25 00:00:00,,
6,,Hatton National Bank PLC,,A,82125000,0.13,100,2024-09-05 00:00:00,,
,,,120000000,B,21984000,0.126,100,2024-09-05 00:00:00,12000000000,12000000000
,,,,C,2824000,0.1325,100,2024-09-05 00:00:00,,
,,,,D,13067000,0.135,100,2024-09-05 00:00:00,0,5000000000
7,,National Development Bank PLC,100000000,A,39150600,0.1325,100,2024-09-23 00:00:00,10000000000,
,,,,B,8182300,0.1284,100,2024-09-23 00:00:00,,
,,,,C,2667100,0.1264,100,2024-09-23 00:00:00,,
8,,DFCC Bank PLC,25000000,A,25000000,0.12,100,2024-09-30 00:00:00,2500000000,2500000000
9,,Bank of Ceylon (BASEL III ),150000000,A,150000000,0.135,100,2024-10-02 00:00:00,15000000000,15000000000
10,,National Development Bank PLC (BASEL III),50000000,A,45349100,0.13,100,2024-12-06 00:00:00,4534910000,4534910000
,,,,B,4650900,0.1241,100,2024-12-06 00:00:00,465090000,465090000
11,,Vallibel Finance PLC,30000000,A,4822400,0.1295,100,2024-12-06 00:00:00,482240000,482240000
,,,,B,25177600,0.1337,100,2024-12-06 00:00:00,2517760000,2517760000
12,,Abans PLC,3000000,A,3000000,0.13,100,2024-12-18 00:00:00,300000000,300000000
,,,,,,,,,,94800000000
De-Listings 2024 (January to December),,,,,,,,,,
No. ,Date De-listed ,Company Name ,Effective Date,,,,,,,
1,,NESTLE LANKA PLC,2024-01-16 00:00:00,,,,,,,
2,,GOOD HOPE PLC,2024-01-17 00:00:00,,,,,,,
3,,INDO-MALAY PLC,2024-01-17 00:00:00,,,,,,,
4,,SELINSING PLC,2024-01-17 00:00:00,,,,,,,
5,,SHALIMAR (MALAY) PLC.,2024-01-17 00:00:00,,,,,,,
6,,REGNIS (LANKA) PLC,2024-03-04 00:00:00,,,,,,,
7,,SINGER INDUSTRIES (CEYLON) PLC,2024-03-04 00:00:00,,,,,,,
8,,EXPO LANKA HOLDINGS PLC,2024-09-12 00:00:00,,,,,,,
9,,MULTI FINANCE PLC,2024-09-04 00:00:00,,,,,,,
10,,UNISYST ENGINEERING PLC,2024-10-08 00:00:00,,,,,,,
