Market Capitalisation of Listed Companies as at 31st December 2008,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
SLTL,SLT,2008-12-31 00:00:00,1804860000,31,55950660000
DIAL,DIALOG,2008-12-31 00:00:00,8143778405,6,48862670430
JKH,JKH,2008-12-31 00:00:00,610585913,50,30529295650
COMB,COMMERCIAL BANK,2008-12-31 00:00:00,233281226,67,15629842142
DIST,DISTILLERIES,2008-12-31 00:00:00,300000000,50.5,15150000000
NEST,NESTLE,2008-12-31 00:00:00,53725463,260,13968620380
HNB,HNB,2008-12-31 00:00:00,189329400,69.75,13205725650
CTC,CEYLON TOBACCO,2008-12-29 00:00:00,187323751,66,12363367566
CARS,CARSONS,2008-12-31 00:00:00,96268095,109,10493222355
AMW,AMW,2008-11-03 00:00:00,55647600,174.5,9710506200
SPEN,AITKEN SPENCE,2008-12-29 00:00:00,27066403,311,8417651333
LIOC,LANKA IOC,2008-12-31 00:00:00,532529905,15.25,8121081051.25
NDB,NAT. DEV. BANK,2008-12-31 00:00:00,81855385,86,7039563110
DFCC,DFCC,2008-12-31 00:00:00,130732470,53,6928820910
HAYL,HAYLEYS,2008-12-31 00:00:00,75000000,86,6450000000
BUKI,BUKIT DARAH,2008-12-31 00:00:00,10000000,610,6100000000
HHL,HEMAS HOLDINGS,2008-12-24 00:00:00,101308124,55.25,5597273851
LLUB,CHEVRON,2008-12-31 00:00:00,60000000,92,5520000000
AHPL,AHOT PROPERTIES,2008-12-31 00:00:00,221387650,24.75,5479344337.5
KHL,KEELLS HOTELS,2008-12-31 00:00:00,1092110085,5,5460550425
JFIN,FINLAYS COLOMBO,2008-12-29 00:00:00,35000000,150,5250000000
CTEA,TEA SERVICES,2008-12-17 00:00:00,20000000,260,5200000000
CARG,CARGILLS,2008-12-31 00:00:00,224000000,22.5,5040000000
AEC,AEC,2008-12-23 00:00:00,2675738,1800,4816328400
SAMP,SAMPATH,2008-12-23 00:00:00,68887628,68,4684358704
TRAN,TRANS ASIA,2008-12-23 00:00:00,50000000,89.5,4475000000
CTHR,CEY THEATRES,2008-12-30 00:00:00,170348920,26,4429071920
ASIR,ASIRI,2008-12-31 00:00:00,88926304,49.25,4379620472
CINS,CEYLINCO INS.,2008-12-31 00:00:00,20000000,187,3740000000
NTB,NATIONS TRUST,2008-12-31 00:00:00,167714672,22.25,3731651452
OSEA,OVERSEAS REALTY,2008-12-31 00:00:00,562322906,6.5,3655098889
AHUN,A.SPEN.HOT.HOLD.,2008-12-30 00:00:00,38433144,95,3651148680
TKYO,TOKYO CEMENT,2008-11-05 00:00:00,18000000,192,3456000000
CTCE,EAGLE INSURANCE,2008-12-30 00:00:00,30000000,115,3450000000
DOCK,DOCKYARD,2008-12-31 00:00:00,68437071,50,3421853550
DIPD,DIPPED PRODUCTS,2008-12-31 00:00:00,59861512,56.75,3397140806
CFIN,CENTRAL FINANCE,2008-12-08 00:00:00,20300000,165,3349500000
CDIC,CDIC,2008-11-26 00:00:00,43855007,75.25,3300089276.75
SHAL,SHALIMAR,2008-11-26 00:00:00,6940080,450,3123036000
AMSL,ASIRI SURG,2008-12-31 00:00:00,528457545,5.75,3038630883.75
RICH,RICHARD PIERIS,2008-12-31 00:00:00,128251023,22.5,2885648017.5
LOLC,LOLC,2008-12-30 00:00:00,47520000,58,2756160000
LHCL,LANKA HOSPITALS,2008-12-31 00:00:00,223732169,12,2684786028
VPEL,VALLIBEL,2008-12-31 00:00:00,747109731,3.3,2465462112.3
LION,LION  BREWERY,2008-12-05 00:00:00,50000000,42.75,2137500000
CIC,CIC,2008-12-31 00:00:00,72900000,28.75,2095875000
JINS,JANASHAKTHI INS.,2008-12-31 00:00:00,363000132,5.75,2087250759
CCS,COLD STORES,2008-12-30 00:00:00,21600000,94,2030400000
SINS,SINGER SRI LANKA,2008-12-31 00:00:00,62604805,32,2003353760
LWL,LANKA WALLTILE,2008-12-29 00:00:00,45500000,43.75,1990625000
UAL,UNION ASSURANCE,2008-12-31 00:00:00,37500000,49.75,1865625000
ACL,ACL,2008-12-31 00:00:00,59893680,30,1796810400
LHL,LIGHTHOUSE HOTEL,2008-12-31 00:00:00,46000000,39,1794000000
SERV,HOTEL SERVICES,2008-12-30 00:00:00,17600000,96,1689600000
CHOT,HOTELS CORP.,2008-12-31 00:00:00,171825201,9.5,1632339409.5
KVAL,KELANI VALLEY,2008-12-05 00:00:00,34000000,47.5,1615000000
SUN,SUNSHINE HOLDING,2008-11-19 00:00:00,13333333,120,1599999960
GUAR,CEYLON GUARDIAN,2008-12-29 00:00:00,18938112,82,1552925184
RCL,ROYAL CERAMIC,2008-12-31 00:00:00,55394692,28,1551051376
RPBH,ROYAL PALMS,2008-12-31 00:00:00,50000000,29.75,1487500000
HDEV,HOTEL DEVELOPERS,2008-12-31 00:00:00,45226100,32.5,1469848250
COML,COMM. LEASING,2008-11-26 00:00:00,17645840,80,1411667200
WATA,WATAWALA,2008-12-31 00:00:00,23666667,57.5,1360833352.5
BRWN,BROWNS,2008-12-31 00:00:00,70875000,19,1346625000
HAYC,HAYCARB,2008-12-31 00:00:00,29712375,44.5,1322200687.5
