"Market Capitalization of Listed Companies as at December, 2022",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
CPRT,CPRT.N0000,CEYLON PRINTERS,74.7,600170,44832699
CRL,CRL.N0000,SOFTLOGIC FIN,11.3,609210803,6884082073.9
CSD,CSD.N0000,SEYLAN DEVTS,11.8,147964860,1745985348
CSF,CSF.N0000,NATION LANKA,0.5,2933836839,1466918419.5
CTBL,CTBL.N0000,CEYLON TEA BRKRS,4.2,182400000,766080000
CTC,CTC.N0000,CEYLON TOBACCO,625,187323751,117077344375
CTEA,CTEA.N0000,DILMAH CEYLON,1122.25,20737500,23272659375
CTHR,CTHR.N0000,C T HOLDINGS,175,201406978,35246221150
CTLD,CTLD.N0000,C T LAND,24.7,81250000,2006875000
CWL,CWL.N0000,CHRISSWORLD,10.4,30000000,312000000
CWM,CWM.N0000,C.W.MACKIE,81.9,35988556,2947462736.4
DFCC,DFCC.N0000,DFCC BANK PLC,32,402666056,12885313792
DIAL,DIAL.N0000,DIALOG,8.5,8247640305,70104942592.5
DIMO,DIMO.N0000,DIMO,599,9231494,5529664906
DIPD,DIPD.N0000,DIPPED PRODUCTS,29.1,598615120,17419699992
DIST,DIST.N0000,DISTILLERIES,13.2,4600000000,60720000000
DOCK,DOCK.N0000,DOCKYARD,59,71858924,4239676516
DPL,DPL.N0000,DANKOTUWA PORCEL,24,162552920,3901270080
EAST,EAST.N0000,EAST WEST,8,138240000,1105920000
EBCR,EBCR.N0000,E B CREASY,20.6,253545800,5223043480
ECL,ECL.N0000,E - CHANNELLING,13,122131415,1587708395
EDEN,EDEN.N0000,EDEN HOTEL LANKA,17.6,528000000,9292800000
ELPL,ELPL.N0000,ELPITIYA,86,72866428,6266512808
EMER,EMER.N0000,EASTERN MERCHANT,12.9,117446000,1515053400
EML,EML.N0000,EML CONSULTANTS,3.9,90900000,354510000
ETWO,ETWO.N0000,EQUITY TWO PLC,38.4,31000000,1190400000
EXPO,EXPO.N0000,EXPOLANKA,182.25,1954915000,356283258750
EXT,EXT.N0000,EXTERMINATORS,8.2,52852459,433390163.8
FCT,FCT.N0000,FC TREASURIES,22.9,615600000,14097240000
GEST,GEST.N0000,GESTETNER,70,2657812,186046840
GHLL,GHLL.N0000,GALADARI,12.5,500829564,6260369550
GLAS,GLAS.N0000,PGP GLASS,13.2,950086080,12541136256
GOOD,GOOD.N0000,GOOD HOPE,1246.25,3883782,4840163317.5
GRAN,GRAN.N0000,GRAIN ELEVATORS,80.5,60000000,4830000000
GREG,GREG.N0000,AMBEON HOLDINGS,35.3,356869666,12597499209.8
GUAR,GUAR.N0000,CEYLON GUARDIAN,62.8,82517874,5182122487.2
HAPU,HAPU.N0000,HAPUGASTENNE,50.7,46315789,2348210502.3
HARI,HARI.N0000,HARISCHANDRA,4000,1919600,7678400000
HASU,HASU.N0000,HNB ASSURANCE,42.9,150000000,6435000000
HAYC,HAYC.N0000,HAYCARB,57.6,297123750,17114328000
HAYL,HAYL.N0000,HAYLEYS,68,750000000,51000000000
HBS,HBS.N0000,hSENID BIZ,17,276695376,4703821392
HDFC,HDFC.N0000,HDFC,27.8,64710520,1798952456
HELA,HELA.N0000,HELA,8.5,1309955933,11134625430.5
HEXP,HEXP.N0000,HAYLEYS FIBRE,56.8,24000000,1363200000
HHL,HHL.N0000,HEMAS HOLDINGS,56.4,596546025,33645195810
HNB,HNB.N0000,HNB,78.9,428442985,33804151516.5
HNB,HNB.X0000,HNB,70,107112457,7497871990
HNBF,HNBF.N0000,HNB FINANCE,4.3,1421380624,6111936683.2
HNBF,HNBF.X0000,HNB FINANCE,4.2,298200000,1252440000
HOPL,HOPL.N0000,HORANA,61.9,25000000,1547500000
HPFL,HPFL.N0000,LOTUS HYDRO,8.3,109088112,905431329.6
HPL,HPL.N0000,HATTON,24.2,236666671,5727333438.2
HPWR,HPWR.N0000,RESUS ENERGY,11.8,86184827,1016980958.6
HSIG,HSIG.N0000,HOTEL SIGIRIYA,30.9,17577000,543129300
HUNA,HUNA.N0000,HUNAS HOLDINGS,29.8,843750000,25143750000
HUNT,HUNT.N0000,HUNTERS,707,5145000,3637515000
HVA,HVA.N0000,HVA FOODS,3.7,116250155,430125573.5
IDL,IDL.N0000,SERENDIB ENG.GRP,3.8,32383250,123056350
INDO,INDO.N0000,INDO MALAY,1326.5,4811400,6382322100
JAT,JAT.N0000,JAT HOLDINGS,12.4,510407773,6329056385.2
JETS,JETS.N0000,JETWING SYMPHONY,10.4,602188559,6262761013.6
JINS,JINS.N0000,JANASHAKTHI INS.,31.7,226526153,7180879050.1
JKH,JKH.N0000,JKH,135.25,1384916632,187309974478
JKL,JKL.N0000,JOHN KEELLS,65.1,60800000,3958080000
KAHA,KAHA.N0000,KAHAWATTE,24.5,99406691,2435463929.5
KCAB,KCAB.N0000,KELANI CABLES,259.75,21800000,5662550000
KDL,KDL.N0000,KELSEY,21.8,17429274,379958173.2
KFP,KFP.N0000,KEELLS FOOD,163.25,25500000,4162875000
KGAL,KGAL.N0000,KEGALLE,137.5,25000000,3437500000
KHC,KHC.N0000,KANDY HOTELS,7.2,577500000,4158000000
KHL,KHL.N0000,KEELLS HOTELS,16.5,1456146780,24026421870
KOTA,KOTA.N0000,KOTAGALA,7.7,338512500,2606546250
KPHL,KPHL.N0000,KAPRUKA ,8.5,164130360,1395108060
KVAL,KVAL.N0000,KELANI VALLEY,81.7,68000000,5555600000
KZOO,KZOO.N0000,SHAW WALLACE,7.1,178254871,1265609584.1
LALU,LALU.N0000,LANKA ALUMINIUM,15.8,68514115,1082523017
LAMB,LAMB.N0000,KOTMALE HOLDINGS,386.25,31400000,12128250000
LCBF,LCBF.N0000,LCB FINANCE PLC,2.3,790168780,1817388194
LCEY,LCEY.N0000,LANKEM CEYLON,91.2,51470757,4694133038.4
LDEV,LDEV.N0000,LANKEM DEV.,31.5,120000000,3780000000
LFIN,LFIN.N0000,LB FINANCE,40,554057136,22162285440
LGIL,LGIL.N0000,LOLC GENERAL INS,8.1,1200000000,9720000000
LGL,LGL.N0000,LAUGFS GAS,15.6,335000086,5226001341.6
