Sector Market Capitalisation - Monthly 2019,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",779379176151.2,739676018931.7,706744080791.6,696684821334.6,668538528622.3,676217261812.2,788357334986.3,783971908102.9,747199183474,730560627005.1,747803148137.6,757326933294.7
"BEVERAGE, FOOD & TOBACCO",649792710169.8,637603602210.9,612497482116.3,606771621470.7,592044944212.4,591200187107.4,617374673074.4,596646601784.5,578451960996.3,577063171925.1,611112624764.8,592734171437.3
CONSTRUCTION & ENGINEERING,21537368396,20629565902.4,19697706978.4,19429989130.4,18433527712.8,20622130206.4,25591161769.2,26165424826.4,24577918592.4,28827123579.6,30000155142.4,29156437294.4
CHEMICALS & PHARMACEUTICALS,15761409356,14831454091.5,14668847813,14959911357.5,15642478515.8,16502285858.4,17805375378.5,18178462091,18241556975.3,19445385214.7,19893724627.2,19813553756
DIVERSIFIED HOLDINGS,510905303836.6,504119290684.6,474311595118.2,464942163977.6,450059810855.7,449707490950.8,498364793109.3,503866659430.3,497599422937.8,519261121560.1,543186566786.3,538856396947.7
FOOTWEAR & TEXTILES,9354684870.4,9114749710.9,8868375697.1,9447743882.4,7690322763.6,8405755664.4,10017998186.1,10313208007,35546344205.6,39942938231,41089024067.4,39433755565.2
HOTELS & TRAVELS,295522864123.4,292480343033.4,289328621900.5,286488598605.5,279042957512.8,282442328439.3,291466254755.5,290519672501.7,294341199709.9,304787252474,309137541888.6,307398632044.4
HEALTH CARE,48994416813.2,48872262951.7,46666010224.7,45856070816,45513134668.8,48172175232.1,50859023268.4,51063208302.4,47842123869.2,48813162522.1,47909119107.4,45750675825.7
INVESTMENT TRUSTS,19011195336.8,17756841523.4,17467841490.8,17013427093.4,17219183551.2,17348449621.9,20956165899.2,27214530980.7,27350588539.4,29613366172.6,30845978101.8,30665628305.6
INFORMATION TECHNOLOGY,583931367.6,535078801.6,522865660.1,522865660.1,425160528.1,535078801.6,549591367.5,622870216.5,622870216.5,745001631.5,696149065.5,671722782.5
LAND & PROPERTY,49116625592.8,49153519719.2,49067337647.6,47358791011.4,46240732863.4,49546711025.2,54923820339.2,54845643665.8,52329242921.7,54007330376,54069960927.8,53464834182.9
MANUFACTURING,118188744187.5,108153793590.8,103854182300.3,102349747818.8,99724077053.5,103463479706.1,120444959480.4,117340139541.9,89299647919.6,103779551812.5,116998534939,111666552335.7
MOTORS,17700197131.2,16951038260.1,16049017088.5,15082734760.9,14772130378.5,15405758714.7,15750543956.2,16069951904.2,15650216378.6,15982083463.1,16059396877.1,15986055406.4
OIL PALMS,42355031733,42283631733,42283631733,42691631733,41636593651.8,41646793651.8,42620618667.6,42735493227.6,44642893227.6,42235693227.6,42603833017.8,43634033017.8
POWER & ENERGY,34311611622.3,33163472147.6,31922466324.4,32016888756,31227518129.8,31406874413.7,33300305751.2,32635360386.9,31570586545.8,35596605561.5,37821623623.5,36470011513.3
PLANTATIONS,27171648414.2,25755960664.9,24845054539.5,24399435350.7,24030294871.5,24808438688,27252110577,26715022610.9,26158618760.9,27346161328.3,27527788100.2,27349208044.9
STORES & SUPPLIES,6967410951.4,6981902355.6,6970775346.3,6714059954.1,6678961648,6906937309,6975980035.7,7020402745,7355927850.2,7109542940.9,6809446850,6466104726
SERVICES,5357570649,5372010337,5190849067,5040029123,5240157889,5089296465,5688706669,4935964367,4909601920,5114944489,5057963659,4959073831
TELECOMMUNICATION,122135186209.5,121228374528.5,112732387485.5,112182166123.5,117970863166.5,114625299645,143639310295.5,140474232774,138664991093,162990747424.5,169320902467.5,157743508381.5
TRADING,25252048321.9,23920466607.7,22210233127.2,22552333362.9,20133878371.2,19324030656.7,25975618619.7,29159717427.8,26866937998.5,28445194329.2,31851215994.9,31765680136.5
ASPI MKT CAP,,,,,,,,,,,,
S&P MKT CAP,,,,,,,,,,,,
