Sector Trading Statistics 2009,,,,,
Sector,Trades (No.),Share Volume (No.),Turnover (Rs.),Listed,Traded
"BANKS, FINANCE & INSURANCE",282617,1128204336,45229164194,33,33
"BEVERAGE, FOOD & TOBACCO",68019,129066292,6454306745,18,17
CONSTRUCTION & ENGINEERING,14769,17602676,1868053276,3,3
CHEMICALS & PHARMACEUTICALS,44873,153631544,3720122851,9,9
FOOTWEAR & TEXTILES,8036,25590842,1014389914,3,3
HOTELS & TRAVELS,168880,448709656,10243831830,32,32
INVESTMENT TRUSTS,17423,11513952,1191909072,8,8
LAND & PROPERTY,107190,258129133,3707191606,19,18
MANUFACTURING,191557,828593601,10726107882,33,34
MOTORS,7491,4208262,390201033,6,7
OIL PALMS,3575,23192755,5001061175,5,5
STORES & SUPPLIES,642,374533,56516789,4,4
SERVICES,1993,2549319,196297161,6,6
TRADING,101252,250722489,4158885384,9,9
PLANTATIONS,73957,81984342,1910546736,18,18
DIVERSIFIED HOLDINGS,80543,352254924,37673074330,11,11
POWER & ENERGY,33362,238937521,1869440016,4,4
HEALTH CARE,25459,205726637,1245862306,6,6
INFORMATION TECHNOLOGY,4681,9003225,97390971,1,1
TELECOMMUNICATION,29980,592670565,3960499302,2,2
