New Listing 1993,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) Heytech Marketing Ltd ,2187500,35,674030,1513470,1993-01-25 00:00:00
2) Palm Garden Hotel,4259500,20,4259500,Nil,1993-03-08 00:00:00
3) Lanka Ceramic,18750000,25,18750000,Nil,1993-04-05 00:00:00
4) Browns Beach Hotel,4000000,20,4000000,Nil,1993-02-22 00:00:00
5) Samson International,2250000,30,2250000,Nil,1993-03-22 00:00:00
6) National Development Bank,30100000,50,30100000,Nil,1993-04-26 00:00:00
7) Hunas Falls Hotel,600000,16,600000,Nil,1993-10-18 00:00:00
8) Sathosa Motors,2475000,55,2475000,Nil,1993-11-08 00:00:00
9) Richard Pieris Exports,12262500,45,12262500,Nil,1993-10-11 00:00:00
10) Eden Hotel,7000000,10,7000000,Nil,1993-12-13 00:00:00
11) Vanik Incorporation,17000000,20,17000000,Nil,1993-12-09 00:00:00
12) Seylan Merchant Bank,5700000,15,5700000,Nil,1993-12-20 00:00:00
Value (Rs.),1050710300,,,,
Issues (No.),12,,,,
New Listing 1993 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
"1) Banks, Finance & Insurance",3,52800000,528000000,,
2) Trading,2,14450000,129365300,,
3) Hotels & Travel,4,15859500,158595000,,
4) Manufacturing ,2,21000000,210000000,,
5) Motors,1,2475000,24750000,,
Total,12,106584500,1050710300,,
De-Listings 1993,,,,,
Company,Date of De-Listing,,,,
Whittalls Estates & Agencies Ltd,1993-06-01 00:00:00,,,,
