Sector Domestic & Foreign Analysis - 2025 (January to December) ,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
Automobiles & Components,34133,311,17646108,165821,1692794882,15159096
Banks,1354250,23460,3953671335,168678406,385553316162,20177954562
Capital Goods,1855794,41084,9480439140,1335031830,363132304215,37754664482
Commercial & Professional Services,72270,221,301038303,3637412,3698572208,633526982
Consumer Durables & Apparel,391705,6451,1735919441,94693384,41402442611,3007140177
Consumer Services,732496,5370,4762142030,137066809,68955592624,2150533898
Diversified Financials,1907839,17435,18630973547,452200094,223084080762,6135010121
Energy,147641,961,454141000,3800827,35555598214,337960731
Food & Staples Retailing,41532,410,565123615,18504055,21275042822,8205536505
"Food, Beverage & Tobacco",1544946,24631,9229948457,266477500,186131303936,11060152867
Health Care Equipment & Services,160165,831,1021314173,7551388,9875873868,111130418
Household & Personal Products,20561,166,71498739,2014960,1579691709,42911727
Insurance,380512,5251,2395631007,33278450,40316839698,2152557814
Materials,1062155,10929,5532747804,110810198,149775379074,7739634011
Real Estate,540460,4755,2205355270,70783334,66267485174,1151874538
Retailing,397115,2047,1627816132,13386271,60813321212,709561141
Software &  Services,37598,771,185419351,6280402,2860637877,103389362
Telecommunication Services,121310,8436,695018110,235643800,17049651633,4912984305
Transportation,109454,2719,261892481,50528602,29145603720,5274674840
Utilities,450077,4213,3340451612,38119954,46300816079,638935610
