Sector Market Capitalisation - Monthly 2024,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December
Automobiles & Components,4984800000,5242080000,5628000000,5901360000,6271200000,6271200000,5748600000,5748600000,5909400000,5965680000,6070200000,6713400000
Banks,431798519651.95,443278056465.45,487211354808.9,546740041503.35,528966635285.6,528966635285.6,471301633058.6,471301633058.6,545205665484.15,616229417876.75,645191125906.35,805912287235.25
Capital Goods,633945859033.6,695380246888.6,735960254837.6,794882648557.7,780958453549.75,780958453549.75,677250186739.5,677250186739.5,761063051641.5,835792187893.1,818231335241.4,972791634400.15
Commercial & Professional Services,5353705156.4,5229799981.15,5533198093.25,5878098777.05,5569775680,5569775680,5175737942.6,5175737942.6,5302624548.95,5338324366.65,5581958330.85,6006656072.1
Consumer Durables & Apparel,76081005359.5,77812980256.9,79716836504.7,86104602480.1,90673393150.1,90673393150.1,87574842992.8,87574842992.8,95227100729.6,99014169193.6,102783430486.2,119496432263.1
Consumer Services,205564561135.3,204177700931.9,221771866802.9,242500589359.4,223302543385.5,223302543385.5,206432432616.3,206432432616.3,227627017943.2,219201907677.3,248951202667.7,280594857548.3
Diversified Financials,541229770540.4,542004291315.5,649822931247.8,748028205449.7,709869606750.9,709869606750.9,610579444353.9,610579444353.9,695110488441.55,716613519795.15,709003934193.8,917724125282.1
Energy,68576254405.15,69204202112.4,75017674025.75,84696925598.15,81031864091.65,81031864091.65,68264867525,68264867525,73526658973.2,74352241138.85,70603297595.7,79075665250.35
Food & Staples Retailing,140262724076.85,140223153148.45,146199322700.7,146875319394.9,153055228287.95,153055228287.95,152818284911.9,152818284911.9,155041888002.6,159510124778.3,166652326282.65,175504407007.9
"Food, Beverage & Tobacco",898248340949.7,919847557613.95,998673809748.15,1076285267026.95,1038722186060.9,1038722186060.9,976279760390,976279760390,1026860280149,1096149429540.9,1139734905555.25,1335058607698.45
Health Care Equipment & Services,75106859526.5,69628611902.8,73255029733.4,70691972528.95,71263585579.2,71263585579.2,63416149713.75,63416149713.75,62781933335.6,63019439663.4,63405055072.25,67331226197.1
Household & Personal Products,8223963127,8408069141.2,8377384805.5,8346700469.8,8101225784.2,8101225784.2,7733013755.8,7733013755.8,7763698091.5,7825066762.9,8070541448.5,8868334176.7
Insurance,137799308840.8,142200796874,150051824319.9,158965154210.2,153398128362.7,153398128362.7,145971190350.4,145971190350.4,142774661987.3,151001004478.7,159148901131.7,183298905319.9
Materials,164416520720.2,168005747328.35,184566983038.7,193720226178.1,200288704742.6,200288704742.6,180163690802.7,180163690802.7,196439147764.55,203477327964.2,210088684258.25,250656672787.8
Real Estate M & D,45897479504.3,47890489152.8,51271844081.8,52511932783.1,53539191816.5,53539191816.5,50070549242.6,50070549242.6,52250502320,53063502296.6,55128092663.6,69128062152.3
Retailing,48696676178.3,49582901784.7,54766917929.7,62071294652.1,60581386539.2,60581386539.2,58247705643.7,58247705643.7,60778234736.8,65352687668,73549509816.6,86208376232.5
Software & Services,3181996824,3015979598.4,3043649136,3126657748.8,3624709425.6,3624709425.6,3137802349,3137802349,3137802349,3337480680.3,3280429728.5,3480108059.8
Telecommunication Services,251466014745,254349383172,258934791568.5,257877029629.5,239064232941.2,239064232941.2,198802702447.8,198802702447.8,204503389444.2,221028785434.6,212999383937.6,233081689429.8
Transportation,256359714610,289586777175,294981349662.5,295117416747.5,295078416747.5,295078416747.5,295026030650,295026030650,830499427.5,17741630768.4,18772089164.7,23395592145
Utilities,48610309122.2,51025339281.3,49865107385.9,53550179863.2,56643513915.4,56643513915.4,56983407478.2,56983407478.2,59693965556.3,63851519415.8,64897148684.3,71233092238.2
