New Listing 1995,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) ACL Plastics Ltd ,1400000,40,1400000,Nil,1995-04-05 00:00:00
2) C W Mackie & Co Ltd ,3300000,65,3300000,Nil,1995-01-09 00:00:00
3) Ceylinco Seylan Development Ltd,18500000,10,18500000,Nil,1995-02-08 00:00:00
4) Dankotuwa Porcelain Ltd,7002100,30,7002100,Nil,1995-02-21 00:00:00
5) Elastomeric Engineering Co Ltd,2500000,50,2500000,Nil,1995-02-16 00:00:00
6) Lanka Ventures Ltd,14188000,20,14188000,Nil,1995-06-08 00:00:00
7) Magpek Exports Ltd,7000000,40,7000000,Nil,1995-02-09 00:00:00
8) Metal Recyclers Colombo Ltd,3033000,45,3033000,Nil,1995-04-12 00:00:00
9) Metalix Engineering Co. Ltd,1000000,55,1000000,Nil,1995-05-25 00:00:00
10) Ocean View Ltd,6000000,40,6000000,Nil,1995-01-23 00:00:00
11) Printcare (Ceylon) Ltd,4000000,45,4000000,Nil,1995-04-28 00:00:00
12) Three Acre Farms Ltd,8500000,45,8500000,Nil,1995-03-20 00:00:00
13) Bogawantalawa Plantations Ltd,4000000,10,4000000,Nil,1995-12-08 00:00:00
14) Kotagala Plantation Ltd,4000000,10,4000000,Nil,1995-12-12 00:00:00
Value (Rs.),2434308000,,,,
Issues (No.),14,,,,
New Listing 1995 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
"1) Banks, Finance & Insurance",1,14188000,289760000,,
"2) Beverage, Food & Tobacco",1,8500000,382500000,,
3)  Hotels & Travels,1,6000000,240000000,,
4) Manufacturing ,7,25935100,1042548000,,
5) Plantation,2,8000000,80000000,,
6) Trading,1,3300000,214500000,,
7) Land & Property,1,18500000,185000000,,
Total,14,84423100,2434308000,,
De-Listings 1995,,,,,
Company,Date of De-Listing,,,,
Rubberite Ltd,1995-04-03 00:00:00,,,,
Hotel International Ltd,1995-06-07 00:00:00,,,,
Kandy Private Hospital ltd,1995-06-07 00:00:00,,,,
