Sector Market Capitalisation - Monthly 2008,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December
BANK FINANCE INS,135552794769,139889383770.75,139617354433.25,140802595176.5,135796942305.75,128184327273.5,130915731361.5,131697319593.25,118826123545,100267714609.5,90367134644,82049659845.25
BEV FOOD TOBACCO,76052735835.75,80245272097.75,84042070243.25,87696099181.5,87692127121,84334593382.75,82943346803.5,83373793281.25,76465351229.75,64913776173.75,61819799500,60395241646
CONSTRUCTION ENG,4275230663.5,4924224511.25,4471553952.25,4860004677,4916987963.25,4752371643.75,4698299751,5273556567.25,5346027867.75,4689160426.75,4373375322.75,3855597290.25
CHEMICALS PHARMS,5835767197.25,6428568311.5,6549103463.75,6832678439,6903885007,6533576995,6673481068.25,7986362906.5,7149790994,6198938910,5547269380,5152755747.5
DIVERSIFIED,143265967757.5,148977846132,151933523531,154836821473,155817918529,149853582867.75,142017542293.75,141704205513,125743257908,99926399332.5,90333470276,76506195770.5
FOOTWEAR TEXTILE,4874899629.75,5233953864.75,4896458514.25,4890720257,4877613375.75,4582107275.25,4554338285,4559133546,4254548561.5,3530490961.75,2579280552,2545964387
HOTELS TRAVELS,55968120116.5,52690024157.5,51205235024.5,52357908009.5,49112949281.75,48489260307.75,50308589839,52162605514.25,50050355679.5,42195246877.25,39133494810.25,36089541949.95
HEALTH CARE,16912539311.4,18557057953.4,17431982829.1,17528712823.55,17678960788.2,16681416661.2,16929576216.9,17427668139.6,16060742833.45,15437779402.1,13441821767.2,13360915270.15
INVESTMENT TRUST,5185414109.25,5223851642.75,6012982059.75,6429217793.75,6140928126.25,6128864403,6069702194,6332025352.75,6383311694.75,5210971971.75,4355137916,3992125379
IT,252986502.5,274795683.75,270433847.5,248624666.25,239900993.75,222453648.75,218091812.5,226815485,209368140,165749777.5,139578760,122131415
LAND PROPERTY,15879784443,17293355911.5,17293943367,17648648421.5,17112098098.5,15875599777.5,16196140094,17051252417,14626900893.5,12639319904,11284626188.5,10107431097
MANUFACTURING,39734978668.45,42898867221.65,42852066042.9,46142527386.8,45147371468.65,43716586546.05,45672169440.2,46650082259.9,44280404264.71,39112425189.25,37517745648.1,33628682970.3
MOTORS,11697805984.75,11948117657,12450763320.5,13783255223.75,14040748272,13262088712.75,15233744742.5,16706598230,15741154004.5,14092230194.5,13565605263.25,13176761789.75
OIL PALMS,20429401795,22470805195,22852257561.5,27452208595,24922775795,24741452860,24015245437.5,24623380170,23873704455,18642228980,14204018992,12295754012
POWER & ENERGY,13599487599.5,14080762016.2,14284293645.4,13695089334.3,13622943066.3,14200707056.45,15334418940.35,17114544351.25,16981411875,15209910068.4,13478510399.7,11289969276.55
PLANTATIONS,21237653026,26060574000.75,24619572838.5,27126551607,25898728422.5,22320614805.25,23953542027.25,23580314509,20615648417.75,14648303979.75,12023589534.5,11033593431
STORES SUPPLIES,5482798332,5377746843.45,5692331086,2745313628.2,2839616276.2,2770653345.7,3281345868.55,2595852389.05,2556309328.15,2020984662.25,1984586075.5,2226117912.85
SERVICES,1734077536,1804274303.5,1904426199.5,1836723872.75,1866858063.75,1904674232.75,1698411822.75,1820513414.5,1692800719,1535194896,1498896847,1378297980
TELECOM,205025830891.25,206819736688.75,210858763283.75,216251434878.75,198379148467.5,197718757271.25,202461991872.5,173738637056.25,140051917240,127395988835,111812640031.25,104813330430
TRADING,8610449799.5,8723002614.75,8489326718.25,8461719799.5,8258808250.5,8408730418.25,8206247079.5,9422401593,8341232816.5,6514019743,5554933706.5,4792455978
ASPI,791608723967.85,819922220577.95,827728441961.9,851626855244.6,821267309672.6,795060403708.4,801381956950.5,784047062288.8,699250362467.81,594346834895,535015515614.5,488812523578.05
MPI,467055828471.15,475932939793.65,477763052300.6,486220468988.55,460632234045.7,448943340093.95,449945027408.65,424606632364.1,364958055345.7,309294247518.85,280514534444.7,246939567641.9
