Dividend Record 1995,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
TAFL,Nt0000,THREE ACRE FARMS,1995-04-25 00:00:00,1995-05-12 00:00:00,15,FIRST & FINAL,47,46
COMB,Nt0000,COMMERCIAL BANK,1995-03-20 00:00:00,1995-05-18 00:00:00,18,FINAL,260,260
HAYL,Nt0000,HAYLEYS,1995-05-08 00:00:00,1995-05-19 00:00:00,15,INTERIM (T.F.),175,165
SAMP,Nt0000,SAMPATH,1995-04-25 00:00:00,1995-05-23 00:00:00,12.5,FINAL,46,45
UAL,Nt0000,UNION ASSURANCE,1995-04-27 00:00:00,1995-05-23 00:00:00,12.5,FINAL,47,47
COML,Nt0000,COMM. LEASING,1995-05-09 00:00:00,1995-05-29 00:00:00,15,FINAL,75,72
SEMB,Nt0000,SEYLAN MERCHANT,1995-05-11 00:00:00,1995-05-31 00:00:00,7,FIRST & FINAL,13,13.75
CFIN,Nt0000,CENTRAL FINANCE,1995-05-17 00:00:00,1995-06-02 00:00:00,10,2ND INTERIM (T.F.),195,195
VANI,Nt0000,VANIK INCORP LTD,1995-05-17 00:00:00,1995-06-02 00:00:00,8,FINAL,26,28.75
EAST,Nt0000,EAST WEST,1995-05-29 00:00:00,1995-06-14 00:00:00,15,INTERIM,22,30
ASIR,Nt0000,ASIRI,1995-06-05 00:00:00,1995-06-15 00:00:00,12.5,INTERIM,28,30
GUAR,Nt0000,CEYLON GUARDIAN,1995-06-02 00:00:00,1995-06-15 00:00:00,12.5,INTERIM (T.F.),308,300
CINV,Nt0000,CEYLON INV.,1995-06-02 00:00:00,1995-06-15 00:00:00,15,INTERIM (T.F.),230,220
UML,Nt0000,UNITED MOTORS,1995-06-02 00:00:00,1995-06-21 00:00:00,17.5,FINAL,24.75,23.75
HPP,Nt0000,HAYL. PHOTOPRINT,1995-06-13 00:00:00,1995-06-23 00:00:00,30,1ST & FINAL 11.7% T.F.,38,36
HTEC,Nt0000,HAYTECH MARKET.,1995-06-14 00:00:00,1995-06-26 00:00:00,20,1ST & FINAL (1.9% T.F.),29,28
DIMO,Nt0000,DIMO,1995-06-16 00:00:00,1995-06-28 00:00:00,30,1ST & FINAL,215,210
BHR,Nt0000,RIVERINA HOTELS,1995-06-09 00:00:00,1995-06-29 00:00:00,15,INTERIM,38,46
DFCC,Nt0000,DFCC,1995-06-21 00:00:00,1995-07-03 00:00:00,35,FINAL,497,375.25
