SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,48205,4202,102011875,38319007,2916700355,1985124601
BEV FOOD TOBACCO,17696,1372,37878652,27749562,815913827,540810344
CONSTRUCTION ENG,7113,633,14988105,5808769,244127632,90488591
CHEMICALS PHARMS,2959,112,2581407,429963,74923326,10117124
FOOTWEAR TEXTILE,3783,387,10945092,3251978,26476885,5421254
HOTELS TRAVELS,10509,593,79884628,80097267,625987765,495772776
INVESTMENT TRUST,970,45,2864110,243206,199905279,10255448
LAND PROPERTY,3841,133,14218236,980622,105011912,13082883
MANUFACTURING,34228,3417,65456875,29937471,1570575463,695340226
MOTORS,1488,113,2434727,1549590,85599218,56497580
OIL PALMS,14,0,3052,0,579950,0
STORES SUPPLIES,200,5,600179,2812,18972981,360359
SERVICES,959,12,537607,5550,23987727,384425
TRADING,1635,74,1611682,334745,53215051,8778523
PLANTATIONS,169257,4261,78286601,7542718,3020070959,281357549
DIVERSIFIED,8250,1989,14287196,12848793,2003860929,2228885130
POWER & ENERGY,0,0,0,0,0,0
HEALTH CARE,604,9,646022,5650,18452718,158725
IT,0,0,0,0,0,0
TELECOM,0,0,0,0,0,0
