Sector Market Capitalisation - Monthly 2005,,,,,,,,,,,,
SECTOR,January,February,March,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INURANCE",68032097743.25,71335487786.5,77369417490.75,81637098598.5,85512982981.75,84510338308.75,86180774883.25,92816044735.75,103785638907.75,112303872147.75,105392509532.25,91673580069.75
"BEVERAGE, FOOD & TOBACCO",36455513999.5,38084774354.75,38034066103,39443093019,41048991950.5,40847703787.75,43968910162.5,45957811497.25,57805426624.5,59496342676.5,53939411616.5,45416551004
CHEMICALS & PHARMACUETICALS,4770869588,5013775002.75,5412832241,5504219741,5399600243.5,5204822149.75,5413654690.75,5517425415.75,5540048713.25,5543741110,4886253620.75,3915976630.5
CONSTRUCTION & ENGINEERING,1783605486.25,1984414654.5,2352261918.5,2242689632.75,2234794239,2021398495.25,2017490980.5,1948513712,1995557371.5,2091190768,1797554462.5,1490737760
DIVERSIFIED HOLDINGS,104970348779.5,108260503471.75,107489043371,117050224872.5,126203338896,120706450136.25,123480922501,133695764025.75,150495810744.75,151929518026,138651362697.75,114826674734
FOOTWEAR & TEXTILES,3756721831.25,3846347961.25,3873146282.5,4104523893.75,3899898117.5,3985084106.5,4700649992.5,4907355457,5303959519,6031387535.25,4315925078.5,3497109448
HEALTH CARE,7412464417,9528474459,9743803814.5,11019154049.5,9990766785.25,9307798903,10580025289.5,11305638559.75,11970305905.5,12721741081.75,11568104867.75,9207803096.75
HOTELS & TRAVELS,52612941466.75,52926306293.75,52998688231.25,54312829139.75,55672097196.25,54290781022,58707168796,60430605269.75,64626475508,66077811181,59956884533.25,47454032818
INVESTMENT TRUSTS,5209884425,5841427502.75,5523325505.25,5630174182.5,5805590488.75,5566347083.5,5699422959.5,6365590458.25,7826129420.75,6681854091.5,6010181806.25,4230364452.25
INFORMATION TECHNOLOGY,112535375.25,104684070,157026105,193665529.5,172728715.5,167494512,175345817.25,175345817.25,257348338.75,270433847.5,235539157.5,170111613.75
LAND & PROPERTY,10332409906,11240687109.5,13031591533.75,13438769927,14569886503.25,13125759729.75,13759734766.5,14146064004.25,17635883607.5,26496134725.5,20316806301,16272895326
MANUFACTURING,30547357153.5,32964894946.25,34607761759,36330802584.5,35729369309.5,33842163304.25,34495202253.75,34889885462,38471695324.25,39573482721.75,37054500240.25,29876384034.75
MOTORS,3525376299.5,4109938288.5,5076399749.25,5487649335,5640821125.5,6002494713.5,5556584038.25,6285793175.75,7953393755.25,8199614987.5,7657491467,6244023365.75
OIL PALMS,16245393643.6,19691540931,19833329410,16839670368,22107157360.25,21345209485,20242297000,21539606955,20945733497,20879291720,19483787080,18943633660
PLANTATIONS,6600392083.94,7108486594.44,7219284178.44,7632435189.19,8619543322.44,8249853989.69,8812656836.94,8916436766.94,9741273952.94,10187520340.44,8864484378.44,7319539413.19
POWER & ENERGY,28510217511.25,26246965415,25581303033.75,27045760272.5,27578290177.5,28623775610,26596885769,22984421405,25485149766.25,24079293731.25,21800111566.25,18360002751.25
SERVICES,1348946500,1348946500,1407815861.5,1377097520,1732397520,1690597520,1771444460,1776256540,2308256540,6142800647.5,2218919235,1749567895.5
STORES & SUPPLIES,3843568145,3311859150,3485103193.25,3492811787,3398330859.5,3688660756.5,4291583655.25,4849853206.25,4782117150,2396491685,6281788852.5,5581533690
TELECOMMUNICATION,29328975000,29328975000,29328975000,29780190000,35194770000,39706920000,156716236151.5,164165669792.75,190436909531.75,192241769531.75,178567323347,151936866064.5
TRADING,6663174800,6292995365.5,6416288719.5,6942806476.5,6610466939.5,6234414901.5,6610803467.75,6943968138,7474268214.5,8224217740,7355304646.25,5872512169.5
ASPI,422062794154.54,438571484857.19,448941463501.19,469505666118.44,497121822731.44,489118068514.94,619777794471.69,649618050394.44,734841382393.19,761568510295.94,696354244486.69,584039899997.44
MPI,172801679867.75,177668002411.75,182540801258.5,228751680136,239547711574,239908808158.75,241222238118,247588352646.75,283307546722.5,301889036552.75,267724205544,222888611725.5
