Sector Trading Statistics - 2025 (January to December) ,,,,,
SECTOR,TRADES(No),SHARES(No),TURNOVER(Rs),LISTED,TRADED
Automobiles & Components,34444,17811929,1707953977,1,1
Banks,1377710,4122349741,405731270725,17,13
Capital Goods,1896878,10815470970,400886968696,30,29
Commercial & Professional Services,72491,304675715,4332099190,7,7
Consumer Durables & Apparel,398156,1830612825,44409582788,12,9
Consumer Services,737866,4899208839,71106126521,37,35
Diversified Financials,1925274,19083173640,229219090883,45,39
Energy,148602,457941827,35893558945,3,2
Food & Staples Retailing,41942,583627669,29480579326,4,3
"Food, Beverage & Tobacco",1569577,9496425956,197191456803,48,46
Health Care Equipment & Services,160996,1028865560,9987004287,9,8
Household & Personal Products,20727,73513699,1622603436,2,2
Insurance,385763,2428909457,42469397512,14,13
Materials,1073084,5643558002,157515013085,24,21
Real Estate Management & Development,545215,2276138603,67419359711,19,18
Retailing,399162,1641202402,61522882353,14,14
Software & Services,38369,191699753,2964027240,1,1
Telecommunication Services,129746,930661910,21962635938,2,2
Transportation,112173,312421082,34420278560,3,3
Utilities,454290,3378571566,46939751688,10,8
