SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,62091,7096,55117084,27726806,2781327967,2317049626
BEV FOOD TOBACCO,14956,2022,22370243,26587593,350059130,232461906
CONSTRUCTION ENG,2301,755,2674886,3754671,41769767,56694252
CHEMICALS PHARMS,1757,71,2091843,1144302,135795959,93942371
FOOTWEAR TEXTILE,7967,991,6150965,6955975,95860351,129245600
HOTELS TRAVELS,9815,841,13162599,9856317,263817696,184997071
INVESTMENT TRUST,1718,63,1173873,97465,97606551,11741992
LAND PROPERTY,10325,487,10540369,3331760,132165802,31477840
MANUFACTURING,36573,4485,31806684,17824328,1033862474,667268393
MOTORS,2298,237,2587842,1357879,118453637,60476035
OIL PALMS,28,6,24512,21450,7859403,6858400
STORES SUPPLIES,112,5,46159,4163,5172058,90875
SERVICES,211,5,46735,2100,2266935,77450
TRADING,2430,143,1844413,322229,75959196,17956760
PLANTATIONS,1,0,50,50,1000,1000
DIVERSIFIED,12019,3774,34648461,31373279,634465317,1618885176
POWER & ENERGY,0,0,0,0,0,0
HEALTH CARE,658,34,1142193,140292,37406326,4307527
IT,0,0,0,0,0,0
TELECOM,0,0,0,0,0,0
