SCRIP DIVIDEND PERIOD OF 01ST JANUARY TO 31ST DECEMBER 2012,,,,,,,
No. ,Date of Announcement ,Company Name ,Allotment Date,New Proportion,Old Proportion,No. of shares listed ,Date listed 
1,2012-02-09 00:00:00,Commercial Bank of Ceylon - Voting ,2012-04-02 00:00:00,1,56.333333,13587144,2012-04-11 00:00:00
,,                                                    - Non-voting,,1,47.222222,1108902,
2,2012-02-21 00:00:00,Hatton National Bank - Voting ,2012-03-30 00:00:00,1,54.815,5682148,2012-04-11 00:00:00
,,                                        - Non-voting,,1,34.963,2208380,
3,15-Feb-2012 ,Sampath Bank ,2012-03-30 00:00:00,1,43.0606151532,3682039,2012-04-09 00:00:00
4,30-May-2012 ,Citizens Development Business Finance ,2012-06-29 00:00:00,1 (Non Voting),22.222224 (Each Voting & Non Voting shares held),2336691,2012-07-10 00:00:00
