Dividend Records - 2002,,,,,,
Security,Rate & Remarks,Date of Announcement,Date Of Ex,Date Of Payment,Cum Price,Ex Price
ABAN-N-0,20% FIRST & FINAL,2002-10-01 00:00:00,2002-10-22 00:00:00,2002-11-01 00:00:00,33,33
AHUN-N-0,7.5% FIRST & FINAL,2002-05-16 00:00:00,2002-06-17 00:00:00,2002-06-28 00:00:00,36.25,36.25
ALLI-N-0,2 T 17.5% FIRST & FINAL,2002-09-04 00:00:00,2002-10-14 00:00:00,2002-10-31 00:00:00,52,50
AMW-N-00,12.5% INTERIM,2002-08-12 00:00:00,2002-08-29 00:00:00,2002-09-10 00:00:00,35,36.75
AMW-N-00,12.5% FINAL,2002-10-04 00:00:00,2002-12-13 00:00:00,2002-12-27 00:00:00,42,43
APDL-N-0,5% INTERIM,2002-08-06 00:00:00,2002-08-21 00:00:00,2002-09-03 00:00:00,12.75,12.75
APDL-N-0,10% FINAL,2002-09-11 00:00:00,2002-10-25 00:00:00,2002-11-07 00:00:00,16.5,15
APLA-N-0,5% FINAL DIVIDEND,2002-09-12 00:00:00,2002-10-25 00:00:00,2002-11-07 00:00:00,20.5,20
ARPI-N-0,15% FIRST & FINAL DIVI,2002-07-19 00:00:00,2002-08-13 00:00:00,2002-08-31 00:00:00,15,16.5
ASHA-N-0,7% FIRST INTERIM,2002-03-18 00:00:00,2002-04-02 00:00:00,2002-04-15 00:00:00,15.25,14.5
ASHA-N-0,3% FINAL,2002-08-28 00:00:00,2002-09-18 00:00:00,2002-10-01 00:00:00,16.75,16.75
ASIR-N-0,7.5% INTERIM DIVIDEND,2002-05-03 00:00:00,2002-05-14 00:00:00,2002-05-28 00:00:00,21.75,21
ASIR-N-0,10% FINAL,2002-10-28 00:00:00,2002-11-20 00:00:00,2002-12-02 00:00:00,19,18
ASPH-N-0,5% INTERIM,2002-02-14 00:00:00,2002-03-05 00:00:00,2002-03-15 00:00:00,38,40
ASPH-N-0,25% SECOND & FINAL,2002-09-30 00:00:00,2002-11-20 00:00:00,2002-12-02 00:00:00,38,40
AUTO-N-0,12.50%  NTERIM,2002-04-10 00:00:00,2002-04-19 00:00:00,2002-05-03 00:00:00,215,
BALA-N-0,12.5% FIRST & FINAL,2002-05-15 00:00:00,2002-07-11 00:00:00,2002-07-24 00:00:00,21.25,20
BOPL-N-0,5% FINAL DIVIDEND,2002-07-26 00:00:00,2002-07-29 00:00:00,2002-08-02 00:00:00,14.5,15
BREW-N-0,20% FIRST INTERIM ( 90,2002-06-03 00:00:00,2002-06-06 00:00:00,2002-06-18 00:00:00,66,64.5
CARG-N-0,25% INTERIM ( 13% TAX,2002-04-05 00:00:00,2002-04-19 00:00:00,2002-05-03 00:00:00,60,60
CARG-N-0,35% FINAL,2002-06-25 00:00:00,2002-07-17 00:00:00,2002-07-30 00:00:00,81,79
CARS-N-0,50% FIRST & FINAL (TAX,2002-05-20 00:00:00,2002-05-30 00:00:00,2002-06-11 00:00:00,1400,1500
CCS-N-00,AR- 15% INTERIM DIVIDEND,2002-03-01 00:00:00,2002-03-05 00:00:00,2002-03-22 00:00:00,56,57
CCS-N-00,25% FINAL,2002-05-29 00:00:00,2002-06-10 00:00:00,2002-06-27 00:00:00,80,80
CDIC-N-0,15% FINAL,2002-06-14 00:00:00,2002-07-18 00:00:00,2002-07-31 00:00:00,28,32
CFIN-N-0,5% INTERIM,2002-03-07 00:00:00,2002-03-11 00:00:00,2002-03-22 00:00:00,50.5,51
CFIN-N-0,5% SECOND INTERIM (1.5,2002-07-10 00:00:00,2002-07-18 00:00:00,2002-07-31 00:00:00,59.75,59.25
CFIN-N-0,7.5% FINAL,2002-09-04 00:00:00,2002-09-27 00:00:00,2002-10-09 00:00:00,95,95
CHMX-N-0,12% INTERIM,2002-02-19 00:00:00,2002-03-05 00:00:00,2002-03-18 00:00:00,38.5,49
CHMX-N-0,13% FINAL,2002-05-29 00:00:00,2002-06-17 00:00:00,2002-06-28 00:00:00,50.5,50
CHOU-N-0,8% FINAL (TAX FREE),2002-09-03 00:00:00,2002-10-23 00:00:00,2002-11-05 00:00:00,10,9.5
CIC-N-00,15% INTERIM,2002-02-28 00:00:00,2002-03-13 00:00:00,2002-03-25 00:00:00,70,70
CIC-N-00,25% FINAL,2002-05-23 00:00:00,2002-06-17 00:00:00,2002-06-28 00:00:00,74,60
CIC-X-00,15% INTERIM,2002-02-28 00:00:00,2002-03-13 00:00:00,2002-03-25 00:00:00,51,50
CIC-X-00,25% FINAL,2002-05-23 00:00:00,2002-06-17 00:00:00,2002-06-28 00:00:00,60,50.25
CIND-N-0,200 17.5% FIRST & FINAL,2002-09-24 00:00:00,2002-10-14 00:00:00,2002-11-06 00:00:00,37,37
CINS-N-0,20% FIRST & FINAL,2002-02-25 00:00:00,2002-03-08 00:00:00,2002-04-05 00:00:00,34.5,25
CINV-N-0,10% FIRST & FINAL,2002-05-15 00:00:00,2002-06-05 00:00:00,2002-06-17 00:00:00,51,56
CLND-N-0,10% FIRST & FINAL,2002-06-20 00:00:00,2002-07-17 00:00:00,2002-07-30 00:00:00,1.75,1.75
COCO-N-0,S I 10% FINAL,2002-12-16 00:00:00,2002-12-17 00:00:00,2002-12-26 00:00:00,20.5,20.5
COLO-N-0,7% FIRST & FINAL,2002-09-26 00:00:00,2002-11-05 00:00:00,2002-11-15 00:00:00,11,10.25
COMB-N-0,31% FINAL,2002-01-29 00:00:00,2002-03-15 00:00:00,2002-03-27 00:00:00,150,148
COMB-N-0,18% INTERM TAX FREE DI,2002-12-02 00:00:00,2002-12-10 00:00:00,2002-12-23 00:00:00,200,200
COMB-X-0,31% FINAL,2002-01-29 00:00:00,2002-03-15 00:00:00,2002-03-27 00:00:00,94,91
COMB-X-0,18% INTERM TAX FREE DI,2002-12-02 00:00:00,2002-12-10 00:00:00,2002-12-23 00:00:00,144.75,143.5
COMD-N-0,16% FINAL,2002-05-15 00:00:00,2002-06-13 00:00:00,2002-06-26 00:00:00,16,15
COML-N-0,15% INTERIM,2002-01-31 00:00:00,2002-02-07 00:00:00,2002-02-19 00:00:00,22,22
COML-N-0,20% FINAL,2002-04-02 00:00:00,2002-04-11 00:00:00,2002-04-25 00:00:00,24,21
COML-N-0,15% INTERIM,2002-12-12 00:00:00,2002-12-17 00:00:00,2002-12-31 00:00:00,41,40
COXY-N-0,50% FIRST & FINAL,2002-03-08 00:00:00,2002-04-23 00:00:00,2002-05-15 00:00:00,79.5,79
CPRT-N-0,25% FINAL,2002-10-25 00:00:00,2002-11-21 00:00:00,2002-12-03 00:00:00,90,
CSEC-N-0,5% FIRST & FINAL,2002-09-16 00:00:00,2002-10-24 00:00:00,2002-11-06 00:00:00,15,14.5
CTCE-N-0,60% F/F DIVIDEND(BY IS,2002-02-08 00:00:00,2002-03-07 00:00:00,2002-03-19 00:00:00,53.5,51
CTC-N-00,12% FINAL,2002-02-05 00:00:00,2002-03-15 00:00:00,2002-03-27 00:00:00,29.75,28
CTC-N-00,15% FIRST INTERIM,2002-07-04 00:00:00,2002-07-16 00:00:00,2002-07-29 00:00:00,37.5,36
CTC-N-00,15% SECOND INTERIM,2002-10-08 00:00:00,2002-10-16 00:00:00,2002-10-28 00:00:00,43.5,43
CTEA-N-0,20% INTERIM,2002-06-04 00:00:00,2002-06-06 00:00:00,2002-06-18 00:00:00,100,100
CTEA-N-0,15% FINAL,2002-08-28 00:00:00,2002-09-17 00:00:00,2002-09-30 00:00:00,106,106
CTHR-N-0,75% INTERIM,2002-04-05 00:00:00,2002-04-19 00:00:00,2002-05-03 00:00:00,420,420
CTHR-N-0,70% 2ND INTERIM (TAX F,2002-08-28 00:00:00,2002-09-04 00:00:00,2002-09-16 00:00:00,420,420
CTLD-N-0,2.5% INTERIM,2002-04-05 00:00:00,2002-04-22 00:00:00,2002-05-04 00:00:00,7.25,7
