Sector Trading Statistics Monthly 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",31587,186023003,5323148050,33,32,47681,301430938,7600533672,33,32,32228,161761807,10971446493,33,32,35968,139547745,5904028642,33,32,43760,188972515,10904198769,34,33,98556,540329613,17372953987,35,34,67912,751014809,13623051630,35,34,76151,410934962,12362802643,35,34,158042,581387689,27168980814,35,34,79753,330343792,33257277542,36,35,48610,534527268,8680247754,36,35,67737,624252874,15414917813,36,35
"Beverage, Food & Tobacco",15971,98170424,1696229074,19,18,8535,25636825,995397970,19,18,6793,26614817,1264339528,19,18,16942,99935316,1518943321,20,19,11860,72498650,1624636512,20,19,12702,68196141,2573757603,20,19,8444,43415090,2671800653,20,19,13426,39793336,3288160988,20,19,34386,115942533,6597031720,20,19,21509,72422830,4991367843,20,19,12636,78651456,3906377757,20,19,24219,52416095,3760952874,20,19
Construction & Engineering,4272,2483030,469382156,3,3,2632,2254269,253833557,3,3,1214,892230,196361802,3,3,1354,2382822,204960964,3,3,2005,3357250,428976428,3,3,3727,13736700,2440683490,3,3,1063,1325849,74490939,3,3,994,1131731,110956123,3,3,2496,2677522,279221527,3,3,2392,10028026,2678788723,3,3,829,1722006,486878249,3,3,3863,736629,119369612,3,3
Chemicals & Pharmaceuticals,4906,8599848,571857205,9,8,7219,30286549,899389976,9,9,3795,23207853,451015413,9,8,3448,11396867,331344562,9,9,3416,9252654,403024410,9,9,4370,16541707,597057036,9,9,8555,281082023,1220576673,9,9,6235,64756712,702893064,9,9,11776,55019332,1850120874,9,9,7141,57254010,751699050,9,9,3775,24980510,513981946,9,8,4086,28163065,501976031,9,9
Footwear & Textiles,5689,6272239,545899704,3,3,2646,2180995,158456311,3,3,1257,1320568,84737484,3,3,2903,2610950,272377544,3,3,8312,10084249,1422490643,3,3,9229,8441314,1064727439,3,3,3469,2715221,462551765,3,3,25669,31695548,1571578687,4,4,10727,17500561,756797779,4,4,10907,10608923,464550401,4,4,3506,3077335,126007521,4,4,5593,6932255,311450251,4,4
Hotels & Travels,21047,55209497,1885212906,32,32,16950,53831700,1225767686,32,32,43754,202588189,5795277509,32,32,46538,238613727,5463404119,32,32,23605,141199723,4903100758,32,31,19319,86191350,3880112133,32,31,40942,352382014,4718599812,32,32,43153,167278922,5500541615,32,32,57584,277506525,6833671166,32,32,28433,94195894,2743208807,32,32,13296,68087406,1861552483,32,31,16816,19330202,913577466,32,32
Investment Trusts,1900,1366213,131951426,8,8,39212,14150546,2490644707,9,9,19091,13105428,1235061829,9,9,13955,5240679,419727784,9,9,24913,18707918,823103154,9,9,17463,8911544,461159940,9,9,61046,36206588,3462582093,9,9,44708,31888381,3784679537,9,9,22177,18341467,1463768906,9,9,18079,10801869,883280348,9,9,14165,7933839,628220866,9,9,9947,9422026,738086657,9,9
Land & Property,19166,55956405,1436385838,18,17,20815,43045172,1814638155,18,17,12686,43206746,688520105,18,17,17688,74486730,1393078803,18,16,14832,33392292,841665702,18,17,33502,125180985,2382908426,18,17,30807,91672327,2159651415,18,17,33703,106624121,3042782804,18,18,44168,135494536,3269895389,18,17,19405,37121176,918813664,18,17,11081,16434974,415921838,18,17,11916,18986472,506225952,18,17
Manufacturing,19469,67985455,1570994061,33,33,29886,154647683,2758736944,33,32,19676,77330818,1918997815,33,33,22948,107989115,2219604090,33,33,24080,156792196,1976026669,33,33,55343,267425266,5995269809,33,33,82098,813629738,9489761534,33,33,56489,377150939,6229348324,33,33,67960,368294107,8033121210,33,33,31005,175763132,12369103113,33,33,25477,173555279,2542195862,33,32,49626,298266487,5372595242,33,33
Motors,891,483654,64686292,6,6,3130,3648031,332972873,6,6,1076,1156652,256595878,6,6,419,273788,54694383,6,6,1230,1168390,154439755,6,6,2628,2088174,602273073,6,6,1029,593811,224734588,6,6,2274,2668543,585969250,6,6,1577,753071,232618450,6,6,2577,2032581,1259374389,6,6,826,359824,208976946,6,6,896,464524,176775396,6,6
Oil Palms,619,49492,104958329,5,5,369,30648,86069525,5,4,303,176322,88096088,5,5,346,16039,57147133,5,4,692,41059,78505040,5,5,578,184475,170790073,5,5,582,51435,133278547,5,5,1238,100973,330027290,5,5,409,50302,209921484,5,5,559,39829,291220891,5,5,781,53728,423785043,5,5,939,94912,173757954,5,5
Stores & Supplies,42,7271,922253,4,4,182,42017,10864574,4,4,419,109871,9852458,4,4,164,90014,6749423,4,4,187,45264,11075629,4,4,56,8334,3056293,4,4,279,145198,25998180,4,4,132,26709,9012708,4,4,916,1117907,843296924,4,4,1055,216554,55827002,4,4,482,89714,23665137,4,4,128,23427,7087700,4,4
Services,197,118495,20113025,6,5,146,88674,15669500,6,5,5793,23670400,131485273,7,6,1183,3989675,29197585,7,6,1159,5955617,43109306,7,5,728,1622992,28867119,7,6,1251,3714609,74201010,7,7,976,1973302,39548016,7,5,1499,5955865,96673192,7,5,2267,8737730,121525916,7,5,777,2716609,22168885,7,6,1167,4460200,30311427,7,7
Trading,27057,47410115,2294299867,9,8,8082,32169162,1061358433,8,8,3335,9739501,311333751,8,7,4389,41516962,320859975,8,7,4570,29958741,494997457,8,7,7743,62293703,957335570,8,7,10234,109998556,788128327,8,7,6636,22183392,835220613,8,7,13331,77862675,1711282704,8,7,8863,24833179,1879508986,8,7,3143,19044037,590224166,8,7,5250,40190119,616469517,8,8
Plantation,9045,13666298,402742499,18,18,16216,24644080,818843749,18,18,5726,6287431,226888046,18,18,14621,22052451,944632203,18,18,6923,16234178,640857254,18,18,7737,15783815,708106719,18,18,15638,22343692,987882622,18,18,8404,11212671,671805915,18,18,26197,34988675,2253083439,18,18,9338,11266883,602135222,18,18,5563,5104618,282616766,18,18,13519,20541384,865399095,18,18
Diversified,14316,90766392,9215619191,11,11,22553,127065277,4373730831,11,11,10366,55875376,6517593743,11,11,17296,56375014,5609671192,11,11,11035,40027613,5620248713,11,11,16631,64928094,9771551163,11,11,18716,80133908,7630066292,11,11,18928,68522668,9676614350,11,11,38160,109534687,19807532284,11,11,36844,156364269,22853705201,11,11,19001,90237755,7870534610,11,11,13164,69976301,7807351534,11,11
Power & Energy,2359,8433303,99692338,4,4,2835,11161347,157054391,4,4,1969,6611976,80440066,4,4,2630,8824690,120619249,4,4,4385,18517594,233630649,4,4,5421,19449910,297281288,4,4,8580,30699395,601327799,4,4,3622,17938424,187071280,4,4,15809,114921418,1409562529,4,4,7126,52915177,649147229,4,4,9760,37049964,557879979,5,5,33943,97582495,2095746151,6,6
Healthcare,2200,13705256,78061648,6,6,4931,91084251,375917261,6,6,2913,34056131,180696706,6,6,4586,94286694,440828404,6,6,12366,221387526,1395864920,6,6,7164,74976459,579961878,6,6,13928,86630861,1033048376,6,6,7479,65205383,574709503,6,6,10108,83030728,831723612,6,6,9757,162906446,1548373104,6,6,2354,105513223,913496181,6,6,2669,52190382,1182339691,6,6
Information Technology,574,1455087,15563570,1,1,858,2148207,23650710,1,1,242,414100,4485900,1,1,1170,3418400,43373475,1,1,6335,24161116,471059236,1,1,612,1083228,22708030,1,1,1217,2564282,55575486,1,1,6486,16401933,203664950,2,2,5065,16204958,162198694,2,2,2593,19530885,215076036,2,2,986,2173336,25196279,2,2,5523,17250611,230619331,2,2
