Bonus Issues 1993,,,
Company,Ratio,Par Value (Rs.),No. of Shares
,,,Offered
1) Asiri Hospitals ,1 for 6,Data n.a. ,862327
2) Central  Finance,1 for 2,Data n.a. ,1015000
3) Richard Pieris,1 for 1,Data n.a. ,2086602
4) ACL,2 for 1,Data n.a. ,1866816
5) Ceylinco Insurance,1 for 11,Data n.a. ,700000
6) Colombo Pharmacy,10 for 1,Data n.a. ,675000
7) Lake House Investment,1 for 2,Data n.a. ,354842
8) Merchant Bank,2 for 5,Data n.a. ,8000000
9) Ceylon Tea,2 for 3,Data n.a. ,2000000
10) Reckitt & Colmans,1 for 2,Data n.a. ,2187000
11) Asian Hotels,1 for 2,Data n.a. ,14663005
12) Seylan Bank,1 for 4,Data n.a. ,6000000
13) Central Securities,1 for 3,Data n.a. ,819980
14) W M Mendis,1 for 6,Data n.a. ,984168
15) Hayleys,4 for 26,Data n.a. ,2000000
16) Colonial Motors,1 for 2,Data n.a. ,180000
17) Distilleries,1 for 1,Data n.a. ,150000000
18) HNB,1 for 1,Data n.a. ,6000000
19) Arpico Finance,1 for 3,Data n.a. ,150000
Value (Rs.),651172400,,
Issues (No.),19,,
Bonus Issues - by Sector 1993,,,
Sector,No of Issues,No of Shares,
"Banks, Finance & Insurance",6,Data n.a. ,
"Beverage, Food & Tobacco",3,Data n.a. ,
Chemical & Pharmaceuticals,1,Data n.a. ,
Hotels & Travels,1,Data n.a. ,
Investment Trust,1,Data n.a. ,
Manufacturing,2,Data n.a. ,
Motors,1,Data n.a. ,
Services,1,Data n.a. ,
Stores & Supplies,1,Data n.a. ,
Trading,2,Data n.a. ,
Total,19,Data n.a. ,
