Sector Trading Statistics Monthly 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",6923,21163917,437422922,31,30,12185,39797812,845295890,31,30,33456,142743770,3086276039,31,30,19512,69651672,1682559104,32,30,28498,90341222,2518196849,32,31,11070,31364286,1354370962,32,31,8183,28955117,776943393,33,31,20016,164811567,3576962785,33,30,22476,73275141,3551869395,32,30,18128,56505918,2778909073,32,30,22189,101062972,4121635346,32,31,12089,29174849,1151453013,32,31
"Beverage, Food & Tobacco",1740,12691531,397052495,17,19,2560,8297411,232273497,17,17,3351,12113037,375122419,17,17,2859,8955548,291832138,17,17,6547,15581331,433354442,17,17,2036,4477968,159186696,17,18,3541,11340727,309285988,18,18,6557,22040455,658374520,18,18,6808,18451231,742164342,18,18,7568,21290578,754785003,18,18,4608,12230735,520111967,18,18,3039,5748919,204784406,18,18
Construction & Engineering,2188,3958478,64511611,4,4,4091,9769472,272647811,4,4,3771,9731178,354470126,4,4,1387,1585210,50328294,4,4,1818,4248817,126051694,4,4,901,1028895,23807591,4,4,361,366873,8573295,4,4,486,632279,14657885,4,4,1361,2001933,40318145,4,4,1631,2910844,67342162,4,4,720,995579,22107012,4,4,626,763483,13104546,4,4
Chemicals & Pharmaceuticals,793,807797,33911529,10,8,1721,3998453,73044396,10,9,1107,1819209,60951481,10,9,452,490745,36159386,10,8,716,1172152,49858692,10,8,396,375054,19164152,10,8,294,212767,15960524,10,8,727,745196,51961374,10,8,685,913413,85929441,9,8,968,820676,55668711,9,8,812,503865,51799615,9,8,524,303425,15732807,9,8
Footwear & Textiles,466,995561,28404201,5,5,1572,4517798,89146927,5,5,6004,19968957,323827693,5,5,7913,26324664,900566902,5,5,4713,11377464,317231709,5,5,1403,2072614,61272873,5,5,984,1775559,59169741,5,5,1089,1583404,49807124,5,5,1412,1976275,47766577,4,5,4156,6080979,240514921,4,4,2886,9551115,406963018,4,4,1161,1165843,28118708,4,4
Hotels & Travels,4561,15135231,392183262,37,32,4957,22168013,495485542,37,35,6965,19479680,581053071,37,36,4077,15905734,492482490,37,32,8597,21913831,548459570,37,30,3745,9565911,237913907,37,34,7357,30244628,1278347621,33,31,13199,97189168,1568085333,33,32,6268,19100271,418923514,33,33,5740,11108001,394940805,33,32,5668,20105954,407927775,33,33,4282,16032755,361097808,33,33
Investment Trusts,767,376232,39963589,7,6,2020,648124,95005230,7,6,1965,694928,62906537,7,6,782,356428,18284459,7,6,1142,582703,58004547,7,5,1072,352734,29894882,7,5,625,253928,25275310,7,6,1231,594667,61750818,7,6,1519,731812,73188519,7,6,984,556381,65920567,6,6,1359,1411298,229257257,6,6,909,462330,35288833,6,6
Land & Property,3116,10425497,517554692,20,18,6774,22331546,265147476,21,18,23230,117216830,1430783486,21,17,9481,24856818,489363529,21,17,15153,34438993,751648230,21,17,4624,8348712,131115202,21,18,2843,5068980,78223155,21,18,3800,7997296,110998896,21,18,16098,26451982,925300953,21,18,21967,38998796,1176455458,21,18,12275,19607071,465980695,21,18,12902,12059960,328653048,21,17
Manufacturing,12748,69409433,1250168821,33,32,15298,108952366,1017776164,33,33,31605,266095487,2581428851,33,32,16620,67601923,2020830604,33,32,21678,132803160,1666727375,33,32,8412,32346697,487660541,33,33,5674,26354738,329721604,33,31,18417,106060981,1352896702,33,31,21382,81113795,1631893396,33,33,18301,68606912,1163963177,33,33,23668,113866349,924671692,34,32,15441,65300705,494698557,34,32
