Foreign Holding as at 30th December 2018,,,,
COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
CTHR,N,0000,C T HOLDINGS PLC,31497669
CTLD,N,0000,C T LAND DEVELOPMENT PLC,1235043
CWM,N,0000,C. W. MACKIE PLC,421104
DFCC,N,0000,DFCC BANK PLC,63309690
DIAL,N,0000,DIALOG AXIATA PLC,7661172287
DIMO,N,0000,DIESEL & MOTOR ENGINEERING PLC,76609
DIPD,N,0000,DIPPED PRODUCTS PLC,5294254
DIST,N,0000,DISTILLERIES COMPANY OF SRI LANKA PLC,75724644
DOCK,N,0000,COLOMBO DOCKYARD PLC,38033257
DPL,N,0000,DANKOTUWA PORCELAIN PLC,6402646
EAST,N,0000,EAST WEST PROPERTIES PLC,39647059
EBCR,N,0000,E B CREASY & COMPANY PLC,10385
ECL,N,0000,E - CHANNELLING PLC,1144991
EDEN,N,0000,EDEN HOTEL LANKA PLC,499364
ELPL,N,0000,ELPITIYA PLANTATIONS PLC,1170723
EMER,N,0000,EASTERN MERCHANTS PLC,12645520
ESL,N,0000,ENTRUST SECURITIES PLC,21500
ETWO,N,0000,EQUITY TWO PLC,123782
EXPO,N,0000,EXPOLANKA HOLDINGS PLC,1598705051
FLCH,N,0000,BROWNS CAPITAL PLC,9999693
GEST,N,0000,GESTETNER OF CEYLON PLC,1233111
GHLL,N,0000,GALADARI HOTELS (LANKA) PLC,405105931
GLAS,N,0000,PIRAMAL GLASS CEYLON PLC,591497228
GOOD,N,0000,GOOD HOPE PLC,3533204
GRAN,N,0000,CEYLON GRAIN ELEVATORS PLC,36793988
GREG,N,0000,AMBEON HOLDINGS PLC,3657128
GSF,N,0000,PRIME FINANCE PLC,18914
GUAR,N,0000,CEYLON GUARDIAN INVESTMENT TRUST PLC,5938562
HAPU,N,0000,HAPUGASTENNE PLANTATIONS PLC,10927916
HARI,N,0000,HARISCHANDRA MILLS PLC,20771
HASU,N,0000,HNB ASSURANCE PLC,958012
HAYC,N,0000,HAYCARB PLC,1783033
HAYL,N,0000,HAYLEYS PLC,2379230
HDEV,N,0000,HOTEL DEVELOPERS (LANKA) PLC,6114316
HDFC,N,0000,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,9477493
HEXP,N,0000,HAYLEYS FIBRE PLC,14620
HHL,N,0000,HEMAS HOLDINGS PLC,170010380
HNB,X,0000,HATTON NATIONAL BANK PLC,45811208
HNB,N,0000,HATTON NATIONAL BANK PLC,140714780
HOPL,N,0000,HORANA PLANTATIONS PLC,370250
HPFL,N,0000,LOTUS HYDRO POWER PLC,19514
HPL,N,0000,HATTON PLANTATIONS PLC,1953224
HPWR,N,0000,RESUS ENERGY PLC,336089
HSIG,N,0000,HOTEL SIGIRIYA PLC,139888
HUEJ,N,0000,HUEJAY INTERNATIONAL INVESTMENTS PLC,701
HUNA,N,0000,HUNAS FALLS HOTELS PLC,4503
HUNT,N,0000,HUNTER & COMPANY PLC,4509567
HVA,N,0000,HVA FOODS PLC,448944
IDL,N,0000,SERENDIB ENGINEERING GROUP PLC,28864823
INDO,N,0000,INDO-MALAY PLC,4207286
JETS,N,0000,JETWING SYMPHONY PLC,6856605
JINS,N,0000,JANASHAKTHI INSURANCE PLC,1073648
JKH,N,0000,JOHN KEELLS HOLDINGS PLC,670016280
JKL,N,0000,JOHN KEELLS PLC,209191
KAHA,N,0000,KAHAWATTE  PLANTATIONS  PLC,66810
KAPI,N,0000,MTD WALKERS PLC,153943734
KCAB,N,0000,KELANI CABLES PLC,965635
KDL,N,0000,KELSEY DEVELOPMENTS PLC,358431
KFP,N,0000,KEELLS FOOD PRODUCTS PLC,256780
KGAL,N,0000,KEGALLE  PLANTATIONS  PLC,865435
KHC,N,0000,THE KANDY HOTELS COMPANY (1938) PLC,110131900
KHL,N,0000,JOHN KEELLS HOTELS PLC,11170660
KOTA,N,0000,KOTAGALA PLANTATIONS PLC,1405488
KVAL,N,0000,KELANI VALLEY PLANTATIONS PLC,573856
KZOO,N,0000,RENUKA CAPITAL PLC,584689
LALU,N,0000,LANKA ALUMINIUM INDUSTRIES PLC,7754698
LAMB,N,0000,KOTMALE HOLDINGS PLC,2205
LCEM,N,0000,LANKA CEMENT PLC,458255
LCEY,N,0000,LANKEM CEYLON PLC,51902
LDEV,N,0000,LANKEM DEVELOPMENTS PLC,6685717
LFIN,N,0000,LB FINANCE PLC,4566412
LGL,N,0000,LAUGFS GAS PLC,373990
LGL,X,0000,LAUGFS GAS PLC,5563826
LHCL,N,0000,THE LANKA HOSPITALS CORPORATION PLC,64963172
LHL,N,0000,THE  LIGHTHOUSE  HOTEL  PLC,108253
LIOC,N,0000,LANKA IOC PLC,418328196
LION,N,0000,LION BREWERY (CEYLON) PLC,29677305
LITE,N,0000,LAXAPANA BATTERIES PLC,36699
LLMP,N,0000,LUCKY LANKA MILK PROCESSING COMPANY PLC,17300
LLMP,X,0000,LUCKY LANKA MILK PROCESSING COMPANY PLC,1401111
LLUB,N,0000,CHEVRON LUBRICANTS  LANKA  PLC,53145304
LMF,N,0000,LANKA MILK FOODS (CWE) PLC,6166568
LOFC,N,0000,LOLC FINANCE PLC,4145415
LOLC,N,0000,L O L C HOLDINGS PLC,24489344
LPRT,N,0000,LAKE HOUSE PRINTERS & PUBLISHERS PLC,7431
LVEF,N,0000,L V L ENERGY FUND PLC,3583751
LVEN,N,0000,LANKA VENTURES PLC,1024811
LWL,N,0000,LANKA WALLTILE PLC,614410
MADU,N,0000,MADULSIMA  PLANTATIONS  PLC,380299
MAL,X,0000,MALWATTE VALLEY PLANTATION PLC,164691
MAL,N,0000,MALWATTE VALLEY PLANTATION PLC,3202441
MARA,N,0000,MARAWILA  RESORTS  PLC,98695
MASK,N,0000,MASKELIYA PLANTATIONS PLC,148490
MBSL,N,0000,MERCHANT BANK OF SRI LANKA & FINANCE PLC,1146233
MEL,N,0000,MACKWOODS ENERGY PLC,3218111
MELS,N,0000,MELSTACORP PLC,304525767
MERC,N,0000,MERCANTILE INVESTMENTS AND FINANCE PLC,10
MFL,N,0000, MULTI FINANCE  PLC,7600
MGT,N,0000,HAYLEYS FABRIC PLC,2667122
MHDL,N,0000,MILLENNIUM HOUSING DEVELOPERS PLC,39830701
MIRA,N,0000,MIRAMAR BEACH HOTELS PLC,120
MORI,X,0000,MORISON PLC,1921
MORI,N,0000,MORISON PLC,34034
MRH,N,0000,MAHAWELI REACH HOTELS PLC,33301556
MSL,N,0000,MERCANTILE SHIPPING COMPANY PLC,1393820
MULL,N,0000,MULLER & PHIPPS (CEYLON) PLC,271800
NAMU,N,0000,NAMUNUKULA PLANTATIONS PLC,609831
NDB,N,0000,NATIONAL DEVELOPMENT BANK PLC,31039019
NEH,N,0000,THE NUWARA ELIYA HOTELS COMPANY PLC,29030
NEST,N,0000,NESTLE LANKA PLC,51015626
NHL,N,0000,NAWALOKA HOSPITALS PLC,3381259
NIFL,N,0000,L O L C DEVELOPMENT FINANCE PLC,12
NTB,X,0000,NATIONS TRUST BANK PLC,7937090
NTB,N,0000,NATIONS TRUST BANK PLC,59542684
ODEL,N,0000,ODEL PLC,245732
OFEQ,N,0000,OFFICE EQUIPMENT PLC,117145
OGL,N,0000,ORIENT GARMENTS PLC,36440
ONAL,N,0000,ON'ALLY HOLDINGS PLC,44066
OSEA,N,0000,OVERSEAS REALTY (CEYLON) PLC,1144502371
PABC,N,0000,PAN ASIA BANKING CORPORATION PLC,77706462
PALM,N,0000,PALM GARDEN HOTELS PLC,25096
PAP,N,0000,PANASIAN POWER PLC,1921650
PARA,N,0000,PARAGON CEYLON PLC,138080
PARQ,N,0000,SWISSTEK (CEYLON) PLC,620477
PCH,N,0000,PC HOUSE PLC,1875432
PCHH,N,0000,ADAM CAPITAL PLC,485250
PCP,N,0000,PC PHARMA PLC,35300
PDL,N,0000,PROPERTY DEVELOPMENT PLC,43371
PEG,N,0000,PEGASUS HOTELS OF CEYLON PLC,103761
PHAR,N,0000,COLOMBO CITY HOLDINGS PLC,28016
PINS,N,0000,PEOPLE'S INSURANCE PLC,2398208
PLC,N,0000,PEOPLE'S LEASING & FINANCE PLC,102772526
PMB,N,0000,PEOPLE`S MERCHANT FINANCE  PLC,418848
RAL,N,0000,RENUKA AGRI FOODS PLC,32648355
RCH,N,0000,RENUKA HOTELS PLC,176557
RCL,N,0000,ROYAL CERAMICS LANKA PLC,12313234
REEF,N,0000,CITRUS LEISURE PLC,308902
REG,N,0000,REGNIS (LANKA) PLC,375918
RENU,N,0000,RENUKA CITY HOTELS PLC.,31253
REXP,N,0000,RICHARD PIERIS EXPORTS PLC,122976
RFL,N,0000,RAMBODA FALLS PLC,355060
RGEM,N,0000,RADIANT GEMS INTERNATIONAL PLC,3703
RHL,X,0000,RENUKA HOLDINGS PLC,1427641
RHL,N,0000,RENUKA HOLDINGS PLC,10059062
RHTL,N,0000,THE FORTRESS RESORTS PLC,208746
RICH,N,0000,RICHARD PIERIS AND COMPANY PLC,1506654543
RIL,N,0000,R I L PROPERTY PLC,244091291
RPBH,N,0000,ROYAL PALMS BEACH HOTELS PLC,2708320
RWSL,N,0000,RAIGAM WAYAMBA SALTERNS PLC,5944823
SAMP,N,0000,SAMPATH BANK PLC,64167277
SCAP,N,0000,SOFTLOGIC CAPITAL PLC,7083961
SDB,N,0000,SANASA DEVELOPMENT BANK PLC,12615193
SELI,N,0000,SELINSING PLC,5433712
SEMB,X,0000,S M B LEASING PLC,62753410
SEMB,N,0000,S M B LEASING PLC,114889506
SERV,N,0000,THE KINGSBURY PLC,331813
SEYB,N,0000,SEYLAN BANK PLC,3495505
SEYB,X,0000,SEYLAN BANK PLC,13372122
SFCL,N,0000,SENKADAGALA FINANCE COMPANY PLC,5954393
SFIN,N,0000,SINGER FINANCE LANKA PLC,359180
SFL,P,0000,SINHAPUTHRA FINANCE PLC,5000
SFL,N,0000,SINHAPUTHRA FINANCE PLC,1125340
SFS,N,0000,SWARNAMAHAL FINANCIAL SERVICES PLC,5793841
SHAL,N,0000,SHALIMAR (MALAY) PLC.,4491864
SHAW,N,0000,LEE HEDGES PLC,14565853
SHL,N,0000,SOFTLOGIC HOLDINGS PLC,383692999
SHOT,X,0000,SERENDIB HOTELS PLC,192926
SHOT,N,0000,SERENDIB HOTELS PLC,4213742
SIGV,N,0000,SIGIRIYA VILLAGE HOTELS PLC,40835
SIL,N,0000,SAMSON INTERNATIONAL PLC,391
SING,N,0000,STANDARD CAPITAL PLC,3841383
SINH,N,0000,SINGHE HOSPITALS PLC,2200
SINI,N,0000,SINGER INDUSTRIES (CEYLON) PLC,3672
SINS,N,0000,SINGER (SRI LANKA) PLC,392547
SIRA,N,0000,SIERRA CABLES PLC,5276445
SLND,N,0000,SERENDIB LAND PLC,102
SLTL,N,0000,SRI LANKA TELECOM PLC,812267015
SMOT,N,0000,SATHOSA MOTORS PLC,3303
SOY,N,0000,CONVENIENCE FOODS LANKA PLC,80417
SPEN,N,0000,AITKEN SPENCE PLC,96637807
STAF,N,0000,DOLPHIN HOTELS PLC,332920
SUGA,N,0000,PELWATTE SUGAR INDUSTRIES PLC,985512
SUN,N,0000,SUNSHINE HOLDINGS PLC,55940759
SWAD,N,0000,SWADESHI INDUSTRIAL WORKS  PLC,401
TAFL,N,0000,THREE ACRE FARMS PLC,5317194
TAJ,N,0000,TAL LANKA HOTELS PLC,116193477
TANG,N,0000,TANGERINE BEACH HOTELS PLC,59775
TAP,N,0000,AMBEON CAPITAL PLC,369299
TESS,X,0000,TESS AGRO PLC,671923
TESS,N,0000,TESS AGRO PLC,4644034
TFC,N,0000,THE FINANCE COMPANY PLC,41709
TFC,X,0000,THE FINANCE COMPANY PLC,2264817
TFIL,N,0000,TRADE FINANCE AND INVESTMENTS PLC,25115
TILE,N,0000,LANKA TILES PLC,5642509
TJL,N,0000,TEEJAY LANKA PLC,326224422
TKYO,N,0000,TOKYO CEMENT COMPANY (LANKA) PLC,57000294
TKYO,X,0000,TOKYO CEMENT COMPANY (LANKA) PLC,58469627
TPL,N,0000,TALAWAKELLE TEA ESTATES PLC,455582
TRAN,N,0000,TRANS ASIA HOTELS PLC,81913
TSML,N,0000,TEA SMALLHOLDER FACTORIES PLC,19607
TWOD,N,0000,TOUCHWOOD INVESTMENTS PLC,3324446
TYRE,N,0000,KELANI TYRES PLC,2488249
UAL,N,0000,UNION ASSURANCE PLC,467582
UBC,N,0000,UNION BANK OF COLOMBO PLC,861029506
UCAR,N,0000,UNION CHEMICALS LANKA PLC,74
UDPL,N,0000,UDAPUSSELLAWA  PLANTATIONS PLC,3780642
UML,N,0000,UNITED MOTORS LANKA PLC,804757
VANI,X,0000,VANIK INCORPORATION PLC,2864777
VANI,N,0000,VANIK INCORPORATION PLC,3961944
VFIN,N,0000,VALLIBEL FINANCE PLC,1179083
VLL,N,0000,VIDULLANKA PLC,303658847
VONE,N,0000,VALLIBEL ONE PLC,9147370
VPEL,N,0000,VALLIBEL POWER ERATHNA PLC,8989313
WAPO,N,0000,GUARDIAN CAPITAL PARTNERS PLC,327557
WATA,N,0000,WATAWALA  PLANTATIONS  PLC,1832124
YORK,N,0000,YORK ARCADE HOLDINGS PLC,4102
WATA,N,0001,WATAWALA  PLANTATIONS  PLC,1843475
YORK,N,0002,YORK ARCADE HOLDINGS PLC,4102
