Rights Issues 2021 (January to December),,,,,,,,,,
No.,Date of Initial Announcement,Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,43472,Eden Hotel Lanka PLC ,2020-11-26 00:00:00,422400000,10,422400000,4224000000,4224000000,4:1,2021-01-07 00:00:00
2,43836,Laxapana Bateries PLC ,2021-02-10 00:00:00,36000000,15,27224939,540000000,408374085,12:13,2021-03-24 00:00:00
3,43849,People's Merchant Finance PLC ,2021-02-18 00:00:00,115981250,7,115981250,811868750,811868750,11:20,2021-03-30 00:00:00
4,2020-01-07 00:00:00,Senkadagala Finance PLC,2021-03-29 00:00:00,5176790,70,5176790,362375300,362375300,1:14,2021-04-28 00:00:00
5,2020-02-19 00:00:00,NDB Bank PLC,2021-04-09 00:00:00,106780489,75,106780489,8008536675,8008536675,.459:1,2021-05-28 00:00:00
6,2020-02-10 00:00:00,Lankem Ceyon PLC,2021-04-28 00:00:00,33853200,20,17617557,677064000,352351140,1:1,2021-06-22 00:00:00
7,2020-06-02 00:00:00,Vidullanka PLC (Non- Voting)- 1st time listing ,2021-05-05 00:00:00,72394086,3.5,72394086,253379301,253379301,1:11.72,2021-06-17 00:00:00
8,2020-06-23 00:00:00,SMB Leasing (Voting),2021-05-07 00:00:00,5958833860,0.35,5278608276,2085591851,1847512896.6,5:1,2021-07-09 00:00:00
9,,SMB Leasing (Non- Voting),2021-05-07 00:00:00,3070330505,0.12,2467537611,368439660.6,296104513.32,5:1,2021-07-09 00:00:00
10,,Asia Asset Finance PLC- (Converted to Preference Shares),2021-07-08 00:00:00,41398511,10,41398511,413985110,413985110,1:3,2021-08-20 00:00:00
11,,Associate Motor Finance Company PLC ,2021-07-14 00:00:00,3497755,143,3497755,500178965,500178965,10:17,2021-08-19 00:00:00
12,,Softlogic Finance PLC ,2021-07-14 00:00:00,223966774,10,223966774,2239667740,2239667740,5:6,2021-08-26 00:00:00
13,,Kotagala Plantations PLC ,2021-07-19 00:00:00,263287500,3,263287500,789862500,789862500,7:2,2021-09-06 00:00:00
14,,Merchant Bank of Sri Lanka and Finance PLC,2021-08-23 00:00:00,373217717,6,358665096,2239306302,2151990576,9:4,2021-10-01 00:00:00
15,,Dialog Finance PLC,2021-08-31 00:00:00,8616504,65,8616504,560072760,560072760,8:101,2021-10-13 00:00:00
16,,Senkadagala Finance PLC,2021-11-01 00:00:00,8627983,55,8627983,474539065,474539065,1:9,2021-12-09 00:00:00
17,,People's Merchant Finance PLC ,2021-11-15 00:00:00,78445500,6.5,78445500,509895750,509895750,6:25,2021-12-28 00:00:00
