Bonus Issues 2000,,,,
Company Name,Ratio,Par Value (Rs.),No. of Shares Offered,Date of Allotment
CENTRAL FINANCE,1 for   1,10,6090000,2000-09-20 00:00:00
CEYLINCO INS.,1 for  10,10,1260000,2000-10-25 00:00:00
COCO LANKA,1 for   2,10,2100000,2000-05-08 00:00:00
CEYLON TOBACCO,2 for   5,10,53521072,2000-08-04 00:00:00
TEA SERVICES,3 for   7,10,3000000,2000-07-12 00:00:00
DIMO,1 for   4,10,1200000,2000-09-19 00:00:00
GESTETNER,1 for   1,10,281250,2000-07-19 00:00:00
HAYCARB,1 for   6,10,3773000,2000-09-12 00:00:00
JKH,1 for   4,10,12144287,2000-01-17 00:00:00
JKH,2 for   1,10,122359618,2000-08-08 00:00:00
LOLC,1 for   1,10,11880000,2000-11-09 00:00:00
NAT. DEV. BANK,1 for   2,10,17916667,2000-03-28 00:00:00
RICHARD PIERIS,1 for   6,10,3318496,2000-09-08 00:00:00
SINGER SRI LANKA,1 for   5,10,5342276,2000-07-28 00:00:00
W.M.MENDIS,1 for   1,10,9951026,2000-09-08 00:00:00
Value (Rs.),"Rs. 2,541,376,920",,,
Issues (No.),15,,,
Bonus Issues - by Sector 2000,,,,
Sector,No of Issues,No of Shares,,
"Banks, Finance & Insurance",4,37146667,,
"Beverage, Fod & Tobacco",4,68572098,,
Chemical & Pharmaceuticals,1,3773000,,
Diversified,2,134503905,,
Manufacturing,1,3318496,,
Motors,1,1200000,,
Stores & Supplies,1,281250,,
Trading,1,5342276,,
Total,15,254137692,,
