New Listings 2023 (January to December),,,,,,,,,,,
,,IPO - Equity ,,,,,,,,,
No.,Date of Announcement,Name ,No. of shares offered,No. of shares alloted,No. of Shares listed ,Consideration (Rs.),Amount raised (Rs.),Date listed ,,,
1,,U B Finance Company Limited,55000000,55000000,2754687318,1,55000000,2023-08-14 00:00:00,,,
2,,Agarapatana Plantations Limited ,83070111,83070111,500000000,9,747630999,2023-09-04 00:00:00,,,
,,,,,,,802630999,,,,
 ,,Introduction - Equity,,,,,,,,,
No.,Date of Announcement,Name ,Shares listed ,Reference Price,Date listed ,,,,,,
,,Introduction - Debenture,,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,,,
1,,,,,,,,,,,
,,IPO - Debenture ,,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Total amount raised (Rs.),Total amount raised (Rs.)
1,,Sampath Bank PLC (BASEL III),100000000,A,99900000,0.28,100,2023-02-15 00:00:00,10000000000,10000000000,
,,,,B,100000,One year gross TB rate+1.5% (Cap 31% floor 20%),100,2023-02-15 00:00:00,,,
2,,Merchant Bank of Sri Lanka & Finance PLC,6228300,A,2766600,0.295,100,2023-04-26 00:00:00,622830000,622830000,
,,,,B,2551400,0.28,100,2023-04-26 00:00:00,,,
,,,,D,910300,,100,2023-04-26 00:00:00,,,
3,,Seylan Bank PLC (BASEL III),70000000,A,38518825,0.28,100,2023-05-12 00:00:00,7000000000,7000000000,
,,,,B,11481175,0.25,100,2023-05-12 00:00:00,,,
4,,Commercial Bank of Ceylon (BASEL III),120000000,A,21324000,0.145,100,2023-12-29 00:00:00,12000000000,12000000000,
,,,,B,75580900,0.15,100,2023-12-29 00:00:00,,,
,,,,C,329800,0.1375,100,2023-12-29 00:00:00,,,
,2020-09-24 00:00:00,,,D,8177600,0.1425,100,2023-12-29 00:00:00,,,
,,,,E,308400,0.135,100,2023-12-29 00:00:00,,,
,,,,F,14279300,0.14,100,2023-12-29 00:00:00,,,
5,,National Deveopment Bank (BASEL III),50000000,A,33344600,0.15,100,2023-12-22 00:00:00,5000000000,5000000000,
,,,,B,16655400,0.1422,100,2023-12-22 00:00:00,,,
De-Listings 2023 (January to December),,,,,,,,,,,
No. ,Date De-listed ,Company Name ,Effective Date,,,,,,,,
1,,LOLC Development Finance PLC,2023-02-28 00:00:00,,,,,,,,
