Sector Domestic & Foreign Analysis - 2009,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",262943,19674,932415567,195788770,31829702380,13768566931
"BEVERAGE, FOOD & TOBACCO",63380,4639,113259414,15806879,5231531454,1243468607
CONSTRUCTION & ENGINEERING,14001,768,15565192,2037484,1643137500,224951006
CHEMICALS & PHARMACEUTICALS,41397,3476,141086910,12544634,3090681664,629441188
FOOTWEAR & TEXTILES,7677,359,22661192,2929650,855803564,158586350
HOTELS & TRAVELS,161765,7115,398327977,50381680,9104529565,1141474534
INVESTMENT TRUSTS,16644,779,10862177,651775,1112693956,79224242
LAND & PROPERTY,102537,4653,238250308,19878825,3587637768,250596260
MANUFACTURING,181654,9903,750073964,78519637,9296681211,1429426670
MOTORS,7078,413,3876877,331386,355563527,34637506
OIL PALMS,3409,166,11761846,11430909,2658134281,2342926894
STORES & SUPPLIES,629,13,358979,15554,53728509,2788280
SERVICES,1971,22,2532517,16802,193386661,2910500
TRADING,97740,3512,236645062,14077428,5024995870,293981417
PLANTATIONS,69853,4104,72518870,9465473,1680496816,230049920
DIVERSIFIED HOLDINGS,71247,9296,195036489,157218435,18450444426,19222629903
POWER & ENERGY,31823,1539,225127678,13809844,1741950395,127489621
HEALTH CARE,24647,812,198685181,7041456,1191120661,54745832
INFORMATION TECHNOLOGY,4638,43,8903725,99500,96289171,1101800
TELECOMMUNICATION,25793,4187,206297902,386372664,1779998469,2180500833
