Sector Trading Statistics - 2018 (January to December) ,,,,,
SECTOR,TRADES(No),SHARES(No),TURNOVER(Rs),LISTED,TRADED
BANK FINANCE INSURANCE,283593,2127030588,84317574231,71,56
BEV FOOD TOBACCO,39522,202199082,11721829454,23,21
CONSTRUCTION ENG,55460,182518005,2573211799,4,4
CHEMICALS & PHARMACEUTICALS,6994,18449556,313438940,12,10
DIVERSIFIED,114326,1305211030,66897628420,19,19
FOOTWEAR TEXTILE,8915,289342485,6945131071,2,2
HOTELS TRAVELS,53922,245713102,1624396526,39,36
HEALTH CARE,7571,20735911,459564463,7,6
INVESTMENT TRUST,18040,41069830,910100105,10,9
INFORMATION TECHNOLOGY,2147,4478269,14854007,2,2
LAND PROPERTY,40899,234598234,2832149730,19,18
MANUFACTURING,117450,388455882,10065506646,41,36
MOTORS,5763,2948626,270493966,6,6
OIL PALMS,1317,8949180,1792410109,5,5
POWER & ENERGY,42687,291760489,2723786938,10,9
PLANTATIONS,38752,81685500,1066002678,20,18
STORES SUPPLIES,1666,239722,124704556,4,4
SERVICES,13138,178430575,614162004,8,8
TELECOM,13626,218740485,2829474370,2,2
TRADING,19869,158180755,1972418435,9,8
