"Market Capitalization of Listed Companies as at December 31, 2014",,,,
COMPANY CODE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
JKH,JKH,250,997086121,249271530250
CTC,CEYLON TOBACCO,1060.1,187323751,198581908435.1
HDEV,HOTEL DEVELOPERS,94.8,2046645686,194022011032.8
COMB,COMMERCIAL BANK,171,810277728,138557491488
NEST,NESTLE,2105,53725463,113092099615
DIAL,DIALOG,13.3,8143778405,108312252786.5
SLTL,SLT,49.9,1804860000,90062514000
CARS,CARSONS,430.4,196386914,84524927785.6
BUKI,BUKIT DARAH,715,102000000,72930000000
DIST,DISTILLERIES,210,300000000,63000000000
HNB,HNB,194.9,321688517,62697091963.3
DFCC,DFCC BANK,219,265097688,58056393672
LION,LION  BREWERY,654.6,80000000,52368000000
LLUB,CHEVRON,399.6,120000000,47952000000
SPEN,AITKEN SPENCE,103.5,405996045,42020590657.5
LOLC,LOLC,88,475200000,41817600000
NDB,NAT. DEV. BANK,250,165093922,41273480500
SAMP,SAMPATH,236.3,167910253,39677192783.9
PLC,PEOPLES LEASING,24.5,1579862482,38706630809
HHL,HEMAS HOLDINGS,74.3,515290620,38286093066
CARG,CARGILLS,153,224000000,34272000000
AEL,ACCESS ENG SL,32.1,1000000000,32100000000
LIOC,LANKA IOC,60,532529905,31951794300
AHPL,AHOT PROPERTIES,67.8,442775300,30020165340
CLC,COMM LEASE & FIN,4.6,6377711170,29337471382
UBC,UNION BANK,25.3,1091406249,27612578099.7
CINS,CEYLINCO INS.,1378.8,20000000,27576000000
AHUN,A.SPEN.HOT.HOLD.,78.5,336290010,26398765785
CFIN,CENTRAL FINANCE,250,104883333,26220833250
CTHR,C T HOLDINGS,143,183097253,26182907179
VONE,VALLIBEL ONE,23.9,1086559353,25968768536.7
HAYL,HAYLEYS,339.9,75000000,25492500000
CCS,COLD STORES,265,95040000,25185600000
KHL,KEELLS HOTELS,17,1456146780,24754495260
ASIR,ASIRI,21.6,1099092308,23740393852.8
NTB,NATIONS TRUST,97,230607283,22368906451
OSEA,OVERSEAS REALTY,26.3,843484359,22183638641.7
TRAN,TRANS ASIA,92.1,200000000,18420000000
RICH,RICHARD PIERIS,8.5,2035038275,17297825337.5
EXPO,EXPOLANKA,8.6,1954915000,16812269000
SEYB,SEYLAN BANK,95,175977401,16717853095
CDIC,N D B CAPITAL,496.4,32904933,16334008741.2
GUAR,CEYLON GUARDIAN,194.9,82096719,16000650533.1
BREW,CEYLON BEVERAGE,725.2,20988090,15220562868
SINS,SINGER SRI LANKA,117.9,125209610,14762213019
TKYO,TOKYO CEMENT,64.9,222750000,14456475000
CTEA,TEA SERVICES,720,20000000,14400000000
UAL,UNION ASSURANCE,164,85714286,14057142904
DOCK,DOCKYARD,193,71858924,13868772332
TJL,TEXTURED JERSEY,20.6,660752465,13611500779
LGL,LAUGFS GAS,40.5,335000086,13567503483
COCR,COM.CREDIT,45.3,286074365,12959168734.5
RCL,ROYAL CERAMIC,116.9,110789384,12951278989.6
SHL,SOFTLOGIC,16.5,779000000,12853500000
JFIN,FINLAYS COLOMBO,358.9,35000000,12561500000
SHAL,SHALIMAR,1800,6940080,12492144000
INDO,INDO MALAY,1660,6998400,11617344000
LFIN,LB FINANCE,166,69825714,11591068524
LOFC,LANKAORIXFINANCE,4.1,2800000000,11480000000
GOOD,GOOD HOPE,1620,6871307,11131517340
SELI,SELINSING,1550,6940080,10757124000
LHCL,LANKA HOSPITALS,48,223732169,10739144112
UML,UNITED MOTORS,103.6,100900626,10453304853.6
KAPI,MTD WALKERS,60.3,167647568,10109148350.4
CINV,CEYLON INV.,97.5,98514874,9605200215
CTCE,A I A INSURANCE,302,30000000,9060000000
