Rights Issues 2019 (January to December),,,,,,,,,,
No.,Date of Initial Announcement,Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,2018-10-26 00:00:00,Asia Asset Finance PLC-Tranche 1,2019-02-13 00:00:00,25176235,10,25176235,251762350,251762350,3:10,2019-03-26 00:00:00
2,2019-01-09 00:00:00,Dialog Finance PLC,2019-03-15 00:00:00,19103158,40,19103158,764126320,764126320,32:121,2019-04-26 00:00:00
3,2018-10-26 00:00:00,Asia Asset Finance PLC-Tranche 2,2019-04-02 00:00:00,21819403,10,15098515,218194030,150985150,2:10,2019-05-13 00:00:00
4,2019-01-08 00:00:00,People's Merchant Finance PLC ,2019-04-04 00:00:00,126525000,9.5,126525000,1201987500,1201987500,3:2,2019-05-13 00:00:00
5,2019-01-23 00:00:00,DFCC Bank PLC,2019-03-28 00:00:00,106039075,72,39091068,7634813400,2814556896,2:5,2019-05-14 00:00:00
6,2019-01-07 00:00:00,Anilana Hotels and Properties PLC-Tranche 1,2019-04-23 00:00:00,91522915,2,91522915,183045830,183045830,1:11,2019-05-16 00:00:00
7,2018-11-19 00:00:00,Hikkaduwa Beach Resort PLC,2019-04-08 00:00:00,81912942,3.9,80116000,319460473.8,312452400,2:5,2019-05-23 00:00:00
8,2018-11-19 00:00:00,Waskaduwa Beach Resort PLC,2019-04-08 00:00:00,363144447,2.4,358110181,871546672.8,859464434.4,9:5,2019-05-23 00:00:00
9,2018-11-19 00:00:00,Citrus Leisure PLC,2019-04-08 00:00:00,173970769,5,170579296,869853845,852896480,9:5,2019-05-23 00:00:00
10,2019-01-07 00:00:00,Anilana Hotels and Properties PLC-Tranche 2,2019-05-21 00:00:00,91522915,2,35218996,183045830,70437992,1:12,2019-06-13 00:00:00
,,                                                  -Tranche 2 (Balance Shares),,,,To be allotted ,,,,To be listed 
11,2019-03-01 00:00:00,Sampath Bank PLC- Initial allotment ,2019-05-15 00:00:00,89006863,136,63538223,12104933368,8641198328,7:23,2019-06-27 00:00:00
,,                                      - Balance shares ,,,,25468640,,3463735040,,2019-07-02 00:00:00
12,2019-02-01 00:00:00,On'ally Holdings PLC,2019-05-29 00:00:00,5833590,19,5499237,110838210,104485503,1:15,2019-07-02 00:00:00
13,2019-03-26 00:00:00,Citizens Development Business Finance PLC-Voting,2019-05-28 00:00:00,11574805,77,11574805,891259985,891259985,1:4,2019-07-08 00:00:00
,,                                                                 -Non-voting,,2001496,64,2001496,128095744,128095744,1:4,2019-07-08 00:00:00
14,2019-05-16 00:00:00,LOLC Finance PLC ,2019-07-11 00:00:00,1050000000,4.65,1050000000,4882500000,4882500000,1:4,2019-08-08 00:00:00
15,2019-05-21 00:00:00,Cargo Boat Development Company PLC,2019-07-19 00:00:00,10200036,45,7831959,459001620,352438155,1:1,2019-08-26 00:00:00
16,2019-07-09 00:00:00,Unisyst Engineering PLC,2019-10-14 00:00:00,10000000,10,10000000,100000000,100000000,5:6.0291,2019-11-21 00:00:00
17,2019-09-05 00:00:00,Softlogic Finance PLC,2019-11-14 00:00:00,35440896,17,35440896,602495232,602495232,12:23,2019-12-20 00:00:00
18,2019-09-05 00:00:00,Seylan Bank PLC - Voting,2019-11-04 00:00:00,62869468,45.25,62869468,2844843427,2844843427,1:3,2019-12-20 00:00:00
,,Seylan Bank PLC - Non-voting,,63036478,24.5,63036478,1544393711,1544393711,,
