Bonus Issues 2001,,,,
Company Name,Ratio,Par Value (Rs.),No. of Shares Offered,Date of Allotment
ASIRI,3 for 2,10,22765134,2001-04-20 00:00:00
CEYLINCO HOUS,1 for 4,10,1486650,2001-06-28 00:00:00
COMMERCIAL BA,1 for 5,10,6500000,2001-06-22 00:00:00
COMMERCIAL BA,1 for 5,10,465023,2001-06-22 00:00:00
DFCC,1 for 5,10,7051852,2001-06-29 00:00:00
HAYCARB,1 for 8,10,3301375,2001-08-31 00:00:00
HAYLEYS EXPOR,1 for 9,10,500000,2001-07-16 00:00:00
NUWARA ELIYA,4 for 51,10,145736,2001-04-16 00:00:00
Value (Rs.),0,,,
Issues (No.),8,,,
