Market Capitalisation as at 31st December 2003,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
SLTL,SLT,2003-12-31 00:00:00,1804860000,18,32487480000
JKH,JKH,2003-12-31 00:00:00,299389333,99,29639543967
DFCC,DFCC,2003-12-31 00:00:00,42836941,270,11565974070
COMB,COMMERCIAL BANK,2003-12-31 00:00:00,65000000,142.5,9262500000
NDB,NAT. DEV. BANK,2003-12-31 00:00:00,53750000,142.25,7645937500
DIST,DISTILLERIES ,2003-12-31 00:00:00,300000000,24.5,7350000000
CTC,CEYLON TOBACCO,2003-12-31 00:00:00,187323751,38.5,7211964413.5
SPEN,AITKEN SPENCE,2003-12-31 00:00:00,26982810,252,6799668120
HAYL,HAYLEYS,2003-12-31 00:00:00,50000000,120,6000000000
HHL,HEMAS HOLDINGS,2003-12-31 00:00:00,78000000,70,5460000000
AHOT,ASIAN HOTELS,2003-12-31 00:00:00,221387643,22.25,4925875056.75
LLUB,CALTEX,2003-12-31 00:00:00,60000000,72,4320000000
RICH,RICHARD PIERIS,2003-12-31 00:00:00,29527009,145,4281416305
NEST,NESTLE,2003-12-30 00:00:00,53725463,76.25,4096566553.75
HNB,HNB,2003-12-30 00:00:00,55000000,69,3795000000
SAMP,SAMPATH,2003-12-31 00:00:00,44284904,83.5,3697789484
SHAL,SHALIMAR,2003-08-20 00:00:00,4626720,760,3516307200
LION,LION  BREWERY,2003-12-30 00:00:00,50000000,55,2750000000
SINS,SINGER SRI LANKA,2003-12-30 00:00:00,32053660,85,2724561100
TRAN,TRANS ASIA,2003-12-31 00:00:00,50000000,51.5,2575000000
CCS,COLD STORES ,2003-12-23 00:00:00,21600000,114,2462400000
AHUN,A.SPEN.HOT.HOLD.,2003-12-31 00:00:00,38433144,63.5,2440504644
NTB,NATIONS TRUST,2003-12-31 00:00:00,85000000,28.5,2422500000
BUKI,BUKIT DARAH,2003-10-29 00:00:00,400000,6000,2400000000
CTCE,EAGLE INSURANCE,2003-12-31 00:00:00,20000000,120,2400000000
LOLC,LOLC,2003-12-31 00:00:00,47520000,50.25,2387880000
CFIN,CENTRAL FINANCE,2003-12-31 00:00:00,12180000,195,2375100000
TAJ,TAJ LANKA,2003-12-31 00:00:00,139637494,16,2234199904
SEYB,SEYLAN BANK,2003-12-31 00:00:00,43560000,47,2047320000
DIPD,DIPPED PRODUCTS,2003-12-24 00:00:00,24942297,79,1970441463
HDEV,HOTEL DEVELOPERS,2003-12-31 00:00:00,45226100,43.5,1967335350
JFIN,JAMES FINLAY,2003-12-31 00:00:00,35000000,55,1925000000
BREW,CEYLON BREWERY,2003-12-31 00:00:00,20988090,90,1888928100
TKYO,TOKYO CEMENT,2003-12-23 00:00:00,15000000,125,1875000000
LHCL,LANKA HOSPITALS,2003-12-31 00:00:00,156612518,11.75,1840197086.5
OSEA,OVERSEAS REALTY,2003-12-31 00:00:00,232841895,7.5,1746314212.5
CARS,CARSONS,2003-12-17 00:00:00,1018710,1500,1528065000
GHLL,GALADARI,2003-12-31 00:00:00,182434060,8.25,1505080995
ACAP,ASIA CAPITAL,2003-12-31 00:00:00,110000000,13.5,1485000000
GRAN,GRAIN ELEVATORS,2003-12-31 00:00:00,60000000,23,1380000000
DOCK,DOCKYARD,2003-12-31 00:00:00,62074441,21,1303563261
RPBH,ROYAL PALMS,2003-12-31 00:00:00,50000000,25,1250000000
NBL,NDB BANK,2003-12-31 00:00:00,61812507,20,1236250140
LHL,LIGHTHOUSE HOTEL,2003-12-31 00:00:00,46000000,26.5,1219000000
LCEM,LANKA CEMENT,2003-12-30 00:00:00,155629639,7.25,1128314882.75
UAL,UNION ASSURANCE,2003-12-31 00:00:00,25000000,45,1125000000
PDL,PDL,2003-12-30 00:00:00,66000000,17,1122000000
ASIR,ASIRI,2003-12-31 00:00:00,37941890,28,1062372920
CDIC,CDIC,2003-12-30 00:00:00,24500007,43,1053500301
CTEA,TEA SERVICES,2003-12-22 00:00:00,10000000,102,1020000000
RCL,ROYAL CERAMICS,2003-12-31 00:00:00,55394692,17.5,969407110
HAYC,HAYCARB,2003-12-31 00:00:00,29712375,32,950796000
CIC,CIC,2003-12-24 00:00:00,7200000,130,936000000
JKL,JOHN KEELLS,2003-12-22 00:00:00,7600000,120,912000000
CTHR,CEYLON THEATRES ,2003-12-30 00:00:00,2249268,400,899707200
CARE,PRINTCARE (CEY),2003-12-31 00:00:00,12895000,68.25,880083750
SERV,HOTEL SERVICES,2003-12-31 00:00:00,17600000,48.5,853600000
MRH,MAHAWELI REACH,2003-12-30 00:00:00,47066447,18,847196046
UML,UNITED MOTORS,2003-12-31 00:00:00,29429350,28.5,838736475
MGT,HAYLEYS - MGT,2003-09-04 00:00:00,24588746,32.5,799134245
MPRH,MET. RES. HOL.,2003-11-07 00:00:00,39664802,20,793296040
LWL,LANKA WALLTILE,2003-12-31 00:00:00,26000000,30,780000000
MILL,MILLERS ,2003-11-27 00:00:00,3894750,200,778950000
CONN,CONNAISSANCE,2003-12-31 00:00:00,28946253,26,752602578
EDEN,EDEN HOTEL LANKA,2003-12-31 00:00:00,48000000,15.5,744000000
LMF,LMF,2003-12-31 00:00:00,29998500,24.5,734963250
HDFC,HDFC,2003-12-03 00:00:00,4122500,175,721437500
TILE,LANKA TILES,2003-12-31 00:00:00,20094855,34.25,688248783.75
HAPU,HAPUGASTENNE,2003-12-31 00:00:00,46315789,14.75,683157887.75
COML,COMM. LEASING,2003-12-31 00:00:00,8066670,80.25,647350267.5
COXY,CEYLON OXYGEN,2003-12-22 00:00:00,6750000,95,641250000
GUAR,CEYLON GUARDIAN,2003-12-31 00:00:00,5326344,120,639161280
GLAS,CEYLON GLASS CO.,2003-12-16 00:00:00,27710844,22.5,623493990
HUNT,HUNTERS ,2003-12-31 00:00:00,51450000,11.75,604537500
CINS,CEYLINCO INSURANCE,2003-12-31 00:00:00,16632000,35.5,590436000
KHC,KANDY HOTELS ,2003-12-12 00:00:00,16500000,35,577500000
CARG,CARGILLS,2003-12-22 00:00:00,5600000,100,560000000
AMW,AMW,2003-12-24 00:00:00,8242369,63,519269247
CHR,CEYLON HOLIDAY,2003-12-23 00:00:00,7897788,65,513356220
LVEN,LANKA VENTURES,2003-12-30 00:00:00,50000000,10,500000000
MASK,MASKELIYA,2003-12-31 00:00:00,26976744,18,485581392
CINV,CEYLON INVESTMENTS,2003-12-31 00:00:00,6036451,80.25,484425192.75
MLL,MLL,2003-12-31 00:00:00,20393002,23.5,479235547
KVAL,KELANI VALLEY,2003-12-31 00:00:00,34000000,14,476000000
DIMO,DIMO,2003-12-18 00:00:00,9000000,52,468000000
