New Listings 2018,,,,,,,,,,,
,,IPO - Equity ,,,,,,,,,
No.,Date of Announcement,Name ,No. of shares offered,No. of shares alloted,No. of Shares listed ,Consideration (Rs.),Amount raised (Rs.),Date listed ,,,
1,2017-11-30 00:00:00,Jetwing Symphony Limted,50218856,50218856,502188559,15,753282840,2018-01-05 00:00:00,,,
2,2017-11-17 00:00:00,LVL Energy Fund Limited,120000000,120000000,582278117,10,1200000000,2018-01-09 00:00:00,,,
 ,,Introduction - Equity,,,,,,,,,
No.,Date of Announcement,Name ,Shares listed ,Reference Price,Date listed ,,,,,,
1,2018-01-19 00:00:00,Hatton Plantations Ltd,236666671,7.8,2018-02-02 00:00:00,,,,,,
,,IPO - Debenture ,,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),Total amount raised (Rs.)
1,2018-03-07 00:00:00,Sampath Bank PLC,75000000,A,75000000,12.5,100,2018-03-28 00:00:00,7500000000,7500000000,7500000000
2,2018-03-09 00:00:00,Citizens Development Business Finance PLC,20000000,A,10669900,13.75,100,2018-04-05 00:00:00,2000000000,2000000000,2000000000
,,,,B,9330100,14.2,100,,,,
3,2018-03-19 00:00:00,DFCC Bank PLC (BASEL III Complient),70000000,A,29134700,12.6,100,2018-04-09 00:00:00,7000000000,7000000000,7000000000
,,,,B,40865300,13,100,,,,
4,2018-03-19 00:00:00,Seylan Bank ((BASEL III Compliant),100000000,A,39100000,12.85,100,2018-04-06 00:00:00,10000000000,6234000000,6234000000
,,,,B,7150000,13.2,100,,,,
,,,,C,16090000,13.5,100,,,,
5,2018-04-06 00:00:00,Nations Trust Bank PLC (BASEL III compliant),35000000,A,22130000,12.65,100,2018-04-27 00:00:00,3500000000,3500000000,3500000000
,,,,B,12870000,13,100,,,,
6,2018-04-26 00:00:00,People's Leasing & Finance PLC,60000000,A,7046000,12.4,100,2018-04-27 00:00:00,6000000000,6000000000,6000000000
,,,,B,52954000,12.8,100,,,,
7,2018-04-26 00:00:00,Sri Lanka Telecom PLC,70000000,A,20760000,12.75,100,2018-04-27 00:00:00,7000000000,7000000000,7000000000
,,,,B,49240000,12.75,100,,,,
8,2018-07-09 00:00:00,Commercial Bank of Ceylon PLC (BASEL III compliant),100000000,A,83938400,12,100,2018-07-30 00:00:00,10000000000,10000000000,10000000000
,,,,B,16061600,12.5,100,,,,
9,2018-07-17 00:00:00,Hayleys PLC,40000000,A,25257200,12.5,100,2018-08-08 00:00:00,4000000000,2525720000,2525720000
,,,,B,10011000,AWPLR+1%,100,,,1001100000,1001100000
10,2018-07-23 00:00:00,LOLC Finance PLC ,35000000,A,17937993,14.75,100,2018-08-10 00:00:00,3500000000,1793799300,1793799300
,,,,B,14172200,(Zero Coupon) 0,49.83,,,706200726,706200726
11,2018-09-20 00:00:00,Singer (Sri Lanka) PLC,15000000,A,6568000,12,100,2018-10-08 00:00:00,1500000000,656800000,656800000
,,,,,,,,,,,55917620026
,,Introduction - Debenture ,,,,,,,,,
No.,Date of Announcement,Name ,Debentures offered,Types,Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),
De-Listings 2018 ,,,,,,,,,,,
No. ,Date De-listed ,Company Name ,,,,,,,,,
1,2018-06-01 00:00:00,Ceylon Leather Products PLC,,,,,,,,,
2,2018-07-17 00:00:00,Kalpitiya Beach Resort PLC,,,,,,,,,
