Sector Market Capitalisation - Monthly 2010,,,,,,,,,,,,
SECTOR ,January,February,March ,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",204093616872,213791066429.25,216587842405,254104576597,261579433974.25,306675106624.75,330375236468.75,368441078608.6,530064044588.7,507297887135.1,479695695892.2,489116806382.4
"BEVERAGE, FOOD & TOBACCO",145071834479,156410933556,158753939095,184529864963.25,195489633672,201513794694.25,221255902846,237889628138,273543784501,267323274589.5,263272821745,271238019654
CONSTRUCTION & ENGINEERING,22674621588.25,24236344051,21578050949,22553157492.5,21117474636.25,21645441392,21450383750,19802455470.1,21894198377,22650129362.7,21856883168.6,28233928581
CHEMICALS & PHARMACEUTICALS,14587908962.6,14843869476.8,14463554304,16244556567.7,16183075180,16696938803.75,18479466159.75,20288268675.4,27162079895.7,24696685885.5,23549059883,25321260020.5
DIVERSIFIED HOLDINGS,254291447250.5,259112475045.75,265724233954.75,284545070493.5,288295262595,310382492548.25,357062138369.75,408372671706.9,526418419306.4,488480194614.8,474063441135.3,476416635869.6
FOOTWEAR & TEXTILES,3883095339,3785768490,3670554744,4379764712,4902050966,5861260934,5928942204,10162739985.2,11536772381.2,9366207461.2,9194401737.6,9914859744
HOTELS & TRAVELS,133499988129.5,133494168526.75,135551626480.25,159345977277,154965118724.75,157508794668,176163205169.5,196393398555.9,217137734618.1,209491631725.2,198886107519.7,204625437638.5
HEALTH CARE,25141770452.3,25884675277.9,24789905216,25972250947.1,26847434802,28662018933.5,30739368796,30253555598.2,33593668712.4,31321242690.1,31121446566.4,30769320274.6
INVESTMENT TRUSTS,15881270211.5,50774062257,38617407742.25,40672710274,35869415393,35741152721,65921870786.5,60469431496.4,68115794689.9,67055578312.2,63290301841.4,64597798358.7
INFORMATION TECHNOLOGY,178835286.25,191920795,178835286.25,244262830,357670572.5,348946900,348946900,2587259369.7,2719385166.6,2538406803.7,2408025741.3,2970788264.2
LAND & PROPERTY,20592046038.5,20783892037.5,19718794242.5,23077268808,22526770913.5,30199902515,31152931684,29350169297.1,32647726261.7,32719338621.5,31258331591.1,31144395680.8
MANUFACTURING,68762593289.45,74315189508.75,75158925328.05,82930077277.9,80550126129.9,87787266934.4,94486852808.75,94282751214.5,117753664954.6,109623617207.5,108182138016.7,120363206976.8
MOTORS,10991625120.5,12702725211.75,12458993635,12953098979.5,14203146754.25,18722693017.5,26051251794,34026705467.6,33365583352.3,36291599232.2,34867095429,34649060348.5
OIL PALMS,44672750400,45076455470,42410576558,56321578558,55449010399.75,56561416290,71773585085,94551908005.9,98230064875,101594192360,96715286600,106413046850
POWER & ENERGY,16505843441.5,17095114404.75,17071746878.5,17360053368.5,18499954042.75,20748421551.75,22579500821.75,20980249435.3,27698102393.1,24073866623,24976470903.5,33533411925.9
PLANTATIONS,21421521974.25,25424677572.25,22078961493.5,27797813806.5,26043595121.5,28726401401.5,32488096531.75,34636374973.8,45551761928.2,39408493230.8,36664984648.3,40991289795.8
STORES & SUPPLIES,2788989854.5,3762411515.75,4403929164.5,5102115338.25,5576959203,6520704025,6649823925,7760696577.5,12186566079.5,10729021381.5,12159347154.1,12464694075
SERVICES,3216567101.25,3222859583.25,3958049207.5,4294068820,4840775798,4877729923,6789971685,6583549135,8245181940,7833191340,7723913765,7722594042.5
TELECOMMUNICATION,130774624233.75,128298418835,120396679233.75,125822213436.25,131027617240,146181659448.75,150704763651.25,156608012209.5,185815653903,180572796541,177495771179,184534725179
TRADING,32210837634,13759351742,13271615623,15099076783,15862049816,18548663498.5,22167888190,29303918514.5,35076980259.2,36035248386,34619680860,35430801309.6
ASPI,1171241787658.6,1226966379786.45,1210844221540.8,1363349557329.95,1380186575934.4,1503910806824.9,737912697631.25,1862744822435.1,2308757168183.6,2209102603503.5,2132001205377.2,2210452080971.4
MPI,571003889399.25,594727542881.25,591257903688.75,652530674873.25,658889651476.25,731346803097.75,22167888190,742563253255.7,952685101168.1,917819920721.8,885835191249.4,895131035987.1
