,,,,DIVIDEND ANNOUNCEMENTS 2019 (JANUARY TO DECEMBER),,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX PRICE
2018-12-12 00:00:00, KHL-N-0000, KEELLS HOTELS,0.15, Interim Dividend  Financial Year: - 2018/2019, 21-DEC-18, 03-JAN-19,7.9,7.8
2018-12-12 00:00:00, PAP-N-0000, PANASIAN POWER,0.06, Interim Dividend  Financial Year: - 2018/2019, 21-DEC-18, 02-JAN-19,3,3.1
2018-12-17 00:00:00, CFIN-N-0000, CENTRAL FINANCE,2, Interim Dividend  Financial Year - 2018/2019 Payment Date - 01st January 2019, 27-DEC-18, 02-JAN-19,90,89.1
2018-12-20 00:00:00, PLC-N-0000, PEOPLES LEASING,0.75, Interim Dividend Financial Year: - 2018/2019, 02-JAN-19, 11-JAN-19,16.3,15.8
2018-12-31 00:00:00, CTC-N-0000, CEYLON TOBACCO,19, Fourth Interim Dividend (Less withholding tax)  Financial Year: - 2018, 10-JAN-19, 22-JAN-19,1430,1430
2019-01-03 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,3, Interim Dividend (liable to 14% dividend tax) Financial Year: - 2018/2019, 14-JAN-19, 23-JAN-19,80.3,79.3
2019-01-03 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,1, Interim Dividend (not liable to 14% dividend tax) Financial Year: - 2018/2019, 14-JAN-19, 23-JAN-19,85,90
2019-01-03 00:00:00, HAYC-N-0000, HAYCARB,2, Interim Dividend (Rs.1.70 per share-liable to 14% dividend tax and Rs.0.30 per share-not liable to 14% dividend tax) Financial Year: - 2018/2019, 14-JAN-19, 23-JAN-19,130.1,130.1
2019-01-21 00:00:00, SFCL-N-0000, SENKADAGALA,0.8, Interim Dividend  Financial Year: - 2018/2019, 30-JAN-19, 11-FEB-19,90,90
2019-01-25 00:00:00, COMB-X-0000, COMMERCIAL BANK,3, Second Interim (Voting & Non-Voting)  Financial Year: - 2018, 06-FEB-19, 15-FEB-19,97.8,95
2019-01-25 00:00:00, COMB-N-0000, COMMERCIAL BANK,3, Second Interim (Voting & Non-Voting)  Financial Year: - 2018 , 06-FEB-19, 15-FEB-19,114,112.3
2019-01-28 00:00:00, BPPL-N-0000, BPPL HOLDINGS,0.24, Second Interim Dividend  Financial Year: - 2018/2019, 07-FEB-19, 18-FEB-19,10.9,10.5
2019-01-31 00:00:00, JKH-N-0000, JKH,2, Second Interim  Financial Year: - 2018/2019, 12-FEB-19, 22-FEB-19,157.7,154.7
2019-02-01 00:00:00, VPEL-N-0000, VALLIBEL,0.4, Interim Dividend  Financial Year: - 2018/2019, 13-FEB-19, 22-FEB-19,6.7,6.3
2019-02-06 00:00:00, CTEA-N-0000, DILMAH CEYLON,20, Interim Dividend  Financial Year: - 2018/2019 , 15-FEB-19, 25-FEB-19,619.9,619.9
2019-02-07 00:00:00, TJL-N-0000, TEEJAY LANKA,0.85, First Interim Dividend  Financial Year: - 2018/2019, 18-FEB-19, 28-FEB-19,34.5,33.5
2019-02-11 00:00:00, TYRE-N-0000, KELANI TYRES,2.5, Second Interim Dividend  Financial Year: - 2018/2019 , 21-FEB-19, 05-MAR-19,36.9,34.8
2019-02-11 00:00:00, HASU-N-0000, HNB ASSURANCE,7, Final Dividend  Financial Year: - 2018 , 29-MAR-19, 08-APR-19,124.6,115.7
2019-02-12 00:00:00, KFP-N-0000, KEELLS FOOD,4, Interim Dividend  Financial Year: - 2018/ 2019, 22-FEB-19, 06-MAR-19,140,140
2019-02-15 00:00:00, SAMP-N-0000, SAMPATH,5, First & Final Dividend  Financial Year: - 2018  Shareholder Approval: - Required , 01-APR-19, 09-APR-19,180.1,165.2
2019-02-15 00:00:00, DIAL-N-0000, DIALOG,0.37, Final dividend (Subject to Tax) Financial year : 2018, 13-JUN-19, 21-JUN-19,9.3,9.2
2019-02-15 00:00:00, CTC-N-0000, CEYLON TOBACCO,15.77, Final Dividend (Less WHT)  Financial Year: - 2018 , 15-MAY-19, 24-MAY-19,1306.1,1306.1
2019-02-18 00:00:00, DFCC-N-0000, DFCC BANK PLC,3.5, First & Final Dividend  Financial Year: - 2018 , 28-FEB-19, 12-MAR-19,80,76.5
2019-02-18 00:00:00, LLUB-N-0000, CHEVRON,1.5, Fourth Interim Dividend  Financial Year: - 2018 , 28-FEB-19, 12-MAR-19,64,62.2
2019-02-18 00:00:00, OSEA-N-0000, OVERSEAS REALTY,1.25, First & Final Dividend  Financial Year: - 2018 , 01-APR-19, 09-APR-19,16.4,15
2019-02-18 00:00:00, CSD-N-0000, SEYLAN DEVTS,1, First & Final Dividend  Financial Year: - 2018 , 29-MAR-19, 08-APR-19,11.2,10
2019-02-20 00:00:00, SEYB-N-0000, SEYLAN BANK,0.5, First and Final Dividend  Financial Year: - 2018  , 29-MAR-19, 08-APR-19,57.7,62.8
2019-02-20 00:00:00, SEYB-X-0000, SEYLAN BANK,0.5, First and Final Dividend  Financial Year: - 2018 , 29-MAR-19, 08-APR-19,35.6,35.9
2019-02-21 00:00:00, NEST-N-0000, NESTLE,25, Interim Dividend  Financial Year:- 2018 , 05-MAR-19, 14-MAR-19,1700,1700
2019-02-21 00:00:00, CONN-N-0000, AMAYA LEISURE,2.5, Second Interim Dividend (Liable to 14% Dividend Tax)  FY: - 2018/2019 , 05-MAR-19, 13-MAR-19,38.9,37.5
2019-02-21 00:00:00, PINS-N-0000, PEOPLE'S INS,1.1, Final Dividend  Financial Year:- 2018, 01-APR-19, 09-APR-19,19.7,18.3
2019-02-22 00:00:00, NDB-N-0000, NAT. DEV. BANK,1.5, First & Final Dividend  Financial Year: - 2018, 06-MAR-19, 15-MAR-19,109.3,101.7
2019-02-22 00:00:00, CCS-N-0000, COLD STORES,7, Interim Dividend  Financial Year: - 2018/2019, 06-MAR-19, 15-MAR-19,580.1,575
2019-02-22 00:00:00, CTCE-N-0000, A I A INSURANCE,25, First & Final Dividend (Less WHT)  Financial Year: - 2018 , 28-MAR-19, 05-APR-19,1555,1555
2019-02-22 00:00:00, HNB-X-0000, HNB,3.5, Final Dividend  Financial Year:- 2018 , 01-APR-19, 09-APR-19,147,146.6
2019-02-22 00:00:00, COMD-N-0000, COMMERCIAL DEV.,3.5, Final Dividend  Financial Year: - 2018 , 16-MAY-19, 27-MAY-19,75,70.5
2019-02-22 00:00:00, HNB-N-0000, HNB,3.5, Final Dividend  Financial Year:- 2018  , 01-APR-19, 09-APR-19,175,174.7
2019-02-22 00:00:00, NEST-N-0000, NESTLE,25, Final Dividend  Financial Year: - 2018 , 09-MAY-19, 17-MAY-19,1590,1590
2019-02-22 00:00:00, SLTL-N-0000, SLT,1.06, First & Final Dividend  Financial Year: - 2018 , 29-MAR-19, 08-APR-19,22.3,21.4
2019-02-25 00:00:00, AEL-N-0000, ACCESS ENG SL,0.25, Second Interim Dividend  Financial Year: - 2018/2019, 07-MAR-19, 18-MAR-19,13.8,13.6
2019-02-26 00:00:00, DOCK-N-0000, DOCKYARD,1.5, First & Final Dividend  Financial Year: - 2018 , 08-MAR-19, 19-MAR-19,55.5,54
2019-02-27 00:00:00, ASIY-N-0000, ASIA SIYAKA,0.15, Interim Dividend  Financial Year: - 2018/2019, 11-MAR-19, 21-MAR-19,2.1,1.9
2019-02-28 00:00:00, NEH-N-0000, NUWARA ELIYA,30, Interim Dividend  Financial Year: - 2018/2019 , 12-MAR-19, 22-MAR-19,1000.2,1000.2
2019-03-05 00:00:00, LION-N-0000, LION  BREWERY,4, First Interim Dividend (Subject to Dividend Tax of 14%)  FY: - 2018/ 2019, 14-MAR-19, 25-MAR-19,555,555
2019-03-05 00:00:00, EXPO-N-0000, EXPOLANKA,0.15, Interim Dividend  Financial Year: - 2018/ 2019, 14-MAR-19, 26-MAR-19,4.1,4.1
2019-03-06 00:00:00, PEG-N-0000, PEGASUS HOTELS,0.55, First Interim Dividend  Financial Year: - 2018/ 2019 , 15-MAR-19, 26-MAR-19,24.3,24.3
