Sector Trading Statistics Monthly 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",11374,29165689,1457842339,31,30,18292,36175489,2094808198,31,31,16361,45433608,4147624851,31,31,16104,45424660,1659120916,31,31,8914,21710015,982267430,31,31,12946,97909123,701040834,31,31,17292,190436680,1279592063,31,31,12937,67832900,1494796698,31,31,11149,34795629,694130510,31,31,15033,52491395,3359806051,31,31,18382,64586128,6130383143,32,32,9347,32901858,2223756271,32,32
"Beverage, Food & Tobacco",3065,17261663,599200696,18,18,3269,8496185,337474825,18,18,3852,5795605,175231283,18,18,4748,12776056,525894836,18,18,1858,3091552,103298449,18,18,2144,5203550,141071215,18,18,2219,5696279,218537869,18,18,3031,10045954,268030603,18,18,4256,7175014,254936606,18,18,5622,13292518,604356854,18,18,12507,27728853,1630451839,18,18,2900,7052832,451790247,18,18
Construction & Engineering,605,772192,10849048,4,4,1057,1051286,19356160,4,4,1956,2666073,58532309,4,4,827,1106838,24739435,4,3,739,797373,15286688,4,3,484,406167,8206572,4,3,924,28784828,793698786,4,3,403,1162982,28703159,4,3,1065,2021126,47486455,4,3,604,1467004,41015445,4,3,1928,6059733,205467493,4,3,433,702997,22331839,4,3
Chemicals & Pharmaceuticals,445,467715,12966702,9,8,3813,5694077,675229314,9,7,2006,3354971,504913768,9,8,1344,1485146,39363371,9,7,3260,1966603,166118390,9,9,1746,1095035,42111940,9,8,1423,1665573,60877580,9,8,1390,1832963,70744481,9,9,2815,2203671,115849465,9,9,3534,6782242,125596820,9,9,11625,15582976,700561437,9,9,3919,5069305,225188390,9,9
Footwear & Textiles,1873,2762155,39865593,4,4,9690,20804074,491960370,4,4,2910,3679283,137235947,4,4,2542,2957717,109506587,4,4,3457,4566794,113528210,4,4,6045,6282680,316407622,4,4,2948,2408781,103836173,4,4,1890,1613932,52246417,4,4,1892,1599824,55536560,4,4,4045,5333701,131922185,4,4,3242,3234898,146759520,4,4,1005,1907649,102202524,4,4
Hotels & Travels,4262,13023939,199208754,33,32,2679,5320964,146771210,33,33,8476,33158203,371923496,33,33,6306,14539364,271104930,33,31,2684,11075724,78909161,33,32,3015,7008073,134720126,33,31,4834,21234309,168292726,33,33,2673,11068250,252681315,33,32,11665,28503205,440206847,33,33,8279,17399232,383809967,33,33,4025,7807921,130909467,33,32,1874,3133692,59990890,33,33
Investment Trusts,713,383994,29603689,6,6,844,650013,34414851,6,6,808,540339,45838259,6,6,1030,750722,90668401,6,6,329,119258,7919931,6,6,464,306424,16568097,6,6,372,265423,15194775,6,6,426,202993,11468221,6,6,848,597298,22667817,6,6,642,601834,32734701,6,6,1484,2415960,294572444,6,6,3261,2059937,247464578,6,6
Land & Property,12523,18035118,351427410,21,17,15150,25243344,514344705,21,17,20650,48556676,889652695,21,17,10833,17189487,400894974,21,17,6776,10196683,199883253,21,16,24983,21503203,1611589427,21,17,9443,13401878,294269256,21,18,6686,13589885,212323314,21,18,16988,25685141,672867793,21,17,16734,13563478,1080662879,21,18,8686,9595330,371102079,21,18,5923,5570643,204795266,21,17
Manufacturing,12875,53721637,451667145,34,31,13974,38225985,640279278,34,32,20664,78704776,1089186703,32,33,14694,56761634,632804138,32,32,7500,32526283,285412933,32,32,8109,33391549,305837648,32,32,13617,104758242,423181501,32,32,9323,50539149,617817451,32,32,15637,81891832,2338214602,32,32,12030,70428618,682576345,32,32,15369,78257134,1247861924,32,32,9038,32993321,816565505,32,32
