Sector Trading Statistics - 2017 (January to December) ,,,,,
SECTOR,TRADES(No),SHARES(No),TURNOVER(Rs),LISTED,TRADED
BANK FINANCE INSURANCE,254139,2095201048,62261087406,70,58
BEV FOOD TOBACCO,49278,176902312,18212710172,23,20
CONSTRUCTION ENG,45605,230832428,4442089898,4,4
CHEMICALS & PHARMACEUTICALS,9014,54414748,462861087,12,10
DIVERSIFIED,122066,2499766268,70553829754,19,19
FOOTWEAR TEXTILE,13776,34871081,592089093,3,3
HOTELS TRAVELS,61960,333510387,2569702365,39,36
HEALTH CARE,9288,100956893,1839689766,7,6
INVESTMENT TRUST,21682,55163682,1488899264,10,9
INFORMATION TECHNOLOGY,5786,50274063,68297847,2,2
LAND PROPERTY,32382,489046323,2432286917,19,18
MANUFACTURING,166384,665564797,25539460921,41,36
MOTORS,6806,36269188,2886098682,6,6
OIL PALMS,2146,500583,130314340,5,5
POWER & ENERGY,31167,376120176,2471254637,9,8
PLANTATIONS,91363,238754879,4141664564,19,17
STORES SUPPLIES,2331,133787,83082586,4,4
SERVICES,27068,89301876,444479508,8,8
TELECOM,8866,483609253,5945002529,2,2
TRADING,20870,457079839,14026336026,9,8
