"Market Capitalization of Listed Companies as at December 31, 2013",,,,
COMPANY CODE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
JKH,JKH,227.3,990004275,225027971707.5
CTC,CEYLON TOBACCO,1184.4,187323751,221866250684.4
HDEV,HOTEL DEVELOPERS,94.8,1811615718,171741170066.4
NEST,NESTLE,2100.7,53725463,112861080124.1
COMB,COMMERCIAL BANK,120.4,794471324,95654347409.6
DIAL,DIALOG,9,8143778405,73294005645
CARS,CARSONS,350,196386914,68735419900
SLTL,SLT,37,1804860000,66779820000
BUKI,BUKIT DARAH,619.9,102000000,63229800000
DIST,DISTILLERIES,193,300000000,57900000000
HNB,HNB,147,319353829,46945012863
SPEN,AITKEN SPENCE,102.3,405996045,41533395403.5
LOLC,LOLC,72.6,475200000,34499520000
DFCC,DFCC BANK,129,265097688,34197601752
CARG,CARGILLS,147,224000000,32928000000
LLUB,CHEVRON,267.8,120000000,32136000000
SAMP,SAMPATH,171.9,167787605,28842689299.5
LION,LION  BREWERY,359.9,80000000,28792000000
AHPL,AHOT PROPERTIES,64.2,442775300,28426174260
CINS,CEYLINCO INS.,1340,20000000,26800000000
NDB,NAT. DEV. BANK,160.5,164693034,26433231957
CTHR,C T HOLDINGS,140.1,183097253,25651925145.3
CLC,COMM LEASE & FIN,3.8,6377711170,24235302446
AHUN,A.SPEN.HOT.HOLD.,69.9,336290010,23506671699
AEL,ACCESS ENG SL,22.1,1000000000,22100000000
HAYL,HAYLEYS,293,75000000,21975000000
PLC,PEOPLES LEASING,13.4,1579862482,21170157258.8
CFIN,CENTRAL FINANCE,176,104883333,18459466608
KHL,KEELLS HOTELS,12.5,1456146780,18201834750
VONE,VALLIBEL ONE,16.5,1086559353,17928229324.5
LIOC,LANKA IOC,33.1,532529905,17626739855.5
ASIR,ASIRI,16,1099092308,17585476928
HHL,HEMAS HOLDINGS,34,515290620,17519881080
CDIC,N D B CAPITAL,490,32904933,16123417170
TRAN,TRANS ASIA,79.9,200000000,15980000000
