Sector Trading Statistics Monthly 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector ,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
Automobiles & Components,170,58539,2621288,1,1,251,129191,5377378,1,1,258,239929,8961009,1,1,,,,,,123,37264,1353990,1,1,234,107227,4423675,1,1,313,239033,10281478,1,1,2161,3929304,226852755,1,1,4885,12177891,920295137,1,1,5792,12472145,1052907322,1,1,6182,7169835,610641671,1,1,5916,4646989,402437256,1,1
Banks,15856,71036033,4987569372,16,12,15637,36074464,2587162445,16,12,17468,24029962,1855778859,16,12,Market Closed Due To COVID-19,,,,,47460,167155551,10998359174,16,12,58492,177317671,12830517811,16,12,44595,150408464,10010532274,16,12,53977,208397849,14918428202,16,12,57139,155675642,10488892959,16,12,55808,122536552,5705312887,16,12,35927,88544856,3718520072,16,12,46395,106444415,5822895912,16,12
Capital Goods,18770,210727937,25659384134,30,27,13931,55926666,2049612132,30,27,14549,44445705,1826546803,30,27,,,,,,25594,81192288,5052261849,30,27,35110,128760120,6259643548,30,27,47297,139664645,7104039069,30,27,45675,208402598,10080630428,30,27,68497,344910066,12880038562,30,27,72593,390743754,12257008045,30,28,85798,234655140,11261406019,30,28,84939,287047252,15786095157,30,28
Commercial & Professional Services,27,537,20267,5,3,48,55426,1461758,5,3,33,3009,160230,5,3,,,,,,56,3761,174372,5,3,105,4149,202113,5,3,136,10164,711862,5,3,102,27600,1212098,5,3,202,74176,2714054,5,3,183,144826,4609598,5,5,700,143275,7303124,5,5,701,137090,6792708,5,5
Consumer Durables & Apparel,4427,13025475,218133487,13,12,8031,25638646,623636453,13,12,4208,17676008,380004226,13,11,,,,,,5857,22269701,368836783,13,12,8322,36585013,484921297,13,12,10374,37020136,521613103,13,12,9029,38386483,522683340,13,12,27737,163599835,2466612629,13,12,23666,113766400,2050749813,13,12,19255,60697558,1367247831,13,12,15975,93886778,2020192168,13,12
Consumer Services,5938,22639800,104351059,38,36,5062,10861164,54519002,38,36,3361,7462842,30787522,38,36,,,,,,4371,7573295,62133465,38,36,7164,58693515,294073758,38,36,15773,57251266,446181890,38,36,11102,39692780,183291328,37,36,12914,76378248,320695860,37,36,12623,57683360,224952092,37,36,14012,59934116,486549310,37,36,27255,240391311,1795383392,37,36
Diversified Financials,13813,52022843,933106071,53,42,7701,25072667,411659157,52,42,6231,29782970,173611693,52,39,,,,,,10578,28801099,429939347,54,43,25832,81040905,3838582024,54,43,31220,133692586,2480827419,53,43,36155,123806047,3256638716,53,43,45107,272039206,2152650020,53,43,45920,302719196,2178606942,53,43,27155,123852826,1203831918,53,43,43964,309981743,2503269381,51,42
Energy,1946,4050502,64944935,3,2,1927,2452913,34171151,3,2,1525,2905253,43878987,3,2,,,,,,1733,2554374,31737930,3,2,3915,8296962,125616989,3,2,2621,4806903,72589623,3,2,3011,6566789,111310444,3,2,8732,38815931,870755959,3,2,4704,11219273,232605022,3,2,3550,7435584,140715788,3,2,7386,23066628,507933201,3,2
Food & Staples Retailing,581,8595826,67291514,5,3,493,9018943,151584586,5,3,408,10058719,12054535,5,3,,,,,,555,8466903,104299229,5,3,674,9911653,93277509,5,3,824,11405523,134432952,5,3,746,7990586,26319057,5,3,1888,49384781,243963870,5,3,2093,94256068,333118291,5,3,1268,28599722,159851651,5,3,1807,48243470,383019333,5,3
"Food, Beverage & Tobacco",15023,195035485,1991100047,50,45,8404,57132683,1557792525,50,45,9160,75057773,1177873552,50,45,,,,,,13241,246519345,4199209300,50,45,16285,85642045,1792811973,50,45,22032,129652539,952501842,50,45,40304,495339908,3048047958,50,45,75556,650757285,6810061123,50,45,102033,807557610,6667653642,50,45,77298,478403654,6213536277,50,45,101647,3588374728,17733640195,50,45
Health Care Equipment & Services,1325,48312489,106854036,10,8,957,2510240,52523747,10,8,701,1312522,7299635,10,8,,,,,,1002,2334585,9086748,10,8,1269,1975178,17191143,10,8,2578,7243198,101369368,9,8,1589,4311403,49143542,9,8,5437,25605785,140984149,9,8,15483,85069492,549629627,9,8,4932,59262284,287317956,9,8,11424,84184627,1326329154,9,8
Household & Personal Products,408,712389,8353703,2,1,366,365365,4161642,2,2,344,583962,5382440,2,2,,,,,,389,981758,7690113,2,2,707,1358639,12972496,2,2,895,2401629,23802220,2,1,1017,3493909,37671767,2,1,2015,8842937,111753025,2,1,1729,7210732,90589966,2,2,2822,9185618,128615919,2,2,2791,8622860,133291355,2,2
Insurance,1560,73772553,2698290387,11,10,1522,3040389,153419966,11,10,1393,1584507,83141770,11,10,,,,,,1618,2192154,63991972,11,10,3095,6823276,219633862,11,10,4769,9422482,267741221,11,10,4146,11560626,281962875,11,10,8068,29122089,482464803,11,10,7690,25498842,468008595,11,10,8265,51013017,390578490,11,10,12100,55148384,1471549093,11,10
Materials,9545,16503757,604377116,23,18,7073,10741227,296845697,23,18,7878,10919536,297656201,23,18,,,,,,11778,112941580,583403568,23,18,21218,114338012,1493614094,23,18,32928,195107279,2547970122,23,18,26185,201313144,2482781417,23,18,49563,884977029,5841223152,23,18,88056,520572789,12004981626,23,18,94566,316145910,13566840358,23,18,79800,359540242,10177784533,23,18
"Pharmaceuticals, Biotechnology & Life Sciences",0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,,,,,,,,,2,,,,,,,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Estate,2921,4401054,67042710,19,16,3430,5518330,78679635,19,16,2936,4333701,56251148,19,16,,,,,,2300,3236358,37161236,19,16,5621,11530590,179775362,19,16,12614,69412982,852032888,19,16,6447,13135958,197023419,19,16,12417,31548218,462118122,19,16,10884,25052381,348898089,19,16,8147,14220269,249784764,19,17,12251,67661536,1797363278,19,17
Retailing,1782,1262329,53988994,13,13,1666,1841908,46987036,13,13,1339,1672998,14503331,13,13,,,,,,1413,1623225,11850529,13,13,2514,2531439,26714242,13,13,4623,9820523,73642132,13,13,3065,4323667,62062851,13,13,11998,76567054,617812112,13,13,28286,208307081,1735122717,13,13,20136,91499438,1309636814,13,13,13508,50068477,627582765,13,13
Telecommunication Services,921,15517542,198191313,2,2,959,12147341,151802002,2,2,1928,8430475,85615617,2,2,,,,,,5593,51184606,483050054,2,2,3765,39610175,442986773,2,2,4485,47809290,536758603,2,2,3058,42226093,494564434,2,2,4213,42733358,513741678,2,2,4288,43909778,498936131,2,2,4797,30067797,375296165,2,2,2999,45313923,567048485,2,2
Transportation,293,899028,4392486,2,2,719,1913928,8214895,2,2,1784,23454239,65836532,2,2,,,,,,2940,132238479,332906289,2,1,3332,292636654,786469043,2,2,2674,58350617,196649121,2,2,5391,143861683,673569557,2,2,24468,420943285,3770858539,2,2,42460,590354727,9185377329,2,2,48732,395016054,9996175019,2,2,20991,135424526,3599783065,2,2
