New Listing 2000,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
IPO,,,,,
1) Asian Alliance Insurance Co Ltd,2000000,10,1192300,807700,2000-11-24 00:00:00
Offer for Sale,,,,,
2) Talawakelle Plantations Ltd,4000000,10,4000000,Nil,2000-01-11 00:00:00
3) Malwatte Plantations Ltd,4000000,10,3111000,889000,2000-07-26 00:00:00
Introduction,,,,,
4) Elpitiya Plantations Ltd,Introdution,Introdution,Introdution,Introdution,2000-12-08 00:00:00
Value (Rs.) - without the introduction,"Rs.100,000,000",,,,
Issues (No.),4,,,,
New Listing 2000 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
Offers for Sale,,,,,
1) Plantations,2,8000000,80000000,,
IPO,,,,,
"2) Banks, Finance & Insurance",1,2000000,20000000,,
Introductions,,,,,
3) Plantations,1,20000000,,,
Total,4,30000000,100000000,,
De-Listings 2000,,,,,
Company,Date of De-Listing,,,,
Lady Havelock Gardens Company Ltd,2000-03-01 00:00:00,,,,
Elastomeric Engineering Company Ltd,2000-05-08 00:00:00,,,,
Associated Rubber Products Ltd,2000-09-14 00:00:00,,,,
