SCRIP DIVIDEND PERIOD OF 01ST JANUARY TO 31ST DECEMBER 2015,,,,,,,
No. ,Date of Announcement ,Company Name ,Allotment Date,New Proportion,Old Proportion,No. of shares listed ,Date listed 
1,06-Jan-2015 ,AIA Insurance Lanka PLC,2015-01-28 00:00:00,1,40,749370,2015-02-09 00:00:00
2,23-Feb-2015 ,Commercial Bank of Ceylon PLC - Voting,2015-03-31 00:00:00,1,99.888889,8118773,2015-04-10 00:00:00
,,                                                             -  Non-voting,2015-03-31 00:00:00,1,77.222222,719740,2015-04-10 00:00:00
3,2015-02-20 00:00:00,Sampath Bank PLC,2015-03-31 00:00:00,1,38.140599,4402402,2015-04-10 00:00:00
4,2015-03-31 00:00:00,Amaya Leisure PLC,2015-04-10 00:00:00,1,20,2401711,2015-04-27 00:00:00
5,2015-03-10 00:00:00,Sanasa Development Bank PLC,2015-06-01 00:00:00,1,15.08,2483642,2015-06-12 00:00:00
6,28-May-2015 ,Ceylon Investment PLC,2015-07-28 00:00:00,1,105.083934,937487,2015-08-07 00:00:00
7, 28-May-2015 ,Ceylon Guardian Investment Trust PLC,2015-08-12 00:00:00,1,93,882761,2015-08-20 00:00:00
